RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;PVV (Partij voor de Vrijheid);Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Socialistische Partij (SOPA);CU_SGP;Partij voor de Dieren;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;De Groenen;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek
Tilburg;G0855;10792;Tilburg;K17;152657;58434;135;313;57986;10380;9913;6981;6677;7544;6108;6667;521;1903;294;321;263;118;112;87;78;19
Tubbergen;G0183;10694;Zwolle;K4;15460;4978;6;13;4959;2850;721;283;443;224;158;131;42;55;21;9;7;5;7;1;1;1
Twenterand;G1700;10643;Zwolle;K4;25394;8672;12;17;8643;3205;1172;764;545;326;278;374;1691;198;25;11;17;7;10;5;8;7
Tynaarlo;G1730;10002;Assen;K3;25013;10953;24;17;10912;1578;1253;2043;1664;1481;1289;606;479;335;63;39;29;15;19;7;9;3
Tytsjerksteradiel;G0737;11241;Leeuwarden;K2;24532;9096;15;12;9069;3095;922;1502;689;625;678;547;678;203;57;16;8;15;22;1;8;3
Ubbergen;G0282;10408;Nijmegen;K6;7405;3065;3;8;3054;756;352;379;302;368;435;259;24;121;12;16;5;1;15;7;2;0
Uden;G0856;11141;'s-Hertogenbosch;K18;30748;10369;19;25;10325;2924;1866;883;1293;949;574;1360;64;240;42;44;27;13;14;15;15;2
Uitgeest;G0450;11238;Den Helder;K11;9462;3621;6;4;3611;595;680;481;550;443;352;256;28;125;24;28;12;5;19;5;6;2
Uithoorn;G0451;11206;Haarlem;K10;20586;8584;9;16;8559;1421;1938;933;1412;1012;659;511;178;327;42;34;32;34;7;5;7;7
Urk;G0184;10783;Lelystad;K5;11459;3950;12;14;3924;1095;477;9;26;16;4;8;2260;17;3;5;2;2;0;0;0;0
Utrecht;G0344;10722;Utrecht;K8;226319;91321;156;396;90769;8230;8724;11859;8628;20354;18976;6170;2498;3122;250;680;356;342;261;189;87;43
Utrechtse Heuvelrug;G1581;10777;Utrecht;K8;37443;18249;27;25;18197;3336;2531;1657;2768;2629;1892;857;1491;708;70;78;62;47;39;13;11;8
Vaals;G0981;10007;Maastricht;K19;6587;2296;7;2;2287;705;555;283;136;97;143;162;16;107;24;11;13;4;25;4;1;1
Valkenburg aan de Geul;G0994;11077;Maastricht;K19;13875;5062;11;12;5039;1759;1113;393;475;384;291;317;45;174;16;19;24;10;5;3;4;7
Valkenswaard;G0858;11031;'s-Hertogenbosch;K18;24296;7724;16;23;7685;1918;1522;861;1173;646;435;692;78;192;41;42;36;10;14;8;10;7
Veendam;G0047;11292;Groningen;K1;22037;6394;5;11;6378;977;1083;1610;650;479;401;538;324;222;25;20;13;12;6;7;8;3
Veenendaal;G0345;11052;Utrecht;K8;45486;19349;18;50;19281;3676;3327;1441;1571;1039;910;678;6101;329;58;36;39;24;15;25;7;5
Veere;G0717;10369;Middelburg;K16;16922;7845;6;7;7832;1919;859;651;832;552;459;265;1880;303;35;27;22;9;9;3;6;1
Veghel;G0860;10985;'s-Hertogenbosch;K18;27729;9124;14;16;9094;3060;1605;794;1109;715;451;893;64;190;54;42;33;28;11;28;9;8
Veldhoven;G0861;10071;'s-Hertogenbosch;K18;33158;10787;15;25;10747;2632;1969;1164;1488;1131;708;931;163;316;62;46;42;42;18;6;17;12
Velsen;G0453;10620;Haarlem;K10;51183;17667;20;62;17585;2716;3737;2466;2032;2055;1502;1340;607;768;114;62;54;48;35;22;19;8
Venlo;G0983;10477;Maastricht;K19;68971;21835;28;61;21746;5753;6764;1974;1952;1357;1393;1489;173;515;100;59;67;43;30;41;20;16
Venray;G0984;11222;Maastricht;K19;29458;9442;14;22;9406;3471;1723;881;855;733;531;822;69;190;27;30;28;12;16;9;3;6
Vianen;G0620;10887;Utrecht;K8;14949;5636;5;14;5617;1103;1149;691;619;548;388;406;440;184;19;20;15;16;6;4;8;1
Vlaardingen;G0622;10811;Dordrecht;K14;54233;17968;42;24;17902;2716;4433;2296;1592;1661;1187;1741;1161;755;106;57;68;35;30;21;15;28
Vlagtwedde;G0048;11249;Groningen;K1;12921;4119;6;5;4108;1029;825;734;324;220;228;305;171;205;20;9;12;8;4;6;6;2
Vlieland;G0096;10211;Leeuwarden;K2;840;406;0;2;404;41;49;67;84;58;40;29;5;19;6;3;0;2;1;0;0;0
Vlissingen;G0718;10270;Middelburg;K16;34513;10373;16;21;10336;1676;2081;1410;1000;930;733;958;737;586;81;48;34;15;18;11;8;10
Vlist;G0623;11174;Leiden;K15;7411;3422;1;4;3417;864;507;299;400;255;163;127;688;64;22;12;6;5;3;0;2;0
Voerendaal;G0986;11341;Maastricht;K19;10223;3703;7;5;3691;1283;716;364;300;309;208;283;41;131;18;12;12;7;4;0;1;2
Voorschoten;G0626;10537;Leiden;K15;17110;8302;11;12;8279;1532;1147;806;1443;1382;897;374;192;327;33;50;28;33;10;13;6;6
Voorst;G0285;10912;Arnhem;K7;18613;7363;13;13;7337;2258;993;997;969;671;393;443;308;196;18;25;16;21;15;10;2;2
Vught;G0865;11224;'s-Hertogenbosch;K18;19154;7247;11;9;7227;1609;928;755;1218;1014;714;571;49;185;40;49;40;20;15;4;14;2
Waalre;G0866;10959;'s-Hertogenbosch;K18;12473;5415;9;11;5395;1197;788;523;1051;749;387;357;56;149;26;36;37;22;6;7;3;1
Waalwijk;G0867;11359;Tilburg;K17;35395;10564;19;21;10524;2600;2221;966;1263;892;534;752;795;300;51;52;22;30;12;21;7;6
Waddinxveen;G0627;10081;Leiden;K15;19307;8276;18;16;8242;1733;1344;698;894;698;420;301;1787;215;52;24;32;17;11;8;4;4
Wageningen;G0289;11010;Arnhem;K7;25579;12818;24;40;12754;1635;870;1772;1031;2577;2547;873;755;365;53;116;29;59;39;27;3;3
Wassenaar;G0629;10164;Leiden;K15;17852;8999;15;14;8970;1494;1813;498;2742;1185;351;252;139;314;27;49;52;27;18;7;1;1
Waterland;G0852;10983;Den Helder;K11;13269;6233;12;8;6213;1091;1287;739;752;744;632;487;137;240;28;22;19;10;9;4;8;4
Weert;G0988;11081;Maastricht;K19;37291;12495;13;43;12439;3980;3043;1065;1218;903;561;1043;110;308;69;37;37;28;9;7;11;10
Weesp;G0457;10773;Haarlem;K10;13576;5290;7;24;5259;708;979;669;671;753;575;398;112;256;35;27;32;11;14;4;9;6
Werkendam;G0870;10078;Tilburg;K17;20032;7338;13;13;7312;2033;1182;578;595;313;274;293;1789;169;27;19;25;7;3;1;3;1
Wervershoof;G0459;11270;Den Helder;K11;6512;2271;3;7;2261;742;476;193;315;151;116;136;32;62;20;1;1;5;2;3;5;1
West Maas en Waal;G0668;10042;Nijmegen;K6;14247;5072;14;11;5047;1645;1052;463;588;408;287;377;32;126;18;12;6;16;13;2;2;0
Westerveld;G1701;10186;Assen;K3;15306;6818;7;14;6797;1170;991;1273;1167;658;540;395;207;298;35;21;15;5;10;4;7;1
Westervoort;G0293;11085;Arnhem;K7;11682;3839;6;8;3825;718;705;574;334;369;374;427;111;120;15;15;15;9;7;5;27;0
Westland;G1783;11418;Dordrecht;K14;74646;27777;42;39;27696;9126;6555;1592;3750;1863;1028;866;1806;663;137;87;81;59;11;19;35;18
Weststellingwerf;G0098;11322;Leeuwarden;K2;20266;7066;20;10;7036;1682;1191;1304;817;465;476;494;216;262;61;17;7;13;10;7;8;6
Westvoorne;G0614;10009;Dordrecht;K14;11046;4667;9;8;4650;704;1240;502;982;443;192;214;101;185;35;14;13;13;3;2;4;3
Wierden;G0189;10676;Zwolle;K4;17781;7200;6;4;7190;2890;978;509;725;362;210;253;1066;110;28;16;6;17;7;7;3;3
Wieringen;G0462;11277;Den Helder;K11;6804;2213;1;4;2208;271;601;302;358;155;141;208;40;91;21;4;6;3;1;3;2;1
Wieringermeer;G0463;10239;Den Helder;K11;9497;3495;1;15;3479;1025;739;315;433;201;144;219;221;114;22;18;7;7;6;4;3;1
Wijchen;G0296;10723;Nijmegen;K6;30408;10344;13;29;10302;2892;1648;1240;1073;1164;856;868;109;255;67;58;26;13;15;10;7;1
Wijdemeren;G1696;10534;Haarlem;K10;18054;7851;15;5;7831;1433;1472;710;1671;935;532;390;240;295;50;19;38;18;13;3;9;3
Wijk bij Duurstede;G0352;10760;Utrecht;K8;17491;6873;11;9;6853;1260;1174;699;911;807;641;540;418;291;22;15;24;19;16;4;8;4
Winschoten;G0052;10453;Groningen;K1;14667;4298;5;11;4282;641;746;999;445;278;306;439;220;160;17;8;5;7;3;3;5;0
Winsum;G0053;11135;Groningen;K1;10642;4925;7;14;4904;1100;333;964;390;406;558;332;576;179;18;8;16;4;8;7;4;1
Winterswijk;G0294;11119;Arnhem;K7;22169;7697;6;10;7681;1748;986;1405;1180;642;514;751;184;162;37;19;8;19;15;3;4;4
Woensdrecht;G0873;10602;Tilburg;K17;16630;4952;3;5;4944;1134;1230;469;711;451;247;288;50;235;57;15;11;16;10;6;12;2
Woerden;G0632;10974;Utrecht;K8;36398;15553;10;28;15515;3866;2189;1372;1809;1806;1201;700;1866;390;73;84;58;40;28;19;10;4
Wormerland;G0880;10648;Den Helder;K11;12100;4358;14;6;4338;595;768;632;532;488;489;451;105;209;28;12;10;6;5;3;5;0
Woudenberg;G0351;11398;Utrecht;K8;8677;4233;5;13;4215;899;547;275;399;314;145;160;1337;86;17;14;10;5;4;1;1;1
Woudrichem;G0874;10282;Tilburg;K17;10924;4038;5;7;4026;1210;547;284;359;236;175;199;865;110;11;8;11;3;4;1;3;0
Wûnseradiel;G0710;10454;Leeuwarden;K2;8918;3589;4;7;3578;1390;388;500;348;226;219;243;92;98;38;9;5;7;7;4;4;0
Wymbritseradiel;G0683;11427;Leeuwarden;K2;12009;4683;5;8;4670;1854;502;580;416;379;287;258;237;90;27;13;15;4;3;3;2;0
Zaanstad;G0479;11044;Den Helder;K11;107752;35039;80;66;34893;3848;7637;5862;3461;3553;3548;3393;975;1846;197;135;136;65;80;78;50;29
Zaltbommel;G0297;10557;Nijmegen;K6;19127;7140;17;13;7110;1223;982;714;654;618;500;309;1815;171;23;35;21;21;8;3;8;5
Zandvoort;G0473;10910;Haarlem;K10;13193;5048;12;8;5028;518;1438;499;964;553;278;280;44;318;30;29;26;21;17;3;8;2
Zederik;G0707;10618;Dordrecht;K14;9977;4860;6;2;4852;1477;579;480;388;196;130;132;1353;74;12;7;8;8;5;1;1;1
Zeevang;G0478;11121;Den Helder;K11;4731;2118;8;4;2106;250;465;258;392;237;177;123;36;119;7;9;10;7;4;3;6;3
Zeewolde;G0050;10012;Lelystad;K5;14496;6320;38;10;6272;1247;1152;469;1021;575;327;301;874;210;20;21;13;17;4;6;7;8
Zeist;G0355;10324;Utrecht;K8;45387;20427;18;39;20370;3023;2951;2187;2948;3037;2328;1213;1454;811;74;93;69;76;61;25;12;8
Zevenaar;G0299;10938;Arnhem;K7;24938;8754;10;10;8734;2299;1492;1231;920;877;618;755;113;263;49;18;36;18;17;9;13;6
Zevenhuizen-Moerkapelle;G1666;11377;Leiden;K15;7878;3581;9;5;3567;628;558;265;455;267;100;133;1025;82;19;13;13;2;1;3;2;1
Zijpe;G0476;10004;Den Helder;K11;8820;4106;12;36;4058;838;764;513;687;386;264;310;49;152;37;12;17;9;11;3;6;0
Zoetermeer;G0637;10766;Leiden;K15;92041;32200;56;75;32069;4385;7181;3808;3800;4205;2369;2481;1785;1395;139;143;131;80;44;76;36;11
Zoeterwoude;G0638;11074;Leiden;K15;6259;2598;5;6;2587;825;362;246;278;305;227;152;57;89;19;7;7;3;2;4;3;1
Zuidhorn;G0056;10021;Groningen;K1;13655;6762;11;11;6740;1694;493;911;489;489;642;356;1429;158;25;19;9;9;4;6;5;2
Zundert;G0879;11192;Tilburg;K17;15889;4598;9;12;4577;1548;914;385;655;391;195;243;32;120;43;16;8;11;5;3;5;3
Zutphen;G0301;10254;Arnhem;K7;35618;14326;26;38;14262;1891;1507;2252;1358;2107;1991;1599;515;760;53;69;41;35;44;22;8;10
Zwartewaterland;G1896;10746;Zwolle;K4;15621;6445;8;4;6433;1575;591;485;348;151;145;216;2806;69;14;4;9;3;4;5;3;5
Zwijndrecht;G0642;10468;Dordrecht;K14;34250;11976;25;15;11936;2315;2555;1257;1320;867;557;682;1813;385;55;33;32;17;9;22;11;6
Zwolle;G0193;10093;Zwolle;K4;90558;34889;55;64;34770;5832;3510;4826;3100;3993;4134;2690;4702;1122;111;172;114;54;98;281;18;13
