RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;PVV (Partij voor de Vrijheid);Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Socialistische Partij (SOPA);CU_SGP;Partij voor de Dieren;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;De Groenen;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek
Maassluis;G0556;10880;Dordrecht;K14;23995;8819;12;17;8790;1768;2075;1017;991;834;372;722;493;321;54;28;28;20;4;23;9;31
Maastricht;G0935;10182;Maastricht;K19;93220;32092;70;93;31929;6291;6187;3909;2869;4416;3595;2445;377;1089;146;208;116;75;79;57;43;27
Margraten;G0936;11243;Maastricht;K19;10517;4216;3;10;4203;1611;801;337;397;373;299;169;20;125;16;23;7;7;7;2;6;3
Marum;G0025;11431;Groningen;K1;7774;2720;4;5;2711;733;386;440;284;182;156;137;252;87;21;9;5;5;2;7;4;1
Medemblik;G0420;11215;Den Helder;K11;20495;6998;6;10;6982;1617;1348;654;956;673;524;491;267;288;56;38;23;14;15;6;11;1
Meerlo-Wanssum;G0993;11416;Maastricht;K19;5893;2139;2;5;2132;850;478;145;175;126;110;174;9;35;8;5;5;3;4;0;5;0
Meerssen;G0938;10494;Maastricht;K19;15573;5673;8;11;5654;1911;1160;475;535;501;407;324;47;165;31;29;22;17;8;12;6;4
Meijel;G0941;10925;Maastricht;K19;4653;1435;1;7;1427;582;322;99;168;55;51;73;3;55;7;3;4;0;4;0;1;0
Menaldumadeel;G0083;11144;Leeuwarden;K2;10418;3792;4;9;3779;1012;408;822;340;284;295;297;149;104;31;13;7;5;7;4;1;0
Menterwolde;G1987;11282;Groningen;K1;9765;2999;13;0;2986;384;535;740;222;198;247;341;169;89;14;17;3;6;3;13;4;1
Meppel;G0119;11204;Assen;K3;24567;9531;14;14;9503;1775;1348;1606;1212;920;787;651;761;289;53;25;33;13;17;5;5;3
Middelburg;G0687;10122;Middelburg;K16;36077;14197;19;18;14160;2371;1663;1751;1144;1441;1314;906;2613;678;66;82;40;25;27;24;7;8
Middelharnis;G0559;11067;Dordrecht;K14;13880;5971;5;2;5964;1200;1039;526;521;299;181;293;1719;132;14;11;15;7;0;4;2;1
Midden-Delfland;G1842;10130;Dordrecht;K14;13019;5777;8;6;5763;1898;930;414;700;677;359;208;327;126;33;24;27;11;2;2;5;20
Midden-Drenthe;G1731;10520;Assen;K3;25911;10296;17;21;10258;2810;1312;2057;1123;698;692;610;532;268;58;17;25;16;22;9;5;4
Mill en Sint Hubert;G0815;10535;'s-Hertogenbosch;K18;8476;2999;14;7;2978;1344;488;273;267;130;112;259;16;42;14;14;5;2;5;3;4;0
Millingen aan de Rijn;G0265;10072;Nijmegen;K6;4500;1375;3;5;1367;271;231;262;159;120;111;137;8;52;0;3;3;2;0;3;4;1
Moerdijk;G1709;10046;Tilburg;K17;28302;8901;18;11;8872;2296;1728;861;1139;694;506;758;423;305;57;30;28;22;9;6;9;1
Montferland;G1955;10350;Arnhem;K7;27295;8150;10;10;8130;2874;1541;879;832;581;429;596;83;185;40;19;26;13;12;9;6;5
Montfoort;G0335;10033;Utrecht;K8;9920;4515;6;8;4501;1107;780;397;547;444;329;171;591;70;10;14;14;11;8;7;0;1
Mook en Middelaar;G0944;10271;Maastricht;K19;6142;2672;2;7;2663;627;382;287;331;405;283;186;15;85;23;17;5;5;4;0;7;1
Moordrecht;G0563;10120;Leiden;K15;5900;2309;5;5;2299;420;447;252;287;194;118;180;280;80;8;14;2;6;7;0;3;1
Muiden;G0424;10958;Haarlem;K10;4889;2416;3;5;2408;335;419;285;363;484;206;123;38;114;14;9;9;2;3;1;3;0
Naarden;G0425;10187;Haarlem;K10;12343;6375;6;11;6358;811;922;570;1556;1209;546;219;116;253;42;33;28;30;13;3;6;1
Neder-Betuwe;G1740;10916;Nijmegen;K6;16086;6029;8;5;6016;885;1044;620;434;287;160;227;2197;106;13;9;12;10;5;3;2;2
