RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GPV/RPF/SGP;GROENLINKS;De Groenen;SP (Socialistische Partij);Centrumdemocraten;Een Betere Toekomst;Lijst de Groen
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;4070;1567;3;;1564;553;315;303;213;29;78;42;3;21;4;3
Haarlemmermeer;G0394;11387;Noord-Holland;P27;76986;25783;35;;25748;6864;5017;7042;3408;1465;901;536;138;253;96;28
Haelen;G0914;10321;Limburg;P31;7679;2967;8;;2959;1636;411;416;318;22;73;33;17;22;9;2
Halsteren;G0789;10387;Noord-Brabant;P30;10164;2846;16;;2830;1015;627;544;384;50;49;47;38;61;13;2
Hardenberg;G0160;10174;Overijssel;P23;24443;12289;28;;12261;5218;1830;929;701;3260;106;120;37;34;17;9
Harderwijk;G0243;10786;Gelderland;P25;28215;10490;24;;10466;3775;1444;1725;897;2100;228;161;60;45;16;15
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;12809;5566;3;;5563;989;722;521;282;2935;23;36;14;29;10;2
Haren;G0017;11058;Groningen;P20;14794;7880;11;;7869;1855;1680;2061;941;593;256;409;27;35;7;5
Harenkarspel;G0395;10963;Noord-Holland;P27;10657;3590;14;;3576;1422;774;699;362;59;116;95;16;19;10;4
Harlingen;G0072;10909;Fryslân;P21;11508;4068;16;;4052;1097;1415;559;388;314;117;105;25;24;4;4
Harmelen;G0318;10183;Utrecht;P26;5929;2322;1;;2321;878;326;547;264;150;74;42;10;14;8;8
Hasselt;G0161;10115;Overijssel;P23;4956;2490;2;;2488;630;429;201;124;1039;15;30;7;11;1;1
Hattem;G0244;10673;Gelderland;P25;8747;4374;6;;4368;1309;904;601;347;1067;46;69;11;9;5;
Havelte;G0117;10186;Drenthe;P22;4898;1979;7;;1972;275;707;639;193;31;44;57;9;13;2;2
Hedel;G0245;10982;Gelderland;P25;3078;1301;5;;1296;433;204;224;127;250;19;10;10;13;6;
Heel;G1937;11208;Limburg;P31;6457;2260;12;;2248;1312;305;272;265;6;38;11;12;20;2;5
Heemskerk;G0396;10679;Noord-Holland;P27;26502;8739;10;;8729;2684;2507;1391;1124;194;393;241;59;84;42;10
Heemstede;G0397;11288;Noord-Holland;P27;20606;9676;13;;9663;2797;1502;3303;1200;177;290;311;25;31;15;12
Heerde;G0246;10291;Gelderland;P25;14055;6371;11;;6360;2067;1298;867;461;1473;55;72;18;38;6;5
Heerenveen;G0074;10680;Fryslân;P21;30393;11139;40;;11099;2756;3932;1779;1187;490;381;350;98;69;17;40
Heerewaarden;G0247;10067;Gelderland;P25;974;449;1;;448;49;213;111;37;14;4;10;3;5;2;
Heerhugowaard;G0398;10752;Noord-Holland;P27;27459;9130;7;;9123;2791;2284;1779;1345;214;285;217;83;78;36;11
Heerjansdam;G0526;10540;Zuid-Holland;P28;2639;999;1;;998;262;244;232;122;85;12;16;12;8;2;3
Heerlen;G0917;10902;Limburg;P31;75337;22240;31;;22209;8572;4684;1998;2592;310;859;295;2341;409;112;37
Heesch;G0791;10149;Noord-Brabant;P30;20499;6851;16;;6835;3676;1076;782;699;26;117;83;328;32;7;9
Heeze;G0793;10462;Noord-Brabant;P30;7362;2960;14;;2946;1288;541;596;365;9;56;52;10;16;4;9
Heiloo;G0399;10793;Noord-Holland;P27;16565;7194;8;;7186;2118;1540;1904;916;160;221;205;30;55;21;16
Heino;G0162;10854;Overijssel;P23;5490;2703;4;;2699;1271;456;344;259;214;40;92;7;5;4;7
Helden;G0918;10205;Limburg;P31;13898;4350;6;;4344;2541;528;515;379;17;238;42;19;51;9;5
Hellendoorn;G0163;10806;Overijssel;P23;26608;11873;26;;11847;6871;1701;1145;701;967;167;148;60;33;20;34
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;26576;7208;7;;7201;1142;1898;2036;1161;265;313;124;92;116;38;16
Helmond;G0794;10932;Noord-Brabant;P30;53538;14046;17;;14029;5220;3146;2029;1802;136;386;177;787;279;44;23
Helvoirt;G0795;10389;Noord-Brabant;P30;3591;1493;8;;1485;681;235;293;181;7;33;25;14;9;6;1
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;14733;5624;5;;5619;1281;901;1081;582;1572;55;67;22;42;11;5
Hengelo;G0164;10907;Overijssel;P23;59253;22896;64;;22832;7735;5821;3190;2726;939;763;642;548;179;38;251
Hengelo;G0248;10359;Gelderland;P25;6468;2606;1;;2605;1299;480;500;192;51;25;38;4;8;1;7
Het Bildt;G0063;10128;Fryslân;P21;7533;3079;5;;3074;1263;941;369;207;115;44;93;17;17;7;1
Heteren;G0251;10290;Gelderland;P25;6577;2349;4;;2345;914;424;362;257;225;70;59;10;14;9;1
Heumen;G0252;10600;Gelderland;P25;10244;4272;5;;4267;1734;892;720;586;26;159;89;27;25;5;4
Heusden;G0797;10307;Noord-Brabant;P30;4377;1421;4;;1417;537;306;223;180;60;39;28;18;16;5;5
Heythuysen;G0920;10840;Limburg;P31;8923;3644;16;;3628;2320;397;374;351;30;65;35;12;22;7;15
Hillegom;G0534;11236;Zuid-Holland;P28;15269;5556;13;;5543;2057;1050;1282;635;174;157;94;21;45;24;4
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;7616;2989;6;;2983;1402;592;469;319;12;68;55;37;17;9;3
Hilversum;G0402;11285;Noord-Holland;P27;66049;23146;44;;23102;5629;5457;5609;2975;1243;922;694;261;242;33;37
Hoevelaken;G0253;11358;Gelderland;P25;6452;2898;2;;2896;728;470;650;327;593;61;45;6;10;2;4
Hoeven;G0799;10065;Noord-Brabant;P30;6470;1996;6;;1990;753;324;504;286;22;26;25;13;32;5;
Holten;G0165;11246;Overijssel;P23;6869;3442;6;;3436;1286;716;890;322;104;30;42;12;9;8;17
Hontenisse;G0675;11123;Zeeland;P29;6204;2265;11;;2254;894;423;248;535;22;32;40;15;24;19;2
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;2950;1078;0;;1078;681;113;156;86;4;16;7;7;4;2;2
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;4700;1537;0;;1537;618;271;341;196;24;29;31;12;10;4;1
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;6273;2283;8;;2275;1254;304;336;273;9;42;21;18;16;2;
Hoogeveen;G0118;10839;Drenthe;P22;34801;13144;0;;13144;5391;2842;1343;1084;1749;286;250;89;67;31;12
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;25604;7880;28;;7852;1423;3000;1343;829;525;262;265;99;57;20;29
Hoorn;G0405;11392;Noord-Holland;P27;44300;14690;38;;14652;3154;4475;3007;2130;315;766;388;171;186;39;21
Horst;G0923;11108;Limburg;P31;14151;4337;3;;4334;2699;546;449;339;32;65;73;115;13;3;
Houten;G0321;10230;Utrecht;P26;20599;8763;8;;8755;2540;1682;1526;1197;1055;427;192;45;59;13;19
Huijbergen;G0803;10466;Noord-Brabant;P30;1510;570;0;;570;261;82;134;60;7;4;11;6;2;2;1
Huissen;G0255;11047;Gelderland;P25;11501;3914;13;;3901;1491;872;721;580;30;88;78;16;13;6;6
Huizen;G0406;11170;Noord-Holland;P27;29913;11868;23;;11845;2651;2049;2945;1531;1866;376;224;55;88;30;30
Hulst;G0677;11408;Zeeland;P29;14729;4765;40;;4725;1614;1048;744;912;37;75;100;25;126;34;10
Hummelo en Keppel;G0256;11235;Gelderland;P25;3400;1651;4;;1647;534;413;433;171;29;20;31;7;3;2;4
Hunsel;G0925;10784;Limburg;P31;4460;1723;17;;1706;1153;190;149;142;4;25;7;15;16;3;2
IJsselham;G0195;10858;Overijssel;P23;4091;1936;5;;1931;777;467;338;109;139;27;53;4;12;2;3
IJsselmuiden;G0191;10641;Overijssel;P23;9408;4932;10;;4922;1532;358;266;138;2528;33;33;10;16;4;4
IJsselstein;G0353;10152;Utrecht;P26;16605;6014;14;;6000;1870;1163;1271;859;415;184;141;39;40;7;11
Jacobswoude;G0645;10461;Zuid-Holland;P28;8114;3268;6;;3262;1193;458;786;421;162;71;92;30;27;22;
Kampen;G0166;10253;Overijssel;P23;24149;9866;25;;9841;2874;1648;872;651;3136;329;216;49;48;10;8
Kapelle;G0678;11223;Zeeland;P29;7946;3114;4;;3110;929;422;540;339;694;56;61;23;42;3;1
Katwijk;G0537;10707;Zuid-Holland;P28;29516;10804;18;;10786;3478;1046;1117;664;4038;171;107;47;85;26;7
Kerkrade;G0928;10313;Limburg;P31;42174;11618;130;;11488;4985;3137;738;1116;108;531;213;335;177;117;31
Kerkwijk;G0257;10791;Gelderland;P25;4706;2125;0;;2125;511;235;275;80;948;30;15;20;5;5;1
Kessel;G0929;10890;Limburg;P31;3113;1210;11;;1199;725;176;147;114;;11;3;2;14;5;2
Kesteren;G0258;10916;Gelderland;P25;6920;2459;3;;2456;416;510;308;183;967;30;19;6;14;3;
Klundert;G0804;10656;Noord-Brabant;P30;5140;1770;4;;1766;709;290;279;132;262;18;42;6;18;8;2
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;9342;3536;8;;3528;1923;580;294;157;387;37;105;17;15;11;2
Korendijk;G0588;10914;Zuid-Holland;P28;7641;3290;4;;3286;653;563;666;250;1012;44;49;14;23;7;5
Kortgene;G0682;10250;Zeeland;P29;2847;1215;0;;1215;272;305;272;169;129;18;29;11;1;4;5
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;21061;8376;10;;8366;1544;1657;1568;926;2244;134;127;66;86;11;3
Landerd;G1685;10276;Noord-Brabant;P30;10520;3871;8;;3863;2157;625;493;347;24;75;31;87;16;8;
Landgraaf;G0882;11335;Limburg;P31;31774;9124;8;;9116;3897;1949;804;1175;96;280;158;555;142;34;26
Landsmeer;G0415;11225;Noord-Holland;P27;8166;3198;7;;3191;465;1185;730;441;86;132;79;25;39;4;5
Langbroek;G0325;11413;Utrecht;P26;1548;647;4;;643;181;104;82;35;211;12;13;;5;;
Langedijk;G0416;10955;Noord-Holland;P27;16349;5869;11;;5858;1869;1306;1273;649;306;192;161;32;42;19;9
Laren;G0417;10649;Noord-Holland;P27;9334;3865;0;;3865;956;581;1543;464;60;107;94;15;17;20;8
Leek;G0022;10604;Groningen;P20;13382;5535;3;;5532;1552;1499;747;493;847;147;189;23;24;6;5
Leende;G0805;11017;Noord-Brabant;P30;3185;1424;18;;1406;796;141;259;149;11;20;16;5;3;2;4
Leerdam;G0545;10685;Zuid-Holland;P28;14297;5216;7;;5209;1299;1098;875;412;1230;88;71;46;73;12;5
Leersum;G0326;11142;Utrecht;P26;5408;2505;4;;2501;580;441;725;289;302;70;58;10;16;9;1
Leeuwarden;G0080;11228;Fryslân;P21;68794;24857;74;;24783;6120;8766;3276;2830;1271;1169;831;271;156;56;37
Leeuwarderadeel;G0081;10851;Fryslân;P21;6981;3013;2;;3011;1003;1060;370;250;134;42;103;20;14;1;14
Leiden;G0546;10702;Zuid-Holland;P28;89680;33396;217;;33179;5798;9226;6475;5445;898;2818;1165;862;365;80;47
Leiderdorp;G0547;10058;Zuid-Holland;P28;18023;7341;11;;7330;1829;1504;1943;1141;258;285;241;58;48;15;8
Leidschendam;G0548;10742;Zuid-Holland;P28;26438;10284;17;;10267;3306;1687;2666;1373;248;239;238;307;109;71;23
Lelystad;G0995;11110;Flevoland;P24;43001;13473;37;;13436;2445;3688;2400;2283;698;516;402;481;222;47;254
Lemsterland;G0082;10142;Fryslân;P21;8660;2836;1;;2835;1064;720;381;256;230;49;74;31;23;4;3
Leusden;G0327;10978;Utrecht;P26;20093;8561;18;;8543;2413;1424;1965;1179;908;280;240;42;59;12;21
Lichtenvoorde;G0260;10242;Gelderland;P25;13714;5226;11;;5215;3112;773;651;418;30;89;80;15;21;6;20
Liemeer;G1673;10487;Zuid-Holland;P28;5001;1839;6;;1833;848;181;419;176;120;19;26;12;20;8;4
Liempde;G0806;10390;Noord-Brabant;P30;3760;1171;6;;1165;621;225;132;116;10;12;17;6;18;7;1
Lienden;G0261;11093;Gelderland;P25;5333;1916;2;;1914;357;574;368;153;388;25;21;5;15;3;5
Lieshout;G0807;10637;Noord-Brabant;P30;4631;1745;3;;1742;892;324;203;209;11;23;13;23;23;6;15
Liesveld;G0694;11205;Zuid-Holland;P28;6743;3377;18;;3359;851;492;525;188;1210;30;24;12;20;4;3
Limmen;G0418;11370;Noord-Holland;P27;4378;1579;3;;1576;683;287;289;180;18;32;45;12;9;10;11
Lingewaal;G0733;11376;Gelderland;P25;7804;3072;8;;3064;980;723;561;226;464;32;23;24;21;7;3
Lisse;G0553;10197;Zuid-Holland;P28;16436;6630;16;;6614;2378;998;1349;691;887;121;98;28;47;13;4
Lith;G0808;11219;Noord-Brabant;P30;4810;1658;24;;1634;862;274;266;120;9;18;11;51;18;4;1
Littenseradiel;G0140;10422;Fryslân;P21;7498;3084;6;;3078;1153;802;555;243;77;65;152;16;7;3;5
Lochem;G0262;11263;Gelderland;P25;14678;6323;0;;6323;1546;1681;1690;850;106;184;170;27;29;12;28
Loenen;G0329;11202;Utrecht;P26;6498;3029;3;;3026;853;599;833;340;197;90;76;11;13;10;4
Loon op Zand;G0809;11259;Noord-Brabant;P30;17064;5122;6;;5116;2246;915;957;580;105;115;68;56;49;12;13
Loosdrecht;G0330;10639;Utrecht;P26;7130;2950;7;;2943;856;405;1046;342;168;36;46;6;24;4;10
Lopik;G0331;10333;Utrecht;P26;9540;4058;5;;4053;1541;447;598;268;1054;28;44;24;34;13;2
Loppersum;G0024;10934;Groningen;P20;8187;3597;0;;3597;1291;871;345;217;480;117;244;19;8;1;4
Losser;G0168;11166;Overijssel;P23;17164;6331;19;;6312;3521;1130;664;503;81;81;113;23;46;17;133
Luyksgestel;G0810;10011;Noord-Brabant;P30;2212;831;8;;823;484;118;120;74;4;11;4;3;4;1;
Maarheeze;G0811;11143;Noord-Brabant;P30;7044;2635;10;;2625;1366;381;501;251;21;33;21;21;14;10;6
Maarn;G0332;10392;Utrecht;P26;4601;2482;5;;2477;638;440;790;259;181;67;67;6;24;3;2
Maarssen;G0333;10191;Utrecht;P26;29924;10620;27;;10593;2696;2433;2496;1662;483;351;287;82;71;12;20
Maartensdijk;G0334;10691;Utrecht;P26;6961;3396;5;;3391;842;493;814;372;668;85;74;13;20;6;4
Maasbracht;G0933;10964;Limburg;P31;10820;4280;29;;4251;2602;501;436;382;67;141;22;19;50;24;7
Maasbree;G0934;11352;Limburg;P31;9153;3160;9;;3151;1819;412;383;328;9;97;45;10;40;7;1
Maasdonk;G1671;10370;Noord-Brabant;P30;8290;2585;3;;2582;1469;452;287;193;5;39;16;82;26;11;2
Maasdriel;G0263;10341;Gelderland;P25;6853;2075;0;;2075;1118;304;385;149;24;20;14;28;24;3;6
Maasland;G0555;10393;Zuid-Holland;P28;4818;2262;4;;2258;1119;185;531;161;170;33;42;8;5;4;
Maassluis;G0556;10880;Zuid-Holland;P28;24252;7872;29;;7843;2388;1618;1766;998;579;172;119;63;108;24;8
Maastricht;G0935;10182;Limburg;P31;95418;29456;90;;29366;9427;6957;3141;6367;256;1676;482;468;410;139;43
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;9462;3046;0;;3046;1184;545;506;650;26;35;37;10;38;10;5
Margraten;G0936;11243;Limburg;P31;10727;4333;12;;4321;2228;633;454;692;28;154;50;30;38;12;2
Mariekerke;G0686;11221;Zeeland;P29;2691;1642;2;;1640;414;73;117;83;910;13;16;5;9;;
Markelo;G0169;11382;Overijssel;P23;5591;2594;13;;2581;747;535;887;240;66;23;42;6;18;4;13
Marum;G0025;11431;Groningen;P20;7052;2642;5;;2637;842;689;485;173;285;55;60;15;17;1;15
Maurik;G0264;10300;Gelderland;P25;4901;1801;4;;1797;390;576;465;203;79;31;16;9;24;2;2
Medemblik;G0420;11215;Noord-Holland;P27;5367;1632;6;;1626;603;371;325;160;61;52;22;7;17;6;2
Meerlo-Wanssum;G0993;11416;Limburg;P31;5342;1876;6;;1870;1118;265;202;188;4;55;19;4;11;4;
Meerssen;G0938;10494;Limburg;P31;16499;6244;45;;6199;2788;1012;842;1038;46;258;63;52;71;17;12
Meijel;G0941;10925;Limburg;P31;4265;1290;5;;1285;791;173;144;112;11;29;12;5;3;5;
Menaldumadeel;G0083;11144;Fryslân;P21;9933;4196;10;;4186;1456;1327;579;369;144;87;185;22;5;8;4
Menterwolde;G1987;11282;Groningen;P20;9411;3032;14;;3018;411;1406;378;236;166;89;198;95;26;8;5
Meppel;G0119;11204;Drenthe;P22;18593;7024;24;;7000;1666;2238;1210;843;649;169;148;38;26;11;4
Middelburg;G0687;10122;Zeeland;P29;30750;11405;33;;11372;2629;2423;1693;1506;2099;469;339;117;66;15;16
Middelharnis;G0559;11067;Zuid-Holland;P28;12490;4873;9;;4864;811;835;732;334;1972;62;53;21;27;14;3
Middenschouwen;G0688;10837;Zeeland;P29;2061;828;0;;828;222;143;173;63;184;9;12;9;11;1;1
Mierlo;G0814;10215;Noord-Brabant;P30;7640;3152;6;;3146;1438;505;507;476;23;83;34;40;30;6;4
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8276;3234;18;;3216;1779;646;394;237;21;47;26;27;23;9;7
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4262;1265;3;;1262;469;479;120;128;5;26;21;10;3;1;
Moergestel;G0816;11191;Noord-Brabant;P30;4511;1796;2;;1794;1084;239;254;144;3;32;12;13;7;4;2
Monster;G0562;10019;Zuid-Holland;P28;14803;5599;25;;5574;2413;595;1176;373;759;66;74;22;79;16;1
Montfoort;G0335;10033;Utrecht;P26;9449;3990;8;;3982;1402;555;735;443;586;130;77;20;22;5;7
Mook en Middelaar;G0944;10271;Limburg;P31;5734;2314;4;;2310;823;496;478;293;29;92;74;15;4;4;2
Moordrecht;G0563;10120;Zuid-Holland;P28;5321;2020;4;;2016;485;476;430;240;259;47;27;15;28;6;3
Muiden;G0424;10958;Noord-Holland;P27;5276;2323;11;;2312;551;626;596;307;67;71;61;4;20;5;4
Naaldwijk;G0565;11418;Zuid-Holland;P28;20775;8110;13;;8097;3934;863;1982;542;453;90;116;17;74;25;1
Naarden;G0425;10187;Noord-Holland;P27;12937;5654;3;;5651;1196;987;2264;687;174;125;134;19;38;13;14
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;4126;1696;3;;1693;547;336;451;210;32;47;37;14;10;9;
Nederlek;G0643;10050;Zuid-Holland;P28;11139;4958;14;;4944;938;1432;1076;565;681;69;59;38;72;10;4
Nederweert;G0946;10681;Limburg;P31;11955;4299;21;;4278;2567;629;553;343;26;61;19;29;36;10;5
Neede;G0266;10367;Gelderland;P25;8594;3659;7;;3652;1255;1135;608;339;129;60;61;11;13;8;33
Neerijnen;G0304;10125;Gelderland;P25;8107;3272;11;;3261;808;746;658;256;633;59;49;14;32;5;1
Niedorp;G0412;10923;Noord-Holland;P27;7882;2774;12;;2762;728;931;564;310;18;102;76;5;15;9;4
Nieuwegein;G0356;10374;Utrecht;P26;42621;13427;22;;13405;3483;3215;2762;2022;669;494;377;163;160;33;27
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;13520;5343;11;;5332;1278;940;1341;671;808;88;89;34;57;19;7
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;9280;3708;19;;3689;1504;565;893;513;31;50;71;15;23;13;11
Nieuwkoop;G0569;10728;Zuid-Holland;P28;8174;2951;7;;2944;943;490;710;384;234;80;61;10;15;16;1
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6368;3123;6;;3117;467;605;285;186;1470;26;19;20;26;12;1
Nieuwleusen;G0170;10384;Overijssel;P23;6125;2598;3;;2595;1073;345;383;147;590;9;27;9;9;1;2
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;1805;592;0;;592;212;183;88;61;3;11;11;6;14;3;
Nijefurd;G0104;10768;Fryslân;P21;7816;3175;7;;3168;1516;738;348;188;167;73;115;7;7;7;2
Nijeveen;G0121;10774;Drenthe;P22;2204;1031;0;;1031;459;173;215;104;57;4;12;4;2;1;
Nijkerk;G0267;10446;Gelderland;P25;19358;7854;9;;7845;2833;965;1046;580;2129;99;106;12;57;9;9
Nijmegen;G0268;11209;Gelderland;P25;116255;40019;240;;39779;10004;11630;4152;5393;419;4673;1674;1381;298;85;70
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;7266;2941;10;;2931;666;688;782;366;167;100;86;25;33;13;5
Noordoostpolder;G0171;10144;Flevoland;P24;28062;12640;33;;12607;5087;2124;1924;1081;1676;223;307;70;79;26;10
Noordwijk;G0575;10769;Zuid-Holland;P28;19600;6798;28;;6770;2179;1195;1773;659;319;317;143;63;58;37;27
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11505;4596;11;;4585;1798;693;1232;518;53;118;87;26;39;18;3
Nootdorp;G0577;10601;Zuid-Holland;P28;6009;2358;2;;2356;883;270;699;274;70;59;50;9;26;10;6
Norg;G0120;10608;Drenthe;P22;5404;2326;4;;2322;396;728;683;252;66;74;75;14;28;5;1
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;16394;6841;11;;6830;2669;1214;1287;1125;71;221;138;48;24;9;24
Nunspeet;G0302;10512;Gelderland;P25;18654;9276;10;;9266;2259;715;1234;469;4339;69;80;22;58;16;5
Nuth;G0951;10104;Limburg;P31;13413;5476;30;;5446;2813;1004;546;662;44;212;38;56;48;13;10
Obdam;G0429;11338;Noord-Holland;P27;4519;1790;3;;1787;804;329;354;177;12;45;39;11;14;2;
Odoorn;G0122;11320;Drenthe;P22;9742;3532;9;;3523;777;1278;740;307;182;54;144;16;19;2;4
Oegstgeest;G0579;10287;Zuid-Holland;P28;14419;7170;30;;7140;1599;1279;2293;1014;311;299;218;51;42;23;11
Oirschot;G0823;10225;Noord-Brabant;P30;8973;3511;27;;3484;1908;607;443;328;13;71;46;25;23;14;6
Oisterwijk;G0824;10103;Noord-Brabant;P30;14322;4639;4;;4635;1810;842;1049;562;50;137;102;37;36;6;4
Oldebroek;G0269;11106;Gelderland;P25;15518;5941;6;;5935;1627;644;486;196;2829;38;54;30;21;10;
Oldenzaal;G0173;11100;Overijssel;P23;22988;8684;35;;8649;4182;1611;1093;923;83;199;227;83;57;23;168
Olst;G0174;10409;Overijssel;P23;7135;2947;11;;2936;959;890;590;261;61;66;81;11;9;3;5
Ommen;G0175;11069;Overijssel;P23;13507;7174;13;;7161;3368;896;868;481;1308;81;106;22;14;8;9
Onderbanken;G0881;10492;Limburg;P31;6625;2318;15;;2303;1311;378;155;226;11;93;20;53;36;15;5
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;3881;1474;5;;1469;859;163;223;153;6;22;16;12;9;2;4
Oostburg;G0692;10782;Zeeland;P29;14374;4940;33;;4907;1337;1018;1389;630;230;81;126;26;52;14;4
Oosterhesselen;G0123;10490;Drenthe;P22;3812;1701;3;;1698;472;483;340;132;160;26;54;16;8;4;3
Oosterhout;G0826;11280;Noord-Brabant;P30;37708;11537;10;;11527;3764;2402;2459;1924;164;207;293;107;118;59;30
Oostflakkee;G0580;10714;Zuid-Holland;P28;7526;2935;16;;2919;707;759;417;182;676;51;62;12;40;13;
Ooststellingwerf;G0085;10836;Fryslân;P21;18971;7511;21;;7490;2042;2540;1186;675;446;195;246;66;49;19;26
Oostzaan;G0431;11303;Noord-Holland;P27;6411;2189;2;;2187;310;720;509;279;99;176;38;16;28;11;1
Ootmarsum;G0176;11079;Overijssel;P23;3437;1712;4;;1708;1047;188;212;124;13;14;47;8;6;2;47
Opmeer;G0432;10609;Noord-Holland;P27;7647;2988;2;;2986;1222;628;650;256;28;75;80;15;19;11;2
Opsterland;G0086;10005;Fryslân;P21;20556;8441;13;;8428;2167;2695;1194;720;983;221;303;78;44;15;8
Oss;G0828;10834;Noord-Brabant;P30;46481;14234;26;;14208;5166;2761;2151;1555;122;296;158;1810;146;30;13
Ossendrecht;G0829;10929;Noord-Brabant;P30;4032;1132;2;;1130;498;223;201;111;13;26;28;8;17;5;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;6431;1627;0;;1627;759;351;217;169;4;21;46;24;25;10;1
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;15433;6051;5;;6046;1330;1204;1213;666;1217;171;120;42;60;15;8
Oudenbosch;G0830;10397;Noord-Brabant;P30;9384;3149;7;;3142;1371;571;555;410;28;73;43;25;49;13;4
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9213;3891;10;;3881;1046;885;1045;496;103;128;94;17;44;21;2
Ouderkerk;G0644;10095;Zuid-Holland;P28;6257;2651;11;;2640;495;415;529;194;890;41;23;14;27;9;3
Oudewater;G0589;10188;Utrecht;P26;7243;3228;18;;3210;1433;445;525;271;384;57;57;13;24;1;
Papendrecht;G0590;10427;Zuid-Holland;P28;21835;7850;6;;7844;1967;1565;1581;1102;1228;137;109;60;65;18;12
Peize;G0124;10501;Drenthe;P22;3940;1560;5;;1555;157;577;405;260;16;50;74;8;8;;
Pekela;G0765;10848;Groningen;P20;10198;3222;18;;3204;630;1335;326;157;249;283;155;40;23;5;1
Pijnacker;G0594;10031;Zuid-Holland;P28;14283;6557;16;;6541;2264;866;1650;797;494;171;164;27;54;46;8
Prinsenbeek;G0832;11354;Noord-Brabant;P30;8092;3030;6;;3024;1265;475;673;450;35;42;38;15;12;10;9
Purmerend;G0439;11066;Noord-Holland;P27;48479;14622;25;;14597;2343;4731;3401;2336;298;663;323;187;238;51;26
Putte;G0833;10099;Noord-Brabant;P30;2958;962;0;;962;269;169;285;116;11;20;25;12;40;12;3
Putten;G0273;11109;Gelderland;P25;16043;7632;22;;7610;2525;595;1224;402;2651;60;71;17;48;12;5
Raalte;G0177;10279;Overijssel;P23;20916;8714;10;;8704;5289;1320;918;701;86;116;130;89;26;13;16
Raamsdonk;G0834;11391;Noord-Brabant;P30;10764;2979;7;;2972;1162;622;595;337;67;71;45;17;42;11;3
Ravenstein;G0835;10805;Noord-Brabant;P30;6284;2415;6;;2409;1165;499;303;233;13;65;34;69;19;6;3
Reeuwijk;G0595;10485;Zuid-Holland;P28;9530;4333;3;;4330;1313;469;1114;456;748;101;66;13;36;14;
Reiderland;G1661;11043;Groningen;P20;5770;1689;30;;1659;117;800;199;93;26;156;113;126;16;10;3
Reimerswaal;G0703;10077;Zeeland;P29;14569;5742;6;;5736;1120;737;684;399;2579;52;58;42;55;10;
Renkum;G0274;11325;Gelderland;P25;26262;12185;34;;12151;3414;2685;3113;1444;502;469;359;70;61;10;24
Renswoude;G0339;10269;Utrecht;P26;2594;1117;0;;1117;468;104;184;44;286;4;10;4;6;5;2
Reusel;G0836;10162;Noord-Brabant;P30;5849;1756;10;;1746;995;309;250;123;9;22;8;9;13;5;3
Rheden;G0275;11355;Gelderland;P25;36215;14712;34;;14678;3816;4056;3063;1981;608;491;391;126;92;21;33
Rhenen;G0340;10309;Utrecht;P26;12973;5038;9;;5029;1216;945;893;467;1193;126;110;27;35;14;3
Ridderkerk;G0597;10646;Zuid-Holland;P28;36350;12796;32;;12764;2915;2686;1883;1258;3476;133;138;95;146;25;9
Riethoven;G0837;10455;Noord-Brabant;P30;1774;758;5;;753;422;100;135;75;2;6;10;1;1;1;
Rijnsburg;G0602;11118;Zuid-Holland;P28;9949;4104;6;;4098;1915;432;537;163;918;48;33;9;37;6;
Rijnwaarden;G0196;10819;Gelderland;P25;7850;2364;9;;2355;1032;675;260;265;16;31;36;13;15;9;3
Rijnwoude;G1672;11257;Zuid-Holland;P28;14312;5620;7;;5613;1720;786;1168;686;943;105;116;38;28;15;8
