RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;11444;
Nederland;L528;AantalGeldigeStemmen;;4765677;
Nederland;L528;Kiesgerechtigden;;12168878;
Nederland;L528;Opkomst;;4777121;
Nederland;L528;;CDA;1164431;7
Nederland;L528;;PvdA;1124549;7
Nederland;L528;;VVD;629198;4
Nederland;L528;;GL;352201;2
Nederland;L528;;Europa Transparant;349156;2
Nederland;L528;;SP;332326;2
Nederland;L528;;CU_SGP;279880;2
Nederland;L528;;D66;202502;1
Nederland;L528;;PvdD;153432;
Nederland;L528;;LPF;121509;
Nederland;L528;;Partij voor het Noorden;18234;
Nederland;L528;;Nieuw Rechts;15732;
Nederland;L528;;Leefbaar Europa;9144;
Nederland;L528;;Democratisch Europa;8780;
Nederland;L528;;Respect.Nu;4603;
