RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;16786;
Nederland;L528;AantalGeldigeStemmen;;4753746;
Nederland;L528;AantalOngeldigeStemmen;;11719;
Nederland;L528;Kiesgerechtigden;;12815496;
Nederland;L528;Opkomst;;4782251;
Nederland;L528;;Democraten 66 (D66) - ALDE;735825;4
Nederland;L528;;CDA - Europese Volkspartij;721766;5
Nederland;L528;;PVV (Partij voor de Vrijheid);633114;4
Nederland;L528;;VVD;571176;3
Nederland;L528;;SP (Socialistische Partij);458079;2
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten;446763;3
Nederland;L528;;ChristenUnie-SGP;364843;2
Nederland;L528;;GROENLINKS;331594;2
Nederland;L528;;Partij voor de Dieren;200254;1
Nederland;L528;;50PLUS;175343;
Nederland;L528;;Piratenpartij;40216;
Nederland;L528;;Artikel50;24069;
Nederland;L528;;Anti  EU(ro)  Partij;12290;
Nederland;L528;;De Groenen;10883;
Nederland;L528;;JEZUS LEEFT;9507;
Nederland;L528;;ikkiesvooreerlijk.eu;6796;
Nederland;L528;;Liberaal Democratische Partij;6349;
Nederland;L528;;Aandacht en Eenvoud;3174;
Nederland;L528;;IQ, de Rechten-Plichten-Partij;1705;
