RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;Europa Transparant;SP (Socialistische Partij);CU_SGP;Democraten 66 (D66);Partij voor de Dieren;Lijst Pim Fortuyn;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu
Briefstemmen;G9999;;Niet-provinciaal ingedeeld;P99;15832;12046;16;;12030;1936;1649;3595;1434;966;393;334;1020;279;262;28;44;19;67;4
Brielle;G0501;10232;Zuid-Holland;P28;12335;4715;;16;4699;798;1225;897;238;439;372;73;228;186;185;0;30;14;11;3
Brummen;G0213;10798;Gelderland;P25;16382;6231;;5;6226;1303;2098;968;379;419;384;90;215;193;138;5;9;16;6;3
Brunssum;G0899;10533;Limburg;P31;23191;7058;;7;7051;2912;1754;434;280;436;553;88;134;230;153;12;24;17;10;14
Bunnik;G0312;10820;Utrecht;P26;10626;5767;;9;5758;1495;1023;755;789;570;346;153;319;149;111;0;17;8;12;11
Bunschoten;G0313;11343;Utrecht;P26;13943;5889;;8;5881;1984;330;288;82;256;118;2575;58;57;95;1;24;3;7;3
Buren;G0214;11286;Gelderland;P25;19526;7715;;7;7708;1643;2023;1423;386;518;327;564;259;269;224;4;23;21;21;3
Bussum;G0381;10281;Noord-Holland;P27;23583;11145;;12;11133;2077;2113;2381;1089;1039;532;199;819;536;194;13;38;18;57;28
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;49570;18313;;51;18262;2803;4417;2454;921;1414;1237;2395;745;758;896;15;94;56;35;22
Castricum;G0383;11287;Noord-Holland;P27;26738;12476;;10;12466;2582;2846;2086;1210;1408;701;90;653;464;293;9;52;36;21;15
Coevorden;G0109;10383;Drenthe;P22;27730;12457;;17;12440;3087;4278;2034;529;624;648;239;293;251;191;219;10;18;11;8
Cranendonck;G1706;10219;Noord-Brabant;P30;15391;5202;;9;5193;2030;985;720;159;460;307;29;143;133;164;2;16;16;17;12
Cromstrijen;G0611;11346;Zuid-Holland;P28;10125;4046;;13;4033;855;1014;624;147;303;231;428;142;110;146;0;25;4;2;2
Cuijk;G1684;10023;Noord-Brabant;P30;17961;6650;;11;6639;2246;1514;714;397;516;610;21;254;164;146;6;17;19;12;3
Culemborg;G0216;10342;Gelderland;P25;18890;7191;;16;7175;1373;1730;962;882;472;677;213;356;230;209;3;38;13;10;7
Dalfsen;G0148;11007;Overijssel;P23;19772;9269;;11;9258;3804;1566;987;311;422;279;1355;211;139;137;13;9;13;7;5
Dantumadeel;G0065;10650;Fryslân;P21;14812;6043;;4;6039;2085;1591;273;209;293;205;928;91;89;88;151;26;3;6;1
De Bilt;G0310;10168;Utrecht;P26;32199;16969;;39;16930;3386;2763;3146;1681;1409;1104;1090;1143;696;358;13;38;30;60;13
De Marne;G1663;10180;Groningen;P20;8482;4270;;9;4261;996;1111;485;276;177;338;484;72;109;59;143;4;3;3;1
De Ronde Venen;G0736;11379;Utrecht;P26;25523;10537;;15;10522;3140;1635;1982;542;795;509;681;465;304;353;5;49;26;22;14
De Wolden;G1690;10262;Drenthe;P22;18130;8632;;5;8627;2225;2195;1918;408;427;329;332;248;182;143;181;15;11;9;4
Delft;G0503;10928;Zuid-Holland;P28;71771;31914;;193;31721;4820;8011;4068;3976;2238;2525;1084;2663;1127;883;25;103;97;71;30
Delfzijl;G0010;10976;Groningen;P20;22059;7212;;5;7207;1642;2625;621;225;431;407;395;134;177;105;417;11;9;3;5
Den Helder;G0400;10285;Noord-Holland;P27;45763;13222;;25;13197;2408;3460;2218;672;1300;640;631;533;624;535;26;64;40;24;22
Deurne;G0762;10379;Noord-Brabant;P30;24250;8669;;21;8648;3177;1345;1642;411;673;729;35;252;140;174;2;31;16;15;6
Deventer;G0150;10899;Overijssel;P23;65504;26347;;37;26310;4751;8391;3268;2915;1595;2071;698;1293;676;458;36;52;42;45;19
Didam;G0218;10153;Gelderland;P25;12965;4493;;12;4481;1720;1197;476;173;253;229;28;119;89;157;1;12;2;10;15
Diemen;G0384;11039;Noord-Holland;P27;17646;6802;;22;6780;952;1780;1069;719;591;549;100;416;354;196;4;18;20;7;5
Dinkelland;G1774;10245;Overijssel;P23;19281;8893;;11;8882;5165;1172;1049;200;542;305;36;155;78;123;7;18;17;8;7
Dinxperlo;G0219;11154;Gelderland;P25;6463;2387;;2;2385;1034;525;212;77;148;150;63;62;40;61;2;2;3;4;2
Dirksland;G0504;11344;Zuid-Holland;P28;6169;2821;;0;2821;603;489;215;72;144;152;929;43;79;84;0;5;2;3;1
Doesburg;G0221;10327;Gelderland;P25;8493;3448;;14;3434;694;1010;339;171;203;564;84;175;123;54;1;6;1;7;2
Doetinchem;G0222;10396;Gelderland;P25;37212;14606;;15;14591;3473;3991;1769;1082;1051;1162;597;599;443;336;6;36;24;9;13
Dongen;G0766;11412;Noord-Brabant;P30;18819;6940;;18;6922;1852;1277;814;254;642;1473;87;229;126;121;5;21;7;8;6
Dongeradeel;G0058;10198;Fryslân;P21;18438;7737;;5;7732;3433;1508;458;284;461;374;545;121;167;117;224;19;5;5;11
Doorn;G0315;10213;Utrecht;P26;7926;3904;;10;3894;928;551;816;325;377;178;212;215;173;76;5;10;5;15;8
Dordrecht;G0505;11157;Zuid-Holland;P28;87977;31117;;63;31054;5580;7996;3567;2267;2248;2744;2705;1272;1184;1199;30;125;66;43;28
Drechterland;G0498;10642;Noord-Holland;P27;7736;3035;;5;3030;845;594;591;163;266;202;25;115;85;111;6;8;7;8;4
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;14090;7244;;10;7234;1628;1117;1205;902;601;434;534;389;248;131;6;10;8;19;2
Drimmelen;G1719;10258;Noord-Brabant;P30;20391;7093;;12;7081;1987;1582;912;305;997;487;40;299;174;221;0;46;17;8;6
Dronten;G0303;10210;Flevoland;P24;26402;11804;;19;11785;3214;2022;2672;592;749;603;945;348;287;242;12;33;29;16;21
Druten;G0225;10068;Gelderland;P25;13136;4555;;2;4553;1411;1325;552;239;297;313;13;168;99;102;5;11;7;7;4
Duiven;G0226;11028;Gelderland;P25;18561;6520;;11;6509;1808;1683;954;428;460;383;121;247;194;164;3;39;9;12;4
Echt-Susteren;G1711;10941;Limburg;P31;25004;9395;;6;9389;5290;1688;522;358;514;394;42;178;216;138;2;26;3;8;10
Edam-Volendam;G0385;10884;Noord-Holland;P27;21365;6656;;9;6647;2215;1132;930;348;682;362;48;194;310;344;4;47;18;5;8
Ede;G0228;10743;Gelderland;P25;77179;34371;;37;34334;9501;4999;4058;2024;2263;1291;7529;1010;788;618;34;94;58;35;32
Eemnes;G0317;10248;Utrecht;P26;6369;2833;;0;2833;679;536;524;198;225;161;127;168;115;70;2;15;6;1;6
Eemsmond;G1651;10246;Groningen;P20;12823;6115;;5;6110;1445;1911;536;297;230;402;716;85;126;95;233;12;7;9;6
Eersel;G0770;10741;Noord-Brabant;P30;13667;5571;;17;5554;2308;825;748;233;614;332;28;215;99;121;1;13;9;8;0
Eibergen;G0229;10436;Gelderland;P25;12557;5774;;8;5766;2369;1444;647;256;283;344;40;152;119;83;3;13;8;3;2
Eijsden;G0905;10314;Limburg;P31;8922;3588;;9;3579;1860;659;278;192;222;152;6;94;60;40;3;5;1;6;1
Eindhoven;G0772;11298;Noord-Brabant;P30;157740;55847;;193;55654;11420;13738;7303;4994;4634;6091;770;3229;1492;1458;36;210;108;136;35
Elburg;G0230;11113;Gelderland;P25;16122;7156;;3;7153;2041;872;669;192;301;218;2482;115;99;119;2;12;11;12;8
Emmen;G0114;11180;Drenthe;P22;83533;30072;;49;30023;7425;11656;2737;1327;1712;1553;913;769;647;496;656;53;37;17;25
Enkhuizen;G0388;10729;Noord-Holland;P27;13057;5053;;13;5040;872;1392;609;381;464;530;245;199;181;130;6;12;8;3;8
Enschede;G0153;10364;Overijssel;P23;114791;41533;;146;41387;7519;13539;5324;3222;2429;3146;2091;2050;1043;739;54;95;57;40;39
Epe;G0232;10940;Gelderland;P25;25820;10991;;13;10978;2851;2754;1773;520;630;344;1125;295;379;240;16;18;18;8;7
Ermelo;G0233;10732;Gelderland;P25;19778;9547;;9;9538;3418;1039;1051;482;594;421;1758;271;230;202;6;26;14;17;9
Etten-Leur;G0777;10750;Noord-Brabant;P30;29586;9297;;37;9260;2328;2141;1265;500;1367;564;86;382;235;307;6;36;21;8;14
Ferwerderadiel;G1722;11284;Fryslân;P21;6794;2787;;4;2783;1181;559;183;115;155;115;200;48;77;58;81;6;2;2;1
Franekeradeel;G0070;10404;Fryslân;P21;15707;6184;;9;6175;1956;1817;590;302;301;306;281;129;136;102;229;4;9;7;6
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7753;3668;;0;3668;1489;723;370;190;261;114;229;56;66;60;88;7;9;1;5
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16389;5396;;15;5381;1409;1362;709;236;610;408;53;189;152;185;5;31;4;12;16
Geldermalsen;G0236;10881;Gelderland;P25;19073;8560;;5;8555;2177;1765;1362;452;541;371;986;296;263;253;5;43;17;18;6
Geldrop-Mierlo;G1771;10529;Noord-Brabant;P30;28707;10320;;45;10275;2971;2035;1487;651;1034;945;101;428;267;254;8;29;21;32;12
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;20964;7348;;16;7332;3111;1338;898;280;489;728;22;160;127;142;2;19;4;5;7
Gendringen;G0237;10260;Gelderland;P25;15561;5554;;5;5549;2354;1352;530;203;332;346;27;125;110;142;2;14;8;4;0
Gennep;G0907;10542;Limburg;P31;12850;4244;;12;4232;1763;898;333;193;312;337;18;179;100;85;1;5;6;1;1
Giessenlanden;G0689;10255;Zuid-Holland;P28;10777;5549;;12;5537;1630;1082;830;158;326;242;878;119;103;127;5;15;14;4;4
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;18844;6937;;29;6908;2030;1608;895;329;832;547;31;252;142;171;1;41;8;10;11
Goedereede;G0511;10981;Zuid-Holland;P28;8865;4614;;4;4610;1266;592;424;76;229;159;1576;62;85;97;3;18;11;7;5
Goes;G0664;10674;Zeeland;P29;28172;11371;;10;11361;2490;2285;1476;759;774;625;1736;431;487;188;7;27;30;28;18
Goirle;G0785;10971;Noord-Brabant;P30;17404;6281;;9;6272;1732;1381;876;412;703;585;23;254;160;103;6;15;11;7;4
Gorinchem;G0512;10942;Zuid-Holland;P28;24902;9115;;26;9089;1822;2404;1258;512;565;752;777;359;293;255;4;25;23;32;8
Gorssel;G0239;10085;Gelderland;P25;10547;5244;;7;5237;1428;1046;1106;338;408;282;68;239;200;60;6;16;11;25;4
Gouda;G0513;10302;Zuid-Holland;P28;52164;22443;;86;22357;3767;5314;2612;2064;1579;1565;2538;1065;823;777;21;123;57;34;18
Graafstroom;G0693;10451;Zuid-Holland;P28;6832;3956;;6;3950;1446;383;316;89;177;108;1261;33;57;64;1;9;2;3;1
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4854;2148;;1;2147;477;547;410;138;198;119;7;70;103;51;2;6;9;1;9
Grave;G0786;10165;Noord-Brabant;P30;9473;3945;;6;3939;1224;738;488;232;340;549;24;132;90;83;2;18;8;6;5
Groenlo;G0240;11094;Gelderland;P25;7342;2926;;8;2918;1203;707;320;88;168;243;13;56;46;55;1;11;5;1;1
Groesbeek;G0241;10616;Gelderland;P25;14617;5609;;6;5603;1794;1550;502;444;382;454;44;167;136;101;6;10;4;4;5
Groningen;G0014;10426;Groningen;P20;145908;65775;;234;65541;6778;20320;6725;9262;2842;7233;3449;4382;1987;794;1479;88;39;121;42
Grootegast;G0015;11080;Groningen;P20;8818;3594;;4;3590;1482;639;294;114;121;122;507;60;58;60;118;6;6;1;2
Gulpen-Wittem;G1729;11032;Limburg;P31;11902;5609;;7;5602;3205;879;291;259;360;264;28;84;104;99;2;11;5;5;6
Haaksbergen;G0158;11435;Overijssel;P23;18343;7657;;13;7644;2689;1573;1791;259;443;337;54;200;123;129;3;19;13;5;6
Haaren;G0788;11155;Noord-Brabant;P30;10371;3964;;9;3955;1726;603;553;199;352;197;25;130;61;69;2;5;7;18;8
Haarlem;G0392;10357;Noord-Holland;P27;111871;45153;;121;45032;6214;12332;5369;5801;3398;4079;884;2591;2721;1050;44;171;99;238;41
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;4120;1692;;0;1692;420;319;284;148;145;98;17;100;94;49;0;5;4;8;1
Haarlemmermeer;G0394;11387;Noord-Holland;P27;94228;35541;;56;35485;7239;7473;7023;2317;2577;2326;1326;1945;1442;1438;30;131;93;77;48
Haelen;G0914;10321;Limburg;P31;7701;2978;;5;2973;1515;486;251;125;216;123;12;93;93;45;0;4;6;2;2
Halderberge;G1655;10397;Noord-Brabant;P30;22717;7438;;20;7418;2179;1579;1055;248;1021;495;54;237;211;258;6;35;18;10;12
Hardenberg;G0160;10174;Overijssel;P23;42869;19391;;18;19373;7134;4034;1623;524;784;737;3469;291;284;331;88;21;27;14;12
Harderwijk;G0243;10786;Gelderland;P25;30025;12560;;11;12549;4025;1986;1538;743;735;584;1809;423;285;336;13;34;15;13;10
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;13068;6388;;8;6380;1391;1023;414;87;276;195;2679;68;89;111;4;25;8;5;5
Haren;G0017;11058;Groningen;P20;14485;8463;;16;8447;1669;1814;1540;944;598;369;458;482;238;123;177;14;2;18;1
Harenkarspel;G0395;10963;Noord-Holland;P27;11680;4156;;4;4152;1116;881;724;277;469;212;30;187;115;103;1;11;12;9;5
Harlingen;G0072;10909;Fryslân;P21;11812;4412;;7;4405;911;1503;406;283;308;253;197;117;130;89;181;13;9;3;2
Hattem;G0244;10673;Gelderland;P25;8951;4549;;8;4541;1143;1139;474;157;276;135;940;120;84;48;4;7;6;5;3
Heel;G1937;11208;Limburg;P31;6398;2267;;4;2263;1192;373;196;57;154;124;4;70;49;36;0;4;0;0;4
Heemskerk;G0396;10679;Noord-Holland;P27;26805;9355;;10;9345;2133;2555;1024;815;868;668;146;383;328;335;9;35;23;17;6
Heemstede;G0397;11288;Noord-Holland;P27;19544;10398;;15;10383;2183;1649;2411;874;1124;525;98;699;471;210;8;24;21;75;11
Heerde;G0246;10291;Gelderland;P25;13803;6392;;12;6380;1990;1484;664;155;349;186;1111;122;171;100;2;18;15;8;5
Heerenveen;G0074;10680;Fryslân;P21;32530;13226;;18;13208;2595;5030;1554;753;762;732;490;449;324;202;259;16;16;21;5
Heerhugowaard;G0398;10752;Noord-Holland;P27;34837;11847;;30;11817;2332;3366;1873;812;952;756;282;521;459;343;9;42;40;21;9
Heerlen;G0917;10902;Limburg;P31;72235;23315;;37;23278;8395;5246;1314;1144;1480;3702;188;495;675;415;18;85;51;36;34
Heeze-Leende;G1658;10462;Noord-Brabant;P30;11566;4806;;21;4785;1709;691;887;247;480;265;14;188;108;68;3;17;6;96;6
Heiloo;G0399;10793;Noord-Holland;P27;16948;7927;;12;7915;1693;1676;1587;685;913;340;92;411;286;167;9;29;6;16;5
Helden;G0918;10205;Limburg;P31;14587;4928;;10;4918;2769;679;454;205;277;229;21;105;76;79;5;15;3;0;1
Hellendoorn;G0163;10806;Overijssel;P23;27726;12178;;13;12165;5776;2259;1081;439;741;520;701;222;166;186;10;31;15;6;12
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;30144;9302;;39;9263;1180;2826;1559;581;749;738;238;374;400;470;10;60;48;17;13
Helmond;G0794;10932;Noord-Brabant;P30;61923;19269;;64;19205;4057;4611;4074;918;1538;2014;145;632;506;548;12;71;33;26;20
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;16978;6973;;13;6960;1435;1238;944;235;489;230;1725;182;192;233;4;35;7;5;6
Hengelo;G0248;10359;Gelderland;P25;6510;2594;;2;2592;1081;624;342;77;125;106;41;77;43;57;2;6;6;2;3
Hengelo;G0164;10907;Overijssel;P23;61112;24927;;53;24874;6224;6806;2979;1634;1611;2630;728;1033;567;476;26;69;40;36;15
Het Bildt;G0063;10128;Fryslân;P21;8023;3201;;4;3197;1085;936;333;132;166;241;62;48;65;48;60;12;4;3;2
Heumen;G0252;10600;Gelderland;P25;12281;5429;;7;5422;1648;1185;700;563;445;372;27;271;108;78;4;12;3;2;4
Heusden;G0797;10307;Noord-Brabant;P30;32037;11202;;29;11173;3545;2310;1521;537;1095;910;94;452;278;283;7;67;31;23;20
Heythuysen;G0920;10840;Limburg;P31;9153;3696;;8;3688;2113;484;287;158;245;146;19;84;83;51;1;8;1;3;5
Hillegom;G0534;11236;Zuid-Holland;P28;15512;6372;;14;6358;1741;1297;1120;386;517;340;109;260;274;226;7;32;23;15;11
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;11262;4504;;9;4495;1732;878;546;244;414;304;12;142;98;98;3;9;5;6;4
Hilversum;G0402;11285;Noord-Holland;P27;63724;25343;;54;25289;4401;5874;3893;2546;2288;2056;839;1481;1109;537;19;112;40;73;21
Hof van Twente;G1735;10076;Overijssel;P23;26712;12725;;18;12707;4777;2987;2172;459;872;521;143;308;183;209;12;30;10;12;12
Hoogeveen;G0118;10839;Drenthe;P22;41230;16516;;13;16503;5802;4421;1445;609;754;756;1498;363;253;308;229;34;17;8;6
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;25998;9191;;17;9174;1169;3855;1043;526;353;669;471;233;240;166;384;19;16;15;15
Hoorn;G0405;11392;Noord-Holland;P27;50695;18264;;49;18215;2828;5166;2411;1601;1642;1866;269;849;754;616;26;68;48;46;25
Horst aan de Maas;G1507;11108;Limburg;P31;21394;7642;;11;7631;4064;1062;658;254;382;703;34;214;111;115;5;4;12;11;2
Houten;G0321;10230;Utrecht;P26;30083;13585;;29;13556;2874;2752;1892;1480;924;778;1311;804;357;265;17;30;32;31;9
Huizen;G0406;11170;Noord-Holland;P27;31159;16477;;19;16458;3694;3164;2951;1076;1227;754;1535;849;597;420;20;38;54;57;22
Hulst;G0677;11408;Zeeland;P29;20456;7414;;21;7393;2052;1619;736;255;1058;414;56;657;224;215;3;54;25;10;15
Hummelo en Keppel;G0256;11235;Gelderland;P25;3562;1767;;0;1767;506;417;338;72;132;94;27;70;67;32;3;1;2;6;0
Hunsel;G0925;10784;Limburg;P31;4593;1780;;1;1779;1073;224;144;51;99;83;2;36;30;29;1;2;0;1;4
IJsselstein;G0353;10152;Utrecht;P26;24096;8696;;15;8681;1954;1991;1469;603;601;587;408;497;218;236;7;48;26;30;6
Jacobswoude;G0645;10461;Zuid-Holland;P28;8105;3500;;9;3491;1150;532;599;186;315;182;95;177;102;115;1;22;3;6;6
Kampen;G0166;10253;Overijssel;P23;35819;16269;;15;16254;4684;2775;953;785;801;711;4702;266;283;203;21;35;17;10;8
Kapelle;G0678;11223;Zeeland;P29;8613;3839;;7;3832;915;647;560;157;254;147;802;134;124;68;1;11;6;2;4
Katwijk;G0537;10707;Zuid-Holland;P28;30980;11775;;18;11757;3777;1351;907;336;1063;488;2904;258;285;298;7;40;28;9;6
Kerkrade;G0928;10313;Limburg;P31;37105;10466;;17;10449;4425;2763;493;429;505;1000;48;154;307;226;8;38;23;15;15
Kessel;G0929;10890;Limburg;P31;3221;1221;;12;1209;774;163;117;28;52;38;0;13;7;14;0;0;1;2;0
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;9943;3854;;15;3839;1685;781;229;151;189;144;310;48;95;51;138;8;2;6;2
Korendijk;G0588;10914;Zuid-Holland;P28;8246;3543;;5;3538;698;603;398;133;276;179;877;84;131;131;2;14;8;3;1
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;21940;9641;;21;9620;1598;2126;1080;404;686;414;2231;307;283;404;9;40;20;14;4
Laarbeek;G1659;10173;Noord-Brabant;P30;16426;6316;;16;6300;2161;1236;1156;277;466;484;14;176;121;167;4;21;11;4;2
Landerd;G1685;10276;Noord-Brabant;P30;11022;4717;;6;4711;1990;946;521;132;318;469;12;111;67;118;2;8;7;7;3
Landgraaf;G0882;11335;Limburg;P31;30743;9144;;8;9136;3714;2158;493;460;594;957;54;171;308;157;7;26;12;9;16
Landsmeer;G0415;11225;Noord-Holland;P27;7889;3250;;6;3244;404;980;568;285;273;205;44;189;164;106;4;9;5;4;4
Langedijk;G0416;10955;Noord-Holland;P27;18849;7443;;14;7429;1689;1766;1289;514;631;429;251;341;255;195;10;20;14;19;6
Laren;G0417;10649;Noord-Holland;P27;8625;4243;;4;4239;974;598;1207;237;421;156;27;234;229;88;5;8;9;22;24
Leek;G0022;10604;Groningen;P20;14322;6559;;6;6553;1536;1948;716;369;285;391;711;181;119;94;177;9;4;12;1
Leerdam;G0545;10685;Zuid-Holland;P28;15299;6125;;18;6107;1782;1295;679;221;307;279;1037;154;159;141;2;34;11;5;1
Leersum;G0326;11142;Utrecht;P26;5584;2623;;5;2618;633;459;458;195;218;111;183;128;135;73;0;9;8;6;2
Leeuwarden;G0080;11228;Fryslân;P21;71217;27632;;59;27573;4779;9630;2520;2633;1751;2433;1015;1022;780;425;436;69;34;29;17
Leeuwarderadeel;G0081;10851;Fryslân;P21;7805;3724;;10;3714;955;1388;356;168;225;144;129;96;80;68;96;7;0;1;1
Leiden;G0546;10702;Zuid-Holland;P28;89168;39256;;287;38969;4421;10169;4948;6013;2643;3565;852;3488;1695;801;35;93;58;149;39
Leiderdorp;G0547;10058;Zuid-Holland;P28;19429;8595;;20;8575;1754;1758;1422;779;801;638;223;548;342;238;10;27;14;11;10
Leidschendam-Voorburg;G1916;11103;Zuid-Holland;P28;56465;24845;;71;24774;5757;4523;4544;1826;2331;1525;452;1466;1192;880;15;85;85;64;29
Lelystad;G0995;11110;Flevoland;P24;51159;17946;;59;17887;2412;5230;2696;1431;1221;1479;916;816;797;646;24;98;55;36;30
Lemsterland;G0082;10142;Fryslân;P21;9895;3854;;3;3851;1135;1115;500;135;220;207;151;101;119;82;64;6;6;10;0
Leusden;G0327;10978;Utrecht;P26;21423;10257;;17;10240;2395;1863;1697;885;853;515;834;584;328;212;7;18;14;22;13
Lichtenvoorde;G0260;10242;Gelderland;P25;14147;5822;;11;5811;2649;1115;762;209;285;385;23;175;66;105;4;8;11;8;6
Liemeer;G1673;10487;Zuid-Holland;P28;4855;1953;;5;1948;735;253;306;77;142;100;96;65;66;85;0;14;3;2;4
Liesveld;G0694;11205;Zuid-Holland;P28;7016;3690;;3;3687;1072;603;382;89;146;112;1058;66;71;66;0;13;8;0;1
Lingewaal;G0733;11376;Gelderland;P25;8056;3594;;2;3592;1048;813;513;136;198;132;450;91;79;104;1;16;5;4;2
Lingewaard;G1705;10744;Gelderland;P25;32767;11127;;12;11115;3617;2806;1414;684;731;637;79;516;258;268;9;35;31;15;15
Lisse;G0553;10197;Zuid-Holland;P28;16528;7117;;7;7110;2154;1163;1089;336;505;293;750;352;186;199;3;43;11;17;9
Lith;G0808;11219;Noord-Brabant;P30;4974;2058;;7;2051;865;320;265;71;115;261;5;45;44;44;1;6;6;1;2
Littenseradiel;G0140;10422;Fryslân;P21;7890;3624;;7;3617;1101;1022;415;245;204;184;66;107;77;31;153;3;8;0;1
Lochem;G0262;11263;Gelderland;P25;14939;7052;;15;7037;1613;1821;1311;511;568;454;65;323;186;126;8;8;13;23;7
Loenen;G0329;11202;Utrecht;P26;6252;3086;;5;3081;757;505;595;223;255;141;138;168;179;90;3;5;6;7;9
Loon op Zand;G0809;11259;Noord-Brabant;P30;17504;6011;;11;6000;1975;1223;856;264;541;405;73;217;176;160;4;65;15;14;12
Lopik;G0331;10333;Utrecht;P26;9996;4451;;9;4442;1676;544;455;140;227;178;837;82;113;152;4;20;4;1;9
Loppersum;G0024;10934;Groningen;P20;8356;4242;;6;4236;1267;1065;326;319;132;247;430;88;94;49;197;12;2;5;3
Losser;G0168;11166;Overijssel;P23;17005;6308;;7;6301;2569;1565;756;222;402;298;35;164;127;121;2;10;10;11;9
Maarn;G0332;10392;Utrecht;P26;4500;2598;;4;2594;593;474;558;179;243;107;141;123;120;35;2;9;4;4;2
Maarssen;G0333;10191;Utrecht;P26;29913;11730;;31;11699;2322;2837;2001;969;836;706;350;657;598;312;8;39;26;29;9
Maasbracht;G0933;10964;Limburg;P31;10767;4241;;2;4239;2535;602;313;111;260;151;19;81;83;57;4;14;2;2;5
Maasbree;G0934;11352;Limburg;P31;9660;3487;;3;3484;1870;531;366;132;206;125;17;92;83;46;0;10;2;2;2
Maasdonk;G1671;10370;Noord-Brabant;P30;8399;3270;;11;3259;1876;410;244;82;177;294;7;59;39;50;1;14;2;2;2
Maasdriel;G0263;10341;Gelderland;P25;17732;6473;;11;6462;2273;1254;979;304;488;315;254;166;158;221;4;22;13;8;3
Maassluis;G0556;10880;Zuid-Holland;P28;24538;9535;;13;9522;2356;2261;1310;407;719;721;491;375;310;458;5;54;34;13;8
Maastricht;G0935;10182;Limburg;P31;95116;31977;;59;31918;10434;7747;2632;3257;2181;2313;223;1513;894;495;27;89;33;39;41
Margraten;G0936;11243;Limburg;P31;10322;4984;;4;4980;2802;702;328;268;328;182;18;139;130;55;2;8;9;6;3
Marum;G0025;11431;Groningen;P20;7524;3096;;2;3094;838;911;430;130;108;147;220;71;80;62;85;4;0;4;4
Medemblik;G0420;11215;Noord-Holland;P27;5863;1788;;5;1783;461;390;268;89;155;150;51;44;72;78;3;3;5;9;5
Meerlo-Wanssum;G0993;11416;Limburg;P31;5833;2248;;7;2241;1196;343;202;94;114;142;7;58;28;47;0;6;1;2;1
Meerssen;G0938;10494;Limburg;P31;15558;6102;;9;6093;3195;953;459;337;426;294;24;134;141;81;2;23;7;14;3
Meijel;G0941;10925;Limburg;P31;4456;1533;;9;1524;827;265;169;31;68;74;8;23;28;25;1;4;0;0;1
Menaldumadeel;G0083;11144;Fryslân;P21;10507;4677;;5;4672;1240;1630;484;266;290;186;121;113;101;69;155;4;2;3;8
Menterwolde;G1987;11282;Groningen;P20;9726;3729;;1;3728;435;1720;376;206;141;266;137;80;98;68;181;6;4;8;2
Meppel;G0119;11204;Drenthe;P22;23166;9733;;12;9721;2084;3034;1442;595;483;523;639;355;226;180;106;21;13;11;9
Middelburg;G0687;10122;Zeeland;P29;34833;15262;;19;15243;2832;3124;1578;1177;1311;1030;2569;577;696;246;9;46;14;21;13
Middelharnis;G0559;11067;Zuid-Holland;P28;13371;5998;;10;5988;1307;1178;637;197;300;302;1651;103;133;138;4;14;12;9;3
Midden-Delfland;G1842;10130;Zuid-Holland;P28;12300;5702;;4;5698;2284;708;911;328;424;213;230;266;119;178;1;9;20;3;4
Midden-Drenthe;G1731;10520;Drenthe;P22;25230;12022;;21;12001;3261;3956;1641;543;519;573;457;297;247;192;282;16;10;5;2
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8466;3562;;8;3554;1635;716;330;99;224;289;14;76;57;83;2;13;4;4;8
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4443;1394;;3;1391;373;523;132;84;85;95;1;41;35;15;1;3;2;1;0
Moerdijk;G1709;10046;Noord-Brabant;P30;28282;9906;;26;9880;2832;1918;1363;418;1200;843;347;260;278;325;6;40;25;16;9
Montfoort;G0335;10033;Utrecht;P26;9781;4522;;12;4510;1348;739;626;350;290;181;526;172;69;157;1;15;18;13;5
Mook en Middelaar;G0944;10271;Limburg;P31;6071;2645;;4;2641;743;572;382;210;278;170;8;137;72;54;2;2;2;3;6
Moordrecht;G0563;10120;Zuid-Holland;P28;5790;2300;;4;2296;498;471;360;99;161;154;281;76;79;92;0;10;6;4;5
Muiden;G0424;10958;Noord-Holland;P27;4978;2443;;1;2442;418;542;480;208;226;114;29;184;133;70;4;12;3;11;8
