RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;Europa Transparant;SP (Socialistische Partij);CU_SGP;Democraten 66 (D66);Partij voor de Dieren;Lijst Pim Fortuyn;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu
Venhuizen;G0454;10433;Noord-Holland;P27;5787;2569;;2;2567;843;430;542;145;180;132;24;86;96;75;3;4;1;4;2
Venlo;G0983;10477;Limburg;P31;68284;21203;;37;21166;9275;4306;2110;1256;1302;1121;104;620;439;467;7;74;36;20;29
Venray;G0984;11222;Limburg;P31;28824;10216;;14;10202;4847;1946;914;473;535;750;50;277;171;182;9;12;15;14;7
Vianen;G0620;10887;Utrecht;P26;14826;5703;;14;5689;1457;1321;695;341;445;325;412;232;230;176;4;28;6;10;7
Vlaardingen;G0622;10811;Zuid-Holland;P28;56440;19844;;44;19800;3735;5700;2109;1214;1630;1783;1109;719;683;860;14;156;49;30;9
Vlagtwedde;G0048;11249;Groningen;P20;13034;5024;;8;5016;1301;1777;517;206;220;269;141;101;170;89;205;9;3;3;5
Vlieland;G0096;10211;Fryslân;P21;859;392;;2;390;51;90;108;27;27;21;4;25;18;7;9;1;2;0;0
Vlissingen;G0718;10270;Zeeland;P29;34640;11620;;20;11600;2083;2917;1471;648;1058;1028;731;444;739;358;10;57;23;16;17
Vlist;G0623;11174;Zuid-Holland;P28;7309;3470;;2;3468;945;603;523;119;195;135;630;102;90;77;2;9;6;6;26
Voerendaal;G0986;11341;Limburg;P31;10169;4278;;8;4270;2281;686;308;189;262;242;9;92;111;65;4;9;2;8;2
Voorhout;G0625;10017;Zuid-Holland;P28;10326;4291;;13;4278;1179;646;910;266;404;290;67;233;136;106;2;12;17;4;6
Voorschoten;G0626;10537;Zuid-Holland;P28;16559;8403;;19;8384;2005;1358;1689;723;852;356;144;591;370;221;7;11;23;27;7
Voorst;G0285;10912;Gelderland;P25;18011;7662;;2;7660;2593;1862;1155;408;405;305;272;273;183;166;4;11;10;6;7
Vorden;G0286;10957;Gelderland;P25;6602;3128;;1;3127;1059;692;561;167;180;175;56;105;50;63;4;6;2;7;0
Vught;G0865;11224;Noord-Brabant;P30;19063;8023;;28;7995;2226;1478;1253;579;818;602;60;387;222;146;4;20;15;178;7
Waalre;G0866;10959;Noord-Brabant;P30;12376;5638;;11;5627;1571;873;1231;336;673;303;21;311;138;100;4;19;13;28;6
Waalwijk;G0867;11359;Noord-Brabant;P30;35063;11994;;37;11957;3663;2350;1538;459;1110;940;720;375;295;372;9;74;28;13;11
Waddinxveen;G0627;10081;Zuid-Holland;P28;19559;8514;;19;8495;2033;1453;1183;378;573;318;1608;361;263;259;6;25;18;11;6
Wageningen;G0289;11010;Gelderland;P25;25573;13346;;55;13291;1956;3150;1419;2480;872;1089;686;1035;362;148;22;32;11;23;6
Warmond;G0628;10204;Zuid-Holland;P28;3828;1787;;6;1781;579;258;298;110;144;102;24;118;83;50;1;2;6;6;0
Warnsveld;G0291;10838;Gelderland;P25;7052;3286;;7;3279;635;858;450;265;270;330;103;181;113;42;9;4;7;9;3
Wassenaar;G0629;10164;Zuid-Holland;P28;17787;8932;;7;8925;2369;940;2768;356;952;239;101;434;382;267;7;28;20;46;16
Waterland;G0852;10983;Noord-Holland;P27;13230;6132;;13;6119;1289;1456;965;544;541;428;105;273;270;193;4;19;18;11;3
Weert;G0988;11081;Limburg;P31;36958;12779;;26;12753;5672;2344;1369;458;808;1133;68;342;239;239;7;42;11;14;7
Weesp;G0457;10773;Noord-Holland;P27;13518;5440;;13;5427;993;1369;774;499;444;411;109;313;253;162;14;23;15;21;27
Wehl;G0292;11116;Gelderland;P25;5097;1716;;4;1712;764;406;155;64;88;81;9;51;43;46;3;1;1;0;0
Werkendam;G0870;10078;Noord-Brabant;P30;19819;8170;;11;8159;2672;1390;820;233;533;300;1667;156;184;145;6;28;10;7;8
Wervershoof;G0459;11270;Noord-Holland;P27;6235;2254;;12;2242;794;458;355;105;171;113;17;55;56;96;2;8;6;3;3
West Maas en Waal;G0668;10042;Gelderland;P25;14068;5300;;5;5295;1996;1202;714;237;330;350;21;141;120;151;4;16;8;2;3
Wester-Koggenland;G0558;10354;Noord-Holland;P27;10305;4201;;8;4193;1360;801;719;252;342;231;30;157;130;125;2;17;19;3;5
Westerveld;G1701;10186;Drenthe;P22;14906;7621;;8;7613;1464;2291;1628;455;529;350;118;244;245;149;116;9;5;7;3
Westervoort;G0293;11085;Gelderland;P25;11862;4281;;8;4273;965;1319;483;325;278;375;71;174;123;128;4;15;9;4;0
Westland;G1783;11418;Zuid-Holland;P28;72171;28553;;59;28494;12151;3577;4537;881;1646;771;1571;785;582;1721;12;96;106;36;22
Weststellingwerf;G0098;11322;Fryslân;P21;19704;7682;;8;7674;1906;2559;1043;391;480;406;171;158;221;204;98;17;12;5;3
