RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;10013;
Nederland;L528;AantalGeldigeStemmen;;4553864;
Nederland;L528;AantalOngeldigeStemmen;;9866;
Nederland;L528;Kiesgerechtigden;;12445497;
Nederland;L528;Opkomst;;4573743;
Nederland;L528;;CDA;913233;5
Nederland;L528;;PVV;772746;4
Nederland;L528;;PvdA;548691;3
Nederland;L528;;VVD;518643;3
Nederland;L528;;D66;515422;3
Nederland;L528;;GL;404020;3
Nederland;L528;;Socialistische Partij;323269;2
Nederland;L528;;CU_SGP;310540;2
Nederland;L528;;PvdD;157735;
Nederland;L528;;Europese Klokkenluiders Partij;21448;
Nederland;L528;;Newropeans;19840;
Nederland;L528;;Libertas;14612;
Nederland;L528;;Liberaal Democratische Partij;10757;
Nederland;L528;;De Groenen;8517;
Nederland;L528;;Solidara;7533;
Nederland;L528;;Europa Voordelig! & Duurzaam;4431;
Nederland;L528;;Partij voor Europese Politiek;2427;
