RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;SGP_GPV_RPF;Democraten 66 (D66);SP (Socialistische Partij);De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala
Swalmen;G0975;10474;Limburg;P31;6594;1771;;7;1764;947;293;216;153;7;52;64;7;11;11;3
Tegelen;G0976;11333;Limburg;P31;13892;3671;;21;3650;1824;631;464;344;18;131;126;22;72;17;1
Ten Boer;G0009;10891;Groningen;P20;5238;2351;;3;2348;626;535;240;155;597;97;69;16;10;2;1
Ter Aar;G0480;11104;Zuid-Holland;P28;6609;1808;;4;1804;744;203;401;152;125;77;73;12;5;8;4
Terneuzen;G0715;10704;Zeeland;P29;25913;6677;;19;6658;1460;1175;982;447;1342;866;208;39;56;67;16
Terschelling;G0093;11210;Fryslân;P21;3809;1443;;4;1439;298;389;376;195;36;78;43;11;4;6;3
Texel;G0448;10237;Noord-Holland;P27;10146;3889;;21;3868;1069;801;889;553;133;212;152;22;9;11;17
Tholen;G0716;10376;Zeeland;P29;17089;5533;;9;5524;857;849;715;218;2325;356;128;14;21;37;4
Thorn;G0977;11195;Limburg;P31;2102;708;;15;693;410;103;64;62;2;26;21;0;2;2;1
Tiel;G0281;10027;Gelderland;P25;27181;6513;;12;6501;1383;1726;1640;785;269;357;236;28;50;17;10
Tilburg;G0855;10792;Noord-Brabant;P30;145022;33086;;169;32917;9504;6418;5839;5093;398;2010;3027;232;214;113;69
Tubbergen;G0183;10694;Overijssel;P23;14691;5145;;6;5139;3810;440;477;178;38;88;70;3;22;8;5
Tytsjerksteradiel;G0737;11241;Fryslân;P21;23651;8331;;21;8310;3431;1667;1183;812;575;269;283;38;32;8;12
Ubbergen;G0282;10408;Gelderland;P25;7404;2585;;5;2580;877;430;547;386;17;152;142;11;7;6;5
Uden;G0856;11141;Noord-Brabant;P30;29879;8310;;11;8299;3066;1224;1743;607;64;375;1030;117;26;32;15
Uitgeest;G0450;11238;Noord-Holland;P27;8332;2296;;10;2286;500;564;486;316;32;162;99;22;6;87;12
Uithoorn;G0451;11206;Noord-Holland;P27;19576;6052;;6;6046;1311;1170;1898;779;140;378;185;58;36;58;33
Urk;G0184;10783;Flevoland;P24;9250;3998;;0;3998;1147;23;43;19;2720;9;21;1;14;1;0
Utrecht;G0344;10722;Utrecht;P26;177396;57355;;435;56920;8094;12710;9109;14900;1862;5442;3923;338;285;146;111
Vaals;G0981;10007;Limburg;P31;6670;1990;;6;1984;933;522;188;153;15;55;86;5;9;18;0
Valburg;G0283;11071;Gelderland;P25;9855;3148;;14;3134;970;470;539;375;395;163;170;33;10;3;6
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;2616;857;;2;855;280;91;150;74;209;25;11;8;3;3;1
Valkenburg aan de Geul;G0994;11077;Limburg;P31;14153;4561;;16;4545;2531;425;559;338;29;139;462;9;24;18;11
Valkenswaard;G0858;11031;Noord-Brabant;P30;23968;6555;;24;6531;2129;1283;1431;618;75;356;549;33;24;20;13
Veendam;G0047;11292;Groningen;P20;21813;6076;;29;6047;1192;2215;1211;481;296;266;253;75;27;15;16
Veenendaal;G0345;11052;Utrecht;P26;42365;14800;;30;14770;3050;1683;2294;1121;5636;463;357;46;60;36;24
Veere;G0717;10369;Zeeland;P29;16536;6966;;21;6945;1872;792;1101;525;2095;332;152;20;27;24;5
Veghel;G0860;10985;Noord-Brabant;P30;26376;7779;;27;7752;3771;1133;1398;542;48;303;431;54;36;23;13
Veldhoven;G0861;10071;Noord-Brabant;P30;31438;8982;;35;8947;2971;1529;1851;875;145;569;852;59;61;21;14
Velsen;G0453;10620;Noord-Holland;P27;50141;12787;;49;12738;2515;3169;3129;1667;678;723;555;92;81;70;59
Venhuizen;G0454;10433;Noord-Holland;P27;5598;1822;;11;1811;502;369;571;157;27;110;49;15;3;4;4
Venlo;G0983;10477;Limburg;P31;48056;11825;;55;11770;5435;1752;2047;1343;80;419;506;43;89;30;26
Venray;G0984;11222;Limburg;P31;27796;7892;;29;7863;4033;1202;1142;606;37;362;369;36;38;20;18
Vianen;G0620;10887;Zuid-Holland;P28;14301;4077;;6;4071;985;821;795;449;567;208;177;22;17;21;9
Vlaardingen;G0622;10811;Zuid-Holland;P28;56787;14648;;56;14592;2918;3555;2598;1653;1522;667;1307;108;131;89;44
Vlagtwedde;G0048;11249;Groningen;P20;12854;3453;;6;3447;1165;1039;556;227;173;84;141;37;12;6;7
Vleuten-De Meern;G0347;10658;Utrecht;P26;14806;4723;;22;4701;1483;661;1204;505;258;285;215;29;23;25;13
Vlieland;G0096;10211;Fryslân;P21;853;338;;2;336;49;83;130;43;13;10;3;3;0;2;0
Vlissingen;G0718;10270;Zeeland;P29;33776;8092;;20;8072;1583;1875;1440;862;844;596;715;54;52;32;19
Vlist;G0623;11174;Zuid-Holland;P28;7408;2751;;13;2738;663;426;538;160;730;104;76;14;17;7;3
Voerendaal;G0986;11341;Limburg;P31;10197;3048;;12;3036;1545;450;392;267;23;136;192;5;9;14;3
Voorburg;G0624;11103;Zuid-Holland;P28;30531;11075;;98;10977;2306;1804;3209;1350;463;1018;552;108;62;73;32
Voorhout;G0625;10017;Zuid-Holland;P28;9126;3034;;15;3019;834;423;925;312;76;201;200;22;7;14;5
Voorschoten;G0626;10537;Zuid-Holland;P28;16835;6572;;29;6543;1610;913;2091;905;207;547;175;31;16;34;14
Voorst;G0285;10912;Gelderland;P25;17874;6456;;30;6426;2274;1308;1584;479;314;291;123;26;13;10;4
Vorden;G0286;10957;Gelderland;P25;6648;2713;;12;2701;1007;530;689;195;80;121;58;5;5;6;5
Vriezenveen;G0186;10643;Overijssel;P23;14713;5093;;18;5075;2144;776;502;235;1189;91;99;9;14;10;6
Vught;G0865;11224;Noord-Brabant;P30;18981;6195;;30;6165;1875;1109;1617;746;73;435;218;30;26;28;8
Waalre;G0866;10959;Noord-Brabant;P30;12339;4352;;19;4333;1225;607;1408;478;33;328;172;36;18;23;5
Waalwijk;G0867;11359;Noord-Brabant;P30;34511;8881;;27;8854;3208;1349;1694;674;978;306;448;52;77;42;26
Waddinxveen;G0627;10081;Zuid-Holland;P28;19510;6487;;26;6461;1276;893;1399;471;1818;342;152;40;30;26;14
Wageningen;G0289;11010;Gelderland;P25;25712;10787;;131;10656;1669;2154;1734;2882;700;843;504;90;22;24;34
Warmond;G0628;10204;Zuid-Holland;P28;4099;1437;;6;1431;493;192;400;146;33;90;45;12;5;7;8
Warnsveld;G0291;10838;Gelderland;P25;6738;2480;;20;2460;565;599;566;326;114;157;109;10;4;4;6
Wassenaar;G0629;10164;Zuid-Holland;P28;18371;7125;;26;7099;1656;669;3518;411;162;402;131;78;23;36;13
Wateringen;G0630;11329;Zuid-Holland;P28;11203;3124;;33;3091;1358;364;739;253;85;138;94;19;28;10;3
Waterland;G0852;10983;Noord-Holland;P27;13269;4221;;18;4203;956;959;1024;599;142;244;152;30;28;25;44
Weerselo;G0188;10893;Overijssel;P23;6769;2667;;9;2658;1897;204;273;139;21;58;42;12;6;3;3
Weert;G0988;11081;Limburg;P31;36132;9596;;35;9561;4309;1655;1651;739;57;424;501;34;119;52;20
Weesp;G0457;10773;Noord-Holland;P27;13835;4017;;16;4001;773;958;898;638;144;292;160;29;27;38;44
Wehl;G0292;11116;Gelderland;P25;5206;1452;;7;1445;797;262;163;116;9;30;42;13;10;2;1
Werkendam;G0870;10078;Noord-Brabant;P30;19253;5844;;14;5830;2002;756;810;301;1577;166;128;39;33;13;5
Wervershoof;G0459;11270;Noord-Holland;P27;6180;1526;;4;1522;617;258;338;144;18;68;51;12;9;3;4
West Maas en Waal;G0668;10042;Gelderland;P25;13937;3867;;6;3861;1699;706;740;304;30;162;174;22;17;3;4
Wester-Koggenland;G0558;10354;Noord-Holland;P27;9944;3009;;12;2997;1058;560;755;278;26;131;118;39;4;9;19
Westerveld;G1701;10186;Drenthe;P22;14726;5707;;11;5696;1138;1669;1522;579;146;357;205;33;26;11;10
Westervoort;G0293;11085;Gelderland;P25;11523;3060;;11;3049;763;806;516;496;94;194;145;13;14;5;3
Weststellingwerf;G0098;11322;Fryslân;P21;19327;5787;;15;5772;1666;1697;1118;565;200;208;206;56;35;10;11
Westvoorne;G0614;10009;Zuid-Holland;P28;10836;3318;;10;3308;595;677;1198;294;120;212;156;23;12;11;10
Wierden;G0189;10676;Overijssel;P23;17375;7256;;11;7245;3345;736;989;350;1497;138;122;20;28;11;9
Wieringen;G0462;11277;Noord-Holland;P27;6501;1559;;5;1554;250;465;464;128;17;88;100;10;15;6;11
Wieringermeer;G0463;10239;Noord-Holland;P27;9227;2598;;8;2590;902;505;620;168;180;87;87;18;8;9;6
Wijchen;G0296;10723;Gelderland;P25;28234;7928;;21;7907;2892;1574;1445;891;93;400;489;45;39;24;15
Wijhe;G0190;10888;Overijssel;P23;5710;1980;;3;1977;862;474;274;161;70;69;59;3;4;0;1
Wijk bij Duurstede;G0352;10760;Utrecht;P26;16683;4808;;17;4791;1060;926;1124;693;417;297;205;29;20;13;7
Winschoten;G0052;10453;Groningen;P20;14803;4397;;8;4389;812;1674;749;486;226;168;209;24;23;8;10
Winsum;G0053;11135;Groningen;P20;10201;4405;;14;4391;1305;1053;579;533;578;141;154;21;8;13;6
Winterswijk;G0294;11119;Gelderland;P25;21874;7134;;20;7114;1905;2138;1706;579;168;305;243;37;12;14;7
Wisch;G0295;10318;Gelderland;P25;15151;4502;;7;4495;1796;964;871;396;119;165;126;17;29;6;6
Woensdrecht;G0873;10602;Noord-Brabant;P30;15628;3708;;10;3698;1218;647;983;292;44;259;124;66;41;12;12
Woerden;G0632;10974;Utrecht;P26;27820;9793;;16;9777;2841;1397;1887;1028;1498;587;370;67;44;36;22
Wognum;G0466;10818;Noord-Holland;P27;5750;1700;;5;1695;710;254;379;151;14;119;45;6;9;3;5
Wormerland;G0880;10648;Noord-Holland;P27;11560;3238;;14;3224;609;775;726;553;109;184;183;19;26;14;26
Woudenberg;G0351;11398;Utrecht;P26;7888;3309;;13;3296;694;321;589;226;1248;101;86;12;2;10;7
Woudrichem;G0874;10282;Noord-Brabant;P30;10575;3315;;0;3315;1223;388;460;164;893;79;72;12;5;10;9
Wûnseradiel;G0710;10454;Fryslân;P21;8619;3103;;10;3093;1369;614;445;272;105;93;146;31;8;4;6
Wymbritseradiel;G0683;11427;Fryslân;P21;11441;4138;;6;4132;2112;593;539;390;206;105;142;31;7;5;2
Zaanstad;G0479;11044;Noord-Holland;P27;101931;25312;;102;25210;4206;6911;5000;4035;1011;1408;1765;176;182;142;374
Zaltbommel;G0297;10557;Gelderland;P25;18485;6502;;0;6502;1190;1095;1117;567;1983;268;205;28;30;6;13
Zandvoort;G0473;10910;Noord-Holland;P27;12690;3271;;11;3260;422;638;1359;336;45;212;165;22;17;30;14
Zederik;G0707;10618;Zuid-Holland;P28;9962;4578;;10;4568;1441;665;501;157;1564;105;79;12;20;20;4
Zeevang;G0478;11121;Noord-Holland;P27;4786;1401;;7;1394;155;331;517;177;8;120;54;22;7;1;2
Zeewolde;G0050;10012;Flevoland;P24;10928;3948;;11;3937;880;515;1136;367;704;196;93;23;7;8;8
Zeist;G0355;10324;Utrecht;P26;45650;15672;;54;15618;2693;2504;4132;2299;1812;1133;769;130;65;58;23
Zelhem;G0298;11159;Gelderland;P25;8864;2964;;9;2955;1068;730;538;205;211;105;80;6;6;3;3
Zevenaar;G0299;10938;Gelderland;P25;20663;5766;;17;5749;1818;1367;1099;658;96;336;292;39;27;7;10
Zevenhuizen-Moerkapelle;G1666;11377;Zuid-Holland;P28;7158;2860;;7;2853;516;396;603;138;992;114;53;14;7;11;9
Zijpe;G0476;10004;Noord-Holland;P27;8490;2553;;16;2537;618;574;738;255;46;138;100;36;13;6;13
Zoetermeer;G0637;10766;Zuid-Holland;P28;79901;22133;;116;22017;3689;4655;5223;2649;1613;1895;1809;174;99;133;78
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6354;1886;;8;1878;632;279;423;275;49;119;67;15;3;7;9
Zuidhorn;G0056;10021;Groningen;P20;12969;6348;;32;6316;1834;1106;738;575;1590;227;185;32;21;6;2
Zuidlaren;G0136;10002;Drenthe;P22;24075;9323;;12;9311;1730;2243;2777;1106;512;546;256;70;42;20;9
Zundert;G0879;11192;Noord-Brabant;P30;15122;3529;;3;3526;1613;542;751;275;26;146;121;21;16;6;9
Zutphen;G0301;10254;Gelderland;P25;26497;9040;;44;8996;1552;2505;1453;1645;393;556;792;39;30;12;19
Zwartsluis;G0192;10303;Overijssel;P23;3447;1346;;4;1342;532;245;174;69;252;28;39;1;0;0;2
Zwijndrecht;G0642;10468;Zuid-Holland;P28;31545;9574;;26;9548;2520;1691;1830;784;1825;453;284;54;75;24;8
Zwolle;G0193;10093;Overijssel;P23;80968;27117;;86;27031;6107;6013;4175;3912;3889;1572;1122;114;72;31;24
