RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;SGP_GPV_RPF;Democraten 66 (D66);SP (Socialistische Partij);De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala
Lingewaal;G0733;11376;Gelderland;P25;7938;2673;;4;2669;795;566;510;122;521;91;41;4;9;5;5
Lisse;G0553;10197;Zuid-Holland;P28;16215;5519;;5;5514;1632;725;1251;464;875;286;161;45;25;25;25
Lith;G0808;11219;Noord-Brabant;P30;4904;1462;;6;1456;694;199;255;94;5;53;134;8;8;4;2
Littenseradiel;G0140;10422;Fryslân;P21;7640;2980;;5;2975;1142;650;531;305;63;117;123;29;4;9;2
Lochem;G0262;11263;Gelderland;P25;14915;5453;;15;5438;1263;1390;1466;589;107;335;204;28;20;27;9
Loenen;G0329;11202;Utrecht;P26;6466;2497;;17;2480;613;415;765;230;192;176;48;11;8;11;11
Loon op Zand;G0809;11259;Noord-Brabant;P30;17243;4342;;14;4328;1683;721;993;373;100;209;189;18;23;16;3
Loosdrecht;G0330;10639;Utrecht;P26;6958;2310;;5;2305;505;300;895;180;154;161;58;16;12;14;10
Lopik;G0331;10333;Utrecht;P26;9782;3589;;4;3585;1249;374;593;164;1009;87;78;10;7;6;8
Loppersum;G0024;10934;Groningen;P20;8189;3435;;6;3429;1195;722;390;401;474;92;107;30;13;4;1
Losser;G0168;11166;Overijssel;P23;16905;4602;;5;4597;2344;876;655;339;43;148;127;31;16;13;5
Maarn;G0332;10392;Utrecht;P26;4546;2162;;14;2148;450;348;711;251;176;125;48;21;6;6;6
Maarssen;G0333;10191;Utrecht;P26;30049;8683;;63;8620;1677;1805;2355;1123;483;693;319;53;49;37;26
Maartensdijk;G0334;10691;Utrecht;P26;7168;3062;;11;3051;659;406;714;280;671;185;104;11;7;7;7
Maasbracht;G0933;10964;Limburg;P31;10692;3517;;0;3517;2312;371;358;193;54;93;79;18;21;15;3
Maasbree;G0934;11352;Limburg;P31;9508;2707;;17;2690;1522;303;423;206;19;94;72;14;25;6;6
Maasdonk;G1671;10370;Noord-Brabant;P30;8504;2355;;9;2346;1300;318;320;99;7;49;209;15;13;7;9
Maasdriel;G0263;10341;Gelderland;P25;17378;5066;;7;5059;1948;844;1098;371;322;196;180;40;29;14;17
Maasland;G0555;10393;Zuid-Holland;P28;4955;1952;;7;1945;871;172;463;127;188;69;33;13;2;3;4
Maassluis;G0556;10880;Zuid-Holland;P28;24500;6675;;25;6650;1706;1364;1462;561;643;366;420;44;43;34;7
Maastricht;G0935;10182;Limburg;P31;95556;23764;;97;23667;7670;4911;3364;3762;203;1589;1500;126;176;307;59
Margraten;G0936;11243;Limburg;P31;10391;3616;;49;3567;1919;394;484;448;20;147;102;7;14;26;6
Markelo;G0169;11382;Overijssel;P23;5554;2111;;15;2096;648;442;662;119;67;67;62;6;11;9;3
Marum;G0025;11431;Groningen;P20;7272;2551;;18;2533;815;611;509;163;256;66;63;23;16;7;4
Medemblik;G0420;11215;Noord-Holland;P27;5661;1232;;2;1230;323;240;285;172;51;67;69;10;5;7;1
Meerlo-Wanssum;G0993;11416;Limburg;P31;5634;1719;;9;1710;1012;225;227;119;4;57;55;6;3;1;1
Meerssen;G0938;10494;Limburg;P31;15938;4441;;34;4407;2215;537;636;467;25;227;201;32;17;38;12
Meijel;G0941;10925;Limburg;P31;4376;1123;;9;1114;649;152;167;71;8;22;26;6;3;8;2
