RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;16356;
Nederland;L528;AantalGeldigeStemmen;;3544408;
Nederland;L528;Kiesgerechtigden;;11862864;
Nederland;L528;Opkomst;;3560764;
Nederland;L528;;CDA;954898;9
Nederland;L528;;PvdA;712929;6
Nederland;L528;;VVD;698050;6
Nederland;L528;;GL;419869;4
Nederland;L528;;SGP_GPV_RPF;309612;3
Nederland;L528;;D66;205623;2
Nederland;L528;;SP;178642;1
Nederland;L528;;De Europese Partij;23231;
Nederland;L528;;Conservatieve Democraten;17740;
Nederland;L528;;Europees Verkiezers Platform Nederland;13234;
Nederland;L528;;Lijst Sala;10580;
