RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Forum voor Democratie;GROENLINKS;Democraten 66 (D66);ChristenUnie/SGP;Partij voor de Dieren;50PLUS;PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Volt Nederland;DENK;vandeRegio & Piratenpartij;De Groenen;JEZUS LEEFT
Hellendoorn;G0163;10806;Zwolle;K4;28213;12280;18;14;12248;1754;1462;4473;1164;736;495;728;221;396;327;331;99;14;12;16;20
Hellevoetsluis;G0530;11078;Dordrecht;K14;31443;11518;19;19;11480;1915;2012;813;2540;631;567;323;445;720;720;399;143;168;44;18;22
Helmond;G0794;10932;'s-Hertogenbosch;K18;66687;21982;47;62;21873;3846;3158;2084;3125;1729;1296;213;670;2423;1240;1283;378;335;40;31;22
Hendrik-Ido-Ambacht;G0531;10416;Dordrecht;K14;23052;9943;14;16;9913;1224;1538;1043;1286;435;451;2588;249;401;346;199;83;33;11;2;24
Hengelo;G0164;10907;Zwolle;K4;63017;24666;62;56;24548;4949;3042;4470;2646;2326;1564;708;837;798;778;1513;367;413;51;52;34
Het Hogeland ;G1966;10246;Groningen;K1;37879;16806;33;44;16729;3799;1536;2845;1200;1789;597;2203;797;415;479;824;161;5;27;26;26
Heumen;G0252;10600;Nijmegen;K6;13078;6606;12;7;6587;1520;1041;889;543;897;625;64;240;244;155;219;119;9;5;14;3
Heusden;G0797;10307;'s-Hertogenbosch;K18;34241;12765;23;19;12723;2416;2411;1878;1489;890;839;186;399;787;513;528;203;123;24;19;18
Hillegom;G0534;11236;Leiden;K15;16664;7356;17;7;7332;1171;1439;993;1085;576;505;171;333;416;298;157;130;18;16;16;8
Hilvarenbeek;G0798;11297;Tilburg;K17;12248;5273;7;11;5255;1079;951;1185;395;406;376;34;156;257;133;173;91;2;7;8;2
Hilversum;G0402;11285;Haarlem;K10;65482;31257;70;63;31124;5721;5195;2170;2864;4431;3614;1118;1691;1297;901;811;751;366;85;70;39
Hoeksche Waard;G1963;10222;Dordrecht;K14;68795;29420;50;36;29334;4317;4701;3687;4137;1603;1458;4985;1035;1205;1058;683;305;22;40;39;59
Hof van Twente;G1735;10076;Zwolle;K4;27886;13097;23;11;13063;2153;1763;5095;1207;653;625;245;249;297;276;292;120;41;18;16;13
Hollands Kroon;G1911;10344;Den Helder;K11;38498;14462;22;33;14407;2738;2711;2043;2363;882;665;411;452;750;686;428;187;10;27;27;27
Hoogeveen;G0118;10839;Assen;K3;43184;15856;36;22;15798;2596;1628;3158;2304;881;530;1995;357;521;726;842;122;34;26;14;64
Hoorn;G0405;11392;Den Helder;K11;55321;22243;45;52;22146;4850;3264;1708;2875;2454;1549;458;1085;1330;800;948;448;226;77;43;31
Horst aan de Maas;G1507;11108;Maastricht;K19;32823;12210;16;29;12165;2826;1400;3085;1253;744;630;79;321;535;460;660;132;6;13;10;11
Houten;G0321;10230;Utrecht;K8;37113;18819;26;23;18770;3338;3013;2204;1614;2492;1625;2061;621;562;412;375;332;35;39;32;15
Huizen;G0406;11170;Haarlem;K10;32264;14789;18;27;14744;2570;2813;1695;1766;1142;948;1459;583;643;450;255;258;90;23;17;32
Hulst;G0677;11408;Middelburg;K16;20668;7708;17;14;7677;1540;998;1227;981;471;338;76;279;784;455;359;133;3;11;12;10
IJsselstein;G0353;10152;Utrecht;K8;25992;10521;16;11;10494;1877;2116;1285;1238;960;782;495;377;446;325;257;195;94;18;14;15
Kaag en Braassem;G1884;10349;Leiden;K15;21078;9499;14;14;9471;1417;1880;1771;1295;623;687;208;314;509;337;215;175;6;16;9;9
Kampen;G0166;10253;Zwolle;K4;40180;18370;24;28;18318;2112;1528;2989;1863;1313;525;5820;372;441;547;402;181;127;20;25;53
Kapelle;G0678;11223;Middelburg;K16;9723;4693;10;7;4676;643;653;729;444;226;192;1150;129;192;135;94;65;1;7;9;7
Katwijk;G0537;10707;Leiden;K15;48893;21263;41;32;21190;2055;2446;3962;3534;802;643;4974;498;878;661;328;232;76;23;19;59
Kerkrade;G0928;10313;Maastricht;K19;35068;11564;29;23;11512;4612;539;952;1728;473;208;59;476;351;1221;731;83;31;15;13;20
Koggenland;G1598;10354;Den Helder;K11;17662;7697;13;9;7675;1468;1627;1346;905;503;412;93;268;431;253;204;111;6;26;15;7
Krimpen aan den IJssel;G0542;10859;Leiden;K15;22642;11143;28;12;11103;1530;1415;936;1486;544;502;3055;317;443;427;235;137;38;13;7;18
Krimpenerwaard;G1931;10050;Leiden;K15;43547;20795;42;29;20724;3180;3222;2733;2363;1116;997;4040;677;889;699;419;246;48;30;18;47
Laarbeek;G1659;10173;'s-Hertogenbosch;K18;17589;6432;12;12;6408;1234;858;1100;724;397;371;42;191;768;250;338;107;10;6;6;6
Landerd;G1685;10276;'s-Hertogenbosch;K18;12215;4588;11;9;4568;809;818;973;412;273;312;32;105;246;167;354;51;4;4;5;3
Landgraaf;G0882;11335;Maastricht;K19;30397;10445;21;20;10404;3926;752;949;1499;474;226;74;412;382;1046;526;80;13;16;10;19
Landsmeer;G0415;11225;Den Helder;K11;8040;4327;7;8;4312;1060;681;257;628;480;363;66;237;160;149;114;87;12;7;7;4
Langedijk;G0416;10955;Den Helder;K11;21731;9773;24;12;9737;1964;1821;1051;1268;882;586;423;387;486;355;269;184;4;28;9;20
Lansingerland;G1621;10139;Leiden;K15;44492;20325;47;37;20241;2742;4526;2726;2635;1434;1517;1710;624;881;666;313;275;111;37;21;23
Laren;G0417;10649;Haarlem;K10;8718;4808;8;13;4787;673;1641;506;558;263;435;62;197;132;97;62;140;8;4;5;4
Leeuwarden;G0080;11228;Leeuwarden;K2;96147;39600;68;79;39453;10483;4745;3989;4031;4815;2416;1994;1970;1162;1175;1689;651;97;111;75;50
Leiden;G0546;10702;Leiden;K15;93745;48673;85;119;48469;9587;6027;2860;3871;10185;6070;1245;2725;1086;1053;1335;1763;358;129;141;34
Leiderdorp;G0547;10058;Leiden;K15;20828;10223;16;20;10187;2149;1761;1031;1128;1208;841;363;400;438;279;246;231;61;14;23;14
Leidschendam-Voorburg;G1916;11103;Leiden;K15;56315;27457;42;58;27357;4843;6054;2683;3075;2625;2683;698;1169;1075;957;679;571;117;40;52;36
Lelystad;G0995;11110;Lelystad;K5;57078;21473;43;50;21380;3993;2920;1681;3533;1628;1051;1276;969;1257;1260;954;310;376;61;39;72
Leudal;G1640;10840;Maastricht;K19;28611;11008;22;27;10959;2681;1064;2987;1197;557;593;84;337;436;579;280;125;3;8;14;14
Leusden;G0327;10978;Utrecht;K8;23444;12261;27;21;12213;2139;2132;1657;1117;1339;923;1128;433;396;232;385;266;14;23;19;10
Lingewaard;G1705;10744;Arnhem;K7;36384;14265;37;44;14184;3130;2554;1932;1610;1295;1038;192;434;683;431;592;216;30;16;23;8
Lisse;G0553;10197;Leiden;K15;17632;8453;18;10;8425;1193;1475;1319;1214;498;560;819;281;445;275;196;96;11;17;13;13
Lochem;G0262;11263;Arnhem;K7;27109;13662;28;19;13615;2917;2541;2494;968;1513;1078;270;524;367;220;331;287;66;17;18;4
Loon op Zand;G0809;11259;Tilburg;K17;18340;6613;11;10;6592;1248;1200;1052;765;475;428;105;207;365;361;253;99;19;10;3;2
Lopik;G0331;10333;Utrecht;K8;11142;4878;14;12;4852;489;696;1051;592;168;143;1067;106;162;215;79;48;10;7;2;17
Loppersum;G0024;10934;Groningen;K1;7734;3446;9;4;3433;744;295;662;195;395;107;411;165;93;85;210;42;1;13;4;11
Losser;G0168;11166;Zwolle;K4;17942;6781;9;13;6759;1099;844;2293;865;313;294;93;130;252;276;217;47;17;7;5;7
Maasdriel;G0263;10341;Nijmegen;K6;18708;7121;13;7;7101;1228;1193;1104;1137;392;401;353;215;313;384;246;102;9;9;9;6
Maasgouw;G1641;10964;Maastricht;K19;19688;7194;25;23;7146;2002;634;1571;941;313;262;48;279;332;481;168;88;8;11;5;3
Maassluis;G0556;10880;Dordrecht;K14;25055;10093;18;14;10061;1766;1554;1391;1458;537;497;632;342;528;458;312;127;420;13;8;18
Maastricht;G0935;10182;Maastricht;K19;89142;35850;109;54;35687;9776;3538;3260;3942;4966;2558;348;1601;1347;1986;1146;823;204;66;78;48
Medemblik;G0420;11215;Den Helder;K11;34177;13831;28;34;13769;2510;2354;2162;1909;931;733;588;475;834;526;407;226;40;25;18;31
Meerssen;G0938;10494;Maastricht;K19;15412;6626;19;14;6593;2237;769;898;730;477;331;41;247;208;387;162;75;10;7;9;5
Meierijstad;G1948;10985;'s-Hertogenbosch;K18;62303;22421;43;47;22331;4479;3717;4136;2255;1395;1406;118;580;1330;906;1278;351;294;34;40;12
Meppel;G0119;11204;Assen;K3;26092;11467;17;23;11427;2492;1692;1465;1211;1057;656;879;396;447;374;484;179;38;15;20;22
Middelburg;G0687;10122;Middelburg;K16;37417;16485;27;30;16428;3352;1694;1719;1313;1848;775;2854;796;556;441;565;292;118;43;24;38
Midden-Delfland;G1842;10130;Dordrecht;K14;14851;7588;15;9;7564;1145;1561;1589;745;589;554;382;245;279;186;123;119;13;12;11;11
Midden-Drenthe;G1731;10520;Assen;K3;26661;11534;18;21;11495;2605;1659;2130;1234;868;539;711;388;426;327;433;121;7;21;15;11
Midden-Groningen;G1952;10410;Groningen;K1;48525;16608;27;27;16554;4005;1853;1530;1877;1355;747;1374;671;729;796;1146;194;166;34;24;53
Mill en Sint Hubert;G0815;10535;'s-Hertogenbosch;K18;8778;3458;6;7;3445;491;432;1128;398;167;142;26;91;195;125;205;38;2;2;3;0
Moerdijk;G1709;10046;Tilburg;K17;29160;10300;19;23;10258;1788;1862;1586;1463;578;529;428;349;546;507;416;151;17;19;10;9
Molenlanden;G1978;10451;Dordrecht;K14;33098;17106;19;15;17072;1784;2083;2917;1554;545;477;6035;333;453;403;295;99;9;19;10;56
Montferland;G1955;10350;Arnhem;K7;29077;10736;18;16;10702;2220;1608;2121;1505;629;559;139;318;528;560;355;90;32;15;15;8
Montfoort;G0335;10033;Utrecht;K8;10630;5300;8;10;5282;750;917;1017;528;353;325;757;99;187;148;83;95;10;5;6;2
Mook en Middelaar;G0944;10271;Maastricht;K19;6382;3347;9;9;3329;916;538;297;301;485;262;25;152;108;78;90;63;0;5;8;1
Neder-Betuwe;G1740;10916;Nijmegen;K6;17439;7383;15;10;7358;855;615;707;830;197;152;3211;114;196;273;116;66;4;6;6;10
Nederweert;G0946;10681;Maastricht;K19;13715;5179;7;16;5156;1057;497;1734;571;229;216;17;109;277;225;159;51;3;5;4;2
Nieuwegein;G0356;10374;Utrecht;K8;48853;18787;28;27;18732;3768;2803;1774;2487;1945;1197;820;788;984;803;752;340;147;58;33;33
Nieuwkoop;G0569;10728;Leiden;K15;22304;9500;24;17;9459;1295;1890;1913;1251;569;576;572;260;436;354;136;154;8;14;11;20
Nijkerk;G0267;10446;Arnhem;K7;32375;14758;26;18;14714;1775;2101;2606;1565;785;630;3447;310;487;442;228;186;86;19;15;32
Nijmegen;G0268;11209;Nijmegen;K6;138208;65752;88;139;65525;13964;6892;3779;4198;16512;6989;813;3673;1531;1354;3121;1835;520;133;176;35
Nissewaard;G1930;10735;Dordrecht;K14;66510;22177;63;51;22063;3980;3149;1898;4490;1131;970;941;820;1396;1685;1043;276;137;65;26;56
Noardeast-Fryslân;G1970;10198;Leeuwarden;K2;35245;13565;20;13;13532;2115;1641;3077;1449;748;378;2277;413;321;464;451;118;2;18;14;46
Noord-Beveland;G1695;10250;Middelburg;K16;5975;2666;4;5;2657;456;384;450;353;158;97;230;128;143;132;79;25;2;11;3;6
Noordenveld;G1699;10699;Assen;K3;25141;11798;29;15;11754;3104;1762;1312;1079;1314;726;664;426;361;342;454;146;1;27;21;15
Noordoostpolder;G0171;10144;Lelystad;K5;34027;15029;23;18;14988;2089;2248;3096;1765;800;510;2405;330;428;532;512;140;55;19;10;49
Noordwijk;G0575;10769;Leiden;K15;32649;15465;35;21;15409;2110;3295;2704;2421;1148;909;282;510;747;547;352;299;26;22;29;8
Nuenen, Gerwen en Nederwetten;G0820;10761;'s-Hertogenbosch;K18;18307;8686;3;18;8665;1953;1554;1141;740;846;700;98;266;622;212;253;245;3;10;15;7
Nunspeet;G0302;10512;Arnhem;K7;21071;10422;11;22;10389;667;929;1401;1093;353;239;4662;238;256;269;175;57;10;11;5;24
Oegstgeest;G0579;10287;Leiden;K15;17876;10818;12;15;10791;2074;2333;992;826;1332;1403;341;475;304;151;151;339;29;18;19;4
Oirschot;G0823;10225;'s-Hertogenbosch;K18;14932;5652;16;11;5625;1035;1030;1245;522;316;363;40;166;358;218;199;116;2;4;8;3
Oisterwijk;G0824;10103;Tilburg;K17;20655;8694;7;16;8671;1825;1805;1261;862;705;676;85;277;459;279;254;129;23;12;15;4
Oldambt;G1895;10453;Groningen;K1;30928;10887;34;31;10822;2726;1162;1118;1506;700;365;599;445;448;640;914;103;12;44;15;25
Oldebroek;G0269;11106;Arnhem;K7;17963;7338;15;9;7314;624;533;1053;704;259;179;3234;104;176;228;126;44;3;5;2;40
Oldenzaal;G0173;11100;Zwolle;K4;24872;9964;26;10;9928;1952;1526;2485;1036;832;520;96;218;345;320;327;106;128;13;16;8
Olst-Wijhe;G1773;10409;Zwolle;K4;14384;6332;5;15;6312;1432;873;1453;487;674;377;152;217;217;148;165;78;18;9;8;4
Ommen;G0175;11069;Zwolle;K4;13863;6787;7;9;6771;802;1107;2023;569;339;262;964;153;183;162;105;69;1;6;4;22
Oost Gelre;G1586;11094;Arnhem;K7;23631;9739;11;20;9708;1683;1525;3227;929;504;496;67;197;406;205;326;98;23;6;7;9
Oosterhout;G0826;11280;Tilburg;K17;43539;15812;25;26;15761;3156;3057;1866;1955;1327;1199;192;487;760;696;586;249;163;22;30;16
Ooststellingwerf;G0085;10836;Leeuwarden;K2;20572;8775;6;12;8757;1859;1680;1177;1021;623;337;513;417;287;337;370;77;8;22;14;15
Oostzaan;G0431;11303;Den Helder;K11;7648;3355;9;6;3340;667;519;236;595;314;171;102;183;191;168;119;39;14;13;5;4
Opmeer;G0432;10609;Den Helder;K11;9097;3728;7;11;3710;687;741;678;496;198;192;49;107;236;135;115;60;1;6;6;3
Opsterland;G0086;10005;Leeuwarden;K2;23423;9987;13;16;9958;2259;1555;1324;817;841;588;1130;335;257;300;415;94;1;16;7;19
Oss;G0828;10834;'s-Hertogenbosch;K18;70520;25821;47;45;25729;4520;3978;3675;2970;2108;1597;197;674;1214;1002;2719;310;666;44;36;19
Oude IJsselstreek;G1509;10260;Arnhem;K7;31440;12191;25;25;12141;2698;1543;2793;1247;777;585;246;369;542;457;542;122;186;11;13;10
Ouder-Amstel;G0437;10998;Haarlem;K10;10309;5479;10;10;5459;1106;1047;501;525;697;590;122;254;209;112;102;140;18;8;23;5
Oudewater;G0589;10188;Utrecht;K8;7884;3596;3;4;3589;511;622;923;359;193;172;398;84;111;106;51;43;4;3;3;6
Overbetuwe;G1734;11188;Arnhem;K7;36553;15055;47;24;14984;2957;2474;2351;1504;1452;1120;895;492;522;478;422;225;43;24;14;11
Papendrecht;G0590;10427;Dordrecht;K14;25128;9907;18;17;9872;1521;1553;1094;1371;566;431;1707;329;440;408;261;91;52;13;10;25
Peel en Maas;G1894;10205;Maastricht;K19;34396;11955;12;22;11921;2622;1458;3456;1373;588;441;58;269;511;645;330;111;33;7;10;9
Pekela;G0765;10848;Groningen;K1;9851;2935;2;12;2921;651;227;313;452;171;46;152;105;127;239;385;15;3;26;3;6
Pijnacker-Nootdorp;G1926;10031;Leiden;K15;39537;19000;38;36;18926;2890;4097;2506;2246;1655;1598;881;750;802;624;378;378;48;27;29;17
Purmerend;G0439;11066;Den Helder;K11;62859;22266;55;55;22156;4578;3069;1554;3939;1994;1295;417;1012;1430;1299;900;314;215;65;32;43
Putten;G0273;11109;Arnhem;K7;18609;8862;11;9;8842;662;1129;1692;985;292;248;2956;189;237;240;98;65;14;6;6;23
Raalte;G0177;10279;Zwolle;K4;29766;12734;21;16;12697;2089;1982;4455;955;895;671;273;240;393;257;277;144;35;13;12;6
Reimerswaal;G0703;10077;Middelburg;K16;15752;7486;22;14;7450;700;534;739;689;178;153;3587;129;227;304;144;39;9;9;2;7
Renkum;G0274;11325;Arnhem;K7;25416;13337;22;28;13287;2901;2093;1290;1160;2111;1202;470;684;389;296;294;317;27;24;18;11
Renswoude;G0339;10269;Utrecht;K8;3832;1815;4;4;1807;116;249;345;209;40;37;656;35;46;42;16;12;1;0;2;1
Reusel-De Mierden;G1667;10162;'s-Hertogenbosch;K18;10161;3450;16;7;3427;582;561;768;368;183;190;19;78;318;127;159;54;2;9;6;3
Rheden;G0275;11355;Arnhem;K7;34953;15943;29;27;15887;3391;2352;1705;1614;2034;1178;512;808;553;484;762;304;96;39;36;19
Rhenen;G0340;10309;Utrecht;K8;15288;7185;13;11;7161;963;935;766;833;596;365;1819;181;182;237;142;91;27;7;11;6
Ridderkerk;G0597;10646;Dordrecht;K14;36567;13998;27;25;13946;1974;1678;1391;2203;630;523;2989;430;787;651;398;129;92;24;16;31
Rijssen-Holten;G1742;10358;Zwolle;K4;28523;14475;31;12;14432;1103;1200;3222;1206;367;313;5981;152;239;282;169;80;61;16;13;28
Rijswijk;G0603;11133;Dordrecht;K14;39857;17114;35;27;17052;2966;2920;1469;2420;1849;1470;475;764;865;841;454;327;147;37;25;23
Roerdalen;G1669;10196;Maastricht;K19;16493;6136;10;19;6107;1765;537;1297;784;308;201;46;237;199;481;177;48;13;3;8;3
Roermond;G0957;11313;Maastricht;K19;44842;15603;33;46;15524;3988;1684;2190;1983;1349;794;129;638;585;1019;512;195;383;29;23;23
Roosendaal;G1674;10407;Tilburg;K17;58751;20156;46;47;20063;3909;3544;2542;2636;1610;1033;240;627;1138;1153;855;295;404;24;34;19
Rotterdam;G0599;10345;Rotterdam;K13;460651;156494;643;345;155506;25150;21389;8437;18939;22239;14075;5573;7704;5790;6663;6052;4073;8560;335;265;262
Rozendaal;G0277;10684;Arnhem;K7;1249;868;5;3;860;158;260;87;58;87;91;19;40;27;12;6;12;0;0;1;2
Rucphen;G0840;11152;Tilburg;K17;18510;4862;12;4;4846;681;697;702;933;192;210;43;163;283;710;164;42;9;9;5;3
Saba;O9003;10301;Bonaire;K20;908;113;0;0;113;16;1;3;5;12;65;0;6;1;1;2;0;0;0;0;1
Schagen;G0441;10511;Den Helder;K11;36760;15292;25;36;15231;3528;2897;1978;1823;1270;810;221;550;693;528;591;245;11;38;25;23
Scherpenzeel;G0279;11146;Arnhem;K7;7384;3717;3;7;3707;294;526;549;443;117;103;1374;45;75;103;42;21;3;3;3;6
Schiedam;G0606;11260;Dordrecht;K14;55692;19879;72;42;19765;3456;2440;1406;3247;1735;1141;553;892;1146;1097;911;281;1353;49;37;21
Schiermonnikoog;G0088;10355;Leeuwarden;K2;782;629;0;1;628;159;73;56;44;100;43;40;42;25;11;19;9;0;4;2;1
Schouwen-Duiveland;G1676;10843;Middelburg;K16;27289;13192;36;20;13136;1987;1997;1799;1547;795;571;2237;523;580;442;424;165;10;17;23;19
's-Gravenhage;G0518;11434;'s-Gravenhage;K12;419725;174529;784;320;173425;29810;28752;10300;18981;25969;19217;4502;9369;5308;6646;4652;4367;4369;360;559;264
's-Hertogenbosch;G0796;10054;'s-Hertogenbosch;K18;120049;49018;91;143;48784;9721;8155;4365;4832;6635;4765;505;2057;2048;1714;2079;1146;506;92;112;52
Simpelveld;G0965;10515;Maastricht;K19;8412;3369;7;9;3353;1416;198;524;399;152;91;12;107;84;242;86;25;2;3;9;3
Sint Anthonis;G1702;11415;'s-Hertogenbosch;K18;9292;4056;8;12;4036;636;549;1314;404;212;243;30;86;208;90;201;54;1;2;5;1
Sint Eustatius;O9002;11253;Bonaire;K20;1860;159;4;0;155;6;3;83;1;10;38;3;1;2;3;1;0;1;1;1;1
Sint-Michielsgestel;G0845;10496;'s-Hertogenbosch;K18;22664;8967;7;28;8932;2051;1576;1412;774;827;720;74;297;335;283;373;172;4;10;19;5
Sittard-Geleen;G1883;11230;Maastricht;K19;75013;27261;51;67;27143;8596;2228;3566;3403;2222;1200;192;1130;1088;1940;1019;327;118;44;29;41
Sliedrecht;G0610;11331;Dordrecht;K14;19069;8350;11;15;8324;980;825;824;942;280;201;2966;254;314;328;229;72;64;10;6;29
Sluis;G1714;10895;Middelburg;K16;17817;7057;17;8;7032;1456;1173;1200;887;383;293;204;255;392;360;273;117;7;12;12;8
Smallingerland;G0090;10405;Leeuwarden;K2;43704;18497;31;30;18436;4120;2062;2663;1820;1368;791;2628;571;544;638;898;179;29;26;26;73
Soest;G0342;11021;Utrecht;K8;35477;17396;32;29;17335;2872;3391;1920;1928;1692;1435;1067;754;662;566;325;350;284;28;28;33
Someren;G0847;10203;'s-Hertogenbosch;K18;15141;5507;9;18;5480;893;827;1070;600;255;223;29;115;1005;219;152;66;4;6;8;8
Son en Breugel;G0848;10549;'s-Hertogenbosch;K18;13132;5738;10;10;5718;1112;1167;845;493;457;500;80;223;399;123;149;150;2;6;7;5
Stadskanaal;G0037;10610;Groningen;K1;25723;8637;18;12;8607;1648;658;1525;1176;347;198;1387;204;330;449;548;67;5;22;13;30
Staphorst;G0180;11362;Zwolle;K4;12181;6602;14;7;6581;365;394;870;772;104;76;3600;64;68;159;57;25;0;5;4;18
Stede Broec;G0532;11337;Den Helder;K11;16588;6344;15;11;6318;1149;1064;829;912;408;301;148;210;600;275;298;80;14;14;7;9
Steenbergen;G0851;10731;Tilburg;K17;18463;6146;17;15;6114;1123;1103;887;995;253;288;225;233;306;360;235;79;3;8;4;12
Steenwijkerland;G1708;10546;Zwolle;K4;34590;15362;27;19;15316;2773;2275;2797;1868;1035;633;1626;440;534;534;477;207;59;18;16;24
Stein;G0971;11319;Maastricht;K19;20734;7894;27;17;7850;2530;638;1148;1107;393;260;33;315;347;665;298;78;13;15;7;3
Stichtse Vecht;G1904;10191;Utrecht;K8;49197;22666;35;31;22600;4042;4502;2543;2529;2178;1796;1434;827;896;728;468;474;63;48;41;31
Súdwest-Fryslân;G1900;11421;Leeuwarden;K2;70154;30110;45;40;30025;6493;5152;5502;3248;2211;1438;1860;934;786;934;957;312;37;48;42;71
Terneuzen;G0715;10704;Middelburg;K16;40935;14899;46;24;14829;2750;1585;1973;2150;718;671;1709;428;946;929;535;204;148;26;20;37
Terschelling;G0093;11210;Leeuwarden;K2;4079;2480;0;4;2476;680;433;293;259;277;102;64;112;89;58;76;21;1;7;2;2
Texel;G0448;10237;Den Helder;K11;11001;6303;19;21;6263;1390;977;765;870;720;358;204;263;188;177;226;99;0;9;11;6
Teylingen;G1525;10017;Leiden;K15;28269;14059;26;30;14003;2182;3147;2177;1695;1216;1155;367;447;596;393;274;268;25;27;23;11
Tholen;G0716;10376;Middelburg;K16;19416;8025;9;11;8005;839;741;884;961;240;124;3002;202;282;414;232;45;5;11;5;18
Tiel;G0281;10027;Nijmegen;K6;31397;11028;15;23;10990;2230;1755;933;1788;902;627;421;430;546;505;351;175;269;10;23;25
Tilburg;G0855;10792;Tilburg;K17;163308;55195;142;119;54934;10548;7934;4860;5550;8204;5485;549;2383;2536;2033;2563;1107;877;122;111;72
Tubbergen;G0183;10694;Zwolle;K4;16641;6888;12;10;6866;647;1001;3665;588;173;194;38;76;171;172;79;40;0;8;10;4
Twenterand;G1700;10643;Zwolle;K4;25876;10075;20;11;10044;990;802;3637;1107;332;230;1700;139;258;447;258;65;4;16;15;44
Tynaarlo;G1730;10002;Assen;K3;26363;12932;18;17;12897;3362;2090;1380;955;1817;966;620;498;300;330;347;176;8;19;20;9
Tytsjerksteradiel;G0737;11241;Leeuwarden;K2;24929;11141;15;16;11110;2308;1359;2253;1122;816;458;1236;326;298;349;388;116;2;31;8;40
Uden;G0856;11141;'s-Hertogenbosch;K18;32577;12186;26;32;12128;2212;2126;1864;1372;862;904;97;377;658;434;861;181;146;12;11;11
Uitgeest;G0450;11238;Den Helder;K11;10478;4950;8;13;4929;1037;877;522;597;475;528;60;205;224;145;159;76;9;8;5;2
Uithoorn;G0451;11206;Haarlem;K10;21538;9488;30;19;9439;1689;1949;937;1466;761;647;180;460;471;378;231;169;26;45;15;15
Urk;G0184;10783;Lelystad;K5;13687;7021;12;10;6999;39;40;445;1038;20;14;4954;11;12;320;19;14;5;1;0;67
Utrecht;G0344;10722;Utrecht;K8;255645;129773;178;267;129328;22221;16440;6814;6429;35204;17172;3457;6703;1865;2099;2658;4957;2464;375;366;104
Utrechtse Heuvelrug;G1581;10777;Utrecht;K8;38574;20714;19;23;20672;3585;3747;2284;1797;2595;1846;1674;1066;593;457;385;491;75;33;32;12
Vaals;G0981;10007;Maastricht;K19;6557;2939;10;9;2920;1078;161;360;289;262;95;35;150;112;227;78;27;11;9;21;5
Valkenburg aan de Geul;G0994;11077;Maastricht;K19;13672;5759;7;15;5737;1787;564;994;688;390;266;41;241;197;328;150;70;4;6;4;7
Valkenswaard;G0858;11031;'s-Hertogenbosch;K18;24941;8978;22;31;8925;1984;1380;1200;1119;599;492;77;255;800;405;355;217;3;15;13;11
Veendam;G0047;11292;Groningen;K1;21940;7645;12;16;7617;1979;893;764;1002;475;314;378;241;387;364;593;84;98;23;9;13
Veenendaal;G0345;11052;Utrecht;K8;49387;21566;34;25;21507;2257;2561;2569;2379;1186;771;7016;368;654;668;474;206;295;26;23;54
Veere;G0717;10369;Middelburg;K16;17501;9408;15;7;9386;1559;1287;1572;738;600;347;2165;315;287;200;135;129;7;15;16;14
Veldhoven;G0861;10071;'s-Hertogenbosch;K18;35074;13707;25;33;13649;2686;2397;1662;1532;1105;961;192;394;1133;497;587;415;11;19;37;21
Velsen;G0453;10620;Haarlem;K10;52662;21178;31;39;21108;4370;3325;1759;3129;1925;1464;661;980;1098;909;794;348;234;39;34;39
Venlo;G0983;10477;Maastricht;K19;76561;26368;49;85;26234;7966;2764;3653;3101;1829;990;197;781;1061;1895;1036;320;545;37;31;28
Venray;G0984;11222;Maastricht;K19;33456;12315;23;34;12258;2856;1651;2434;1291;816;820;87;265;592;507;616;172;112;20;11;8
Vijfheerenlanden;G1961;10685;Utrecht;K8;42903;18010;28;22;17960;2626;2168;2823;2102;960;868;3645;472;594;654;453;186;331;23;25;30
Vlaardingen;G0622;10811;Dordrecht;K14;54456;19697;59;41;19597;3338;2569;1701;3093;1538;1034;1163;805;997;997;1382;272;625;26;22;35
Vlieland;G0096;10211;Leeuwarden;K2;914;550;1;1;548;128;110;34;48;74;57;8;27;22;13;12;12;0;1;1;1
Vlissingen;G0718;10270;Middelburg;K16;33923;11870;30;17;11823;2643;1444;1094;1570;895;569;828;551;790;554;539;166;96;22;26;36
