RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;4133557;
Nederland;L528;AantalOngeldigeStemmen;;13173;
Nederland;L528;Kiesgerechtigden;;11618677;
Nederland;L528;Opkomst;;4146730;
Nederland;L528;;CDA;1271855;10
Nederland;L528;;PvdA;945869;8
Nederland;L528;;VVD;740443;6
Nederland;L528;;D66;481843;4
Nederland;L528;;SGP/GPV/RPF;322793;2
Nederland;L528;;GROENLINKS;154547;1
Nederland;L528;;De Groenen;97206;
Nederland;L528;;SP;55311;
Nederland;L528;;Centrumdemocraten;43299;
Nederland;L528;;Een Betere Toekomst;11547;
Nederland;L528;;Lijst de Groen;8844;
