RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;5667303;
Nederland;L528;AantalOngeldigeStemmen;;33300;
Nederland;L528;Kiesgerechtigden;;9808176;
Nederland;L528;Opkomst;;5700603;
Nederland;L528;;CDA;2017743;10
Nederland;L528;;PvdA;1722240;9
Nederland;L528;;VVD;914787;4
Nederland;L528;;D66;511967;2
Nederland;L528;;SGP;126412;
Nederland;L528;;CPN;97343;
Nederland;L528;;PSP;97243;
Nederland;L528;;PPR;92055;
Nederland;L528;;GPV;62610;
Nederland;L528;;Lijst Leschot;24903;
