RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;5242333;
Nederland;L528;AantalOngeldigeStemmen;;28041;
Nederland;L528;Kiesgerechtigden;;11099133;
Nederland;L528;Opkomst;;5270374;
Nederland;L528;;CDA;1814107;10
Nederland;L528;;PvdA;1609626;8
Nederland;L528;;VVD;714745;3
Nederland;L528;;Regenboog;365535;2
Nederland;L528;;D66;311990;1
Nederland;L528;;SGP_GPV_RPF;309060;1
Nederland;L528;;CD;40780;
Nederland;L528;;SP;34332;
Nederland;L528;;Initiatief voor Europese Democratie;23298;
Nederland;L528;;God Met Ons;18860;
