RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Democraten 66 (D66);CDA;PVV (Partij voor de Vrijheid);VVD;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie-SGP;GROENLINKS;Partij voor de Dieren;50PLUS;Piratenpartij;Artikel50;Anti  EU(ro)  Partij;De Groenen;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij
Stichtse Vecht;G1904;10191;Utrecht;K8;48743;20309;50;56;20203;3935;2731;2625;3132;1451;1666;1469;1197;837;655;138;141;61;32;52;28;40;6;7
Strijen;G0617;10558;Dordrecht;K14;6994;2792;4;5;2783;260;505;467;390;190;232;344;135;112;94;12;5;10;3;15;5;3;1;0
Súdwest-Fryslân;G1900;11421;Leeuwarden;K2;64921;25545;38;73;25434;2900;6490;2424;2997;2613;3188;1299;1342;885;796;159;126;59;47;46;22;21;15;5
Ten Boer;G0009;10891;Groningen;K1;5605;2521;9;9;2503;247;501;164;132;247;280;480;254;90;64;17;8;3;3;4;5;1;2;1
Terneuzen;G0715;10704;Middelburg;K16;41888;14437;45;41;14351;1492;2291;2496;1421;1392;1493;1896;466;466;576;73;63;42;43;45;15;71;7;3
Terschelling;G0093;11210;Leeuwarden;K2;3893;1879;6;3;1870;224;270;188;311;136;300;51;150;102;73;19;20;6;7;6;4;1;2;0
Texel;G0448;10237;Den Helder;K11;10707;5137;18;38;5081;677;796;537;856;515;535;181;478;221;184;34;20;8;16;13;2;6;1;1
Teylingen;G1525;10017;Leiden;K15;26774;11470;18;41;11411;2153;2205;1340;2173;652;797;336;578;449;442;103;66;41;17;14;16;20;8;1
Tholen;G0716;10376;Middelburg;K16;18974;7678;13;8;7657;346;830;1095;657;740;436;2931;107;218;150;25;30;38;6;30;7;6;0;5
Tiel;G0281;10027;Nijmegen;K6;31177;9930;20;40;9870;1394;1120;1909;1351;952;1069;385;520;481;431;71;71;32;25;23;10;14;6;6
Tilburg;G0855;10792;Tilburg;K17;160263;46108;112;188;45808;9151;5856;6426;5048;5832;3989;484;4375;1758;1673;490;247;123;123;42;64;67;40;20
Tubbergen;G0183;10694;Zwolle;K4;16076;5942;19;12;5911;291;3669;566;508;226;215;53;113;98;122;20;18;3;5;2;2;0;0;0
Twenterand;G1700;10643;Zwolle;K4;25612;9088;13;24;9051;421;3679;1055;475;567;381;1762;218;138;200;42;22;21;5;45;5;8;6;1
Tynaarlo;G1730;10002;Assen;K3;25371;11358;22;40;11296;2137;1309;868;1633;922;1732;622;1043;482;321;89;49;24;24;11;14;12;2;2
Tytsjerksteradiel;G0737;11241;Leeuwarden;K2;24584;9892;20;14;9858;834;2654;821;794;974;1479;858;611;285;365;53;36;14;22;20;18;9;9;2
Ubbergen;G0282;10408;Nijmegen;K6;7479;3514;6;7;3501;616;516;264;402;381;362;28;446;229;175;22;18;4;17;1;12;2;5;1
Uden;G0856;11141;'s-Hertogenbosch;K18;31555;11143;23;61;11059;1410;2174;1478;1906;1784;753;91;418;353;500;60;46;28;21;9;11;8;9;0
Uitgeest;G0450;11238;Den Helder;K11;9995;3914;8;13;3893;700;511;513;600;346;460;32;298;172;149;39;23;14;4;10;6;11;4;1
Uithoorn;G0451;11206;Haarlem;K10;21121;8301;31;29;8241;1353;1097;1225;1514;669;679;177;490;414;372;105;55;33;16;11;11;9;6;5
Urk;G0184;10783;Lelystad;K5;12606;5597;11;10;5576;27;581;585;37;67;13;4114;7;10;10;33;14;6;0;70;0;0;0;2
Utrecht;G0344;10722;Utrecht;K8;244499;100478;198;505;99775;26325;6949;7085;9950;7449;11421;3407;18616;4534;1157;1524;459;116;320;85;152;156;47;23
Utrechtse Heuvelrug;G1581;10777;Utrecht;K8;37106;18332;28;43;18261;3539;2692;1711;2793;1280;1268;1728;1517;845;482;92;105;49;67;36;9;29;17;2
Vaals;G0981;10007;Maastricht;K19;6608;2435;12;17;2406;481;368;506;144;246;232;17;146;108;96;22;11;6;18;1;2;0;1;1
Valkenburg aan de Geul;G0994;11077;Maastricht;K19;14028;5155;7;30;5118;767;1105;901;594;527;338;51;304;186;265;32;10;8;9;6;8;3;4;0
Valkenswaard;G0858;11031;'s-Hertogenbosch;K18;24393;8158;20;47;8091;1033;1485;1284;1007;956;609;106;306;297;819;41;45;31;16;4;33;11;5;3
Veendam;G0047;11292;Groningen;K1;21919;7047;22;41;6984;750;819;1033;712;1161;1164;367;233;286;321;34;28;28;12;17;9;1;7;2
Veenendaal;G0345;11052;Utrecht;K8;47162;19772;61;47;19664;1786;2833;2447;1774;1137;1011;6689;635;421;511;96;102;66;19;95;16;13;9;4
Veere;G0717;10369;Middelburg;K16;17194;8518;18;8;8492;785;1689;663;1085;477;637;2093;344;321;241;30;26;18;12;19;7;40;3;2
Veghel;G0860;10985;'s-Hertogenbosch;K18;28227;9775;21;25;9729;1161;2781;1217;1427;1157;611;87;287;301;543;55;40;14;12;4;10;10;6;6
Veldhoven;G0861;10071;'s-Hertogenbosch;K18;34334;11759;18;58;11683;1833;1880;1665;1671;1454;834;182;517;439;948;99;52;28;27;15;18;11;7;3
Velsen;G0453;10620;Haarlem;K10;51834;18408;47;66;18295;3056;1832;3309;2211;1958;1855;619;1077;1018;877;168;132;58;30;25;20;28;16;6
Venlo;G0983;10477;Maastricht;K19;76019;24474;46;132;24296;2474;4418;5758;2739;2865;1852;226;1034;696;1777;161;109;53;40;25;18;17;19;15
Venray;G0984;11222;Maastricht;K19;32873;11179;22;59;11098;1494;2844;1631;1268;1552;738;88;407;236;648;62;31;35;15;10;16;10;8;5
Vianen;G0620;10887;Utrecht;K8;15048;5671;8;28;5635;757;898;918;632;535;509;542;254;229;234;22;26;25;10;22;6;10;3;3
Vlaardingen;G0622;10811;Dordrecht;K14;54292;18125;40;82;18003;2185;2073;3802;1669;2232;1707;1304;1019;862;759;111;106;52;23;40;17;16;16;10
Vlagtwedde;G0048;11249;Groningen;K1;12761;4283;14;15;4254;292;814;822;324;547;462;268;185;238;192;29;29;26;6;16;3;0;1;0
Vlieland;G0096;10211;Leeuwarden;K2;877;502;3;4;495;89;47;50;98;22;58;16;44;41;19;2;1;2;3;1;1;1;0;0
Vlissingen;G0718;10270;Middelburg;K16;34281;11205;25;52;11128;1377;1244;1759;1210;1693;1147;845;537;587;434;86;49;45;20;38;18;28;4;7
Vlist;G0623;11174;Leiden;K15;7537;3690;3;6;3681;403;678;473;467;184;232;868;118;118;87;18;7;11;3;9;1;3;1;0
Voerendaal;G0986;11341;Maastricht;K19;10135;3848;9;16;3823;561;824;661;386;493;305;29;181;148;169;19;10;3;11;9;5;3;2;4
Voorschoten;G0626;10537;Leiden;K15;18595;9039;20;45;8974;1975;1285;890;1760;508;697;221;781;439;241;71;45;17;13;3;6;17;3;2
Voorst;G0285;10912;Arnhem;K7;18903;7349;17;34;7298;1049;1815;647;1094;543;724;390;375;241;284;33;26;18;22;8;13;7;9;0
Vught;G0865;11224;'s-Hertogenbosch;K18;19834;7969;12;34;7923;1719;1052;743;1399;733;638;90;768;289;355;48;19;15;23;5;6;19;1;1
Waalre;G0866;10959;'s-Hertogenbosch;K18;12885;5612;13;30;5569;1225;787;618;1063;429;365;98;323;186;347;49;29;10;11;1;11;11;3;3
Waalwijk;G0867;11359;Tilburg;K17;36081;11570;29;54;11487;1330;1950;2041;1565;1197;713;884;460;372;722;84;65;26;12;27;11;14;10;4
Waddinxveen;G0627;10081;Leiden;K15;19650;8684;11;27;8646;1067;1225;1176;1021;448;562;2134;305;271;258;43;41;33;10;23;7;14;6;2
Wageningen;G0289;11010;Arnhem;K7;27493;13946;29;67;13850;3164;1277;673;1160;1131;1700;832;2774;541;214;175;59;12;42;26;29;26;11;4
Wassenaar;G0629;10164;Leiden;K15;17851;8622;22;26;8574;1615;1422;1091;2358;333;375;180;379;368;288;44;49;27;12;6;2;21;2;2
Waterland;G0852;10983;Den Helder;K11;13512;6314;9;29;6276;951;1042;873;848;548;638;148;589;321;173;44;50;20;15;5;5;2;4;0
