RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Democraten 66 (D66);CDA;PVV (Partij voor de Vrijheid);VVD;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie-SGP;GROENLINKS;Partij voor de Dieren;50PLUS;Piratenpartij;Artikel50;Anti  EU(ro)  Partij;De Groenen;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij
Bernheze;G1721;10149;'s-Hertogenbosch;K18;22605;7538;12;7;7519;1036;2368;807;845;1113;398;44;253;167;382;48;21;11;11;3;4;5;2;1
Bernisse;G0568;10316;Dordrecht;K14;9945;3961;13;22;3926;501;674;703;598;344;279;250;133;180;160;28;20;15;8;18;1;6;7;1
Best;G0753;10442;'s-Hertogenbosch;K18;21721;7521;18;28;7475;1148;1217;961;1176;705;542;275;310;273;716;61;36;14;15;4;11;4;4;3
Beuningen;G0209;10417;Nijmegen;K6;19824;6604;25;19;6560;1114;962;901;952;892;645;75;395;199;325;33;23;9;10;4;8;6;4;3
Beverwijk;G0375;10272;Haarlem;K10;29569;9232;34;45;9153;1466;907;1717;987;979;994;154;625;524;526;100;53;44;15;22;15;14;7;4
Binnenmaas;G0585;10222;Dordrecht;K14;22824;9420;13;28;9379;1028;1462;1583;1318;677;761;1376;295;382;293;52;58;31;16;28;9;2;7;1
Bladel;G1728;11006;'s-Hertogenbosch;K18;15370;4933;6;18;4909;541;1419;670;656;508;312;28;196;155;338;19;11;22;11;2;6;10;4;1
Blaricum;G0376;10493;Haarlem;K10;7164;3446;3;10;3433;702;465;388;882;199;238;84;145;145;132;13;17;6;5;4;1;6;1;0
Bloemendaal;G0377;10850;Haarlem;K10;16872;9043;28;23;8992;2383;1128;634;2209;324;647;154;647;489;202;46;45;6;23;7;11;30;5;2
Bodegraven-Reeuwijk;G1901;11091;Leiden;K15;25061;11498;22;23;11453;1323;2428;1334;1655;513;551;2356;491;288;291;71;50;25;10;36;10;12;8;1
Boekel;G0755;10432;'s-Hertogenbosch;K18;7652;2618;12;8;2598;228;793;321;393;312;125;16;79;89;208;14;4;4;4;0;0;1;5;2
Bonaire;O9001;10084;Niet-provinciaal ingedeeld;P99;11225;1349;28;44;1277;281;113;60;200;58;80;20;32;31;25;6;4;1;2;8;343;7;1;5
Borger-Odoorn;G1681;10448;Assen;K3;20508;7526;14;15;7497;853;1130;961;984;866;1067;409;337;382;301;52;27;33;30;39;8;11;4;3
Borne;G0147;10326;Zwolle;K4;16894;6366;14;11;6341;844;2094;568;671;667;600;138;347;157;162;30;32;12;5;3;5;3;2;1
Borsele;G0654;10043;Middelburg;K16;17181;7378;20;16;7342;619;1466;826;677;515;442;1991;261;200;205;40;31;20;11;12;7;12;5;2
Boxmeer;G0756;11227;'s-Hertogenbosch;K18;22037;8972;12;39;8921;972;2182;976;979;2151;481;86;354;222;361;48;41;11;21;14;7;8;6;1
Boxtel;G0757;10083;'s-Hertogenbosch;K18;23274;7920;18;58;7844;1323;1551;916;944;1087;651;76;452;271;411;66;29;13;13;8;7;10;7;9
Breda;G0758;10154;Tilburg;K17;137999;46123;102;167;45854;8985;5833;5499;7803;5100;3879;555;3500;1962;1589;477;248;107;97;54;68;55;30;13
Brielle;G0501;10232;Dordrecht;K14;12958;4835;11;27;4797;596;629;884;782;622;438;137;191;240;169;34;37;12;1;6;10;4;2;3
Bronckhorst;G1876;11159;Arnhem;K7;29412;11818;24;35;11759;1453;3320;1076;1811;938;1115;458;618;393;400;57;34;22;16;15;7;20;5;1
Brummen;G0213;10798;Arnhem;K7;16745;6127;15;10;6102;902;962;741;933;624;816;172;344;276;209;37;19;16;20;9;5;8;7;2
Brunssum;G0899;10533;Maastricht;K19;23281;7220;18;27;7175;549;901;2204;542;1218;566;122;211;355;382;40;18;18;9;16;7;4;4;9
Bunnik;G0312;10820;Utrecht;K8;11202;5910;11;18;5881;1151;967;404;808;323;581;277;871;244;142;33;23;6;24;8;6;5;3;5
Bunschoten;G0313;11343;Utrecht;K8;15017;5556;12;5;5539;205;1191;660;314;125;114;2540;57;84;104;29;39;7;4;54;4;4;2;2
Buren;G0214;11286;Nijmegen;K6;20109;7971;8;25;7938;982;1067;1312;1290;519;848;858;260;321;297;40;30;25;46;11;9;13;9;1
Bussum;G0381;10281;Haarlem;K10;24270;10849;21;34;10794;2709;1123;927;2211;577;898;298;848;530;362;108;70;38;35;18;6;22;10;4
Capelle aan den IJssel;G0502;11248;Leiden;K15;50632;17246;44;67;17135;2458;1498;3197;1911;1649;1424;2510;619;867;599;124;84;33;39;68;18;15;14;8
Castricum;G0383;11287;Den Helder;K11;27076;12104;30;38;12036;2352;1776;1141;1792;1092;1245;180;1141;618;438;97;56;27;31;9;14;17;6;4
Coevorden;G0109;10383;Assen;K3;28017;10210;21;24;10165;1110;2040;1278;1593;981;1437;373;365;368;409;44;52;39;22;24;9;9;8;4
Cranendonck;G1706;10219;'s-Hertogenbosch;K18;16013;5197;15;14;5168;598;1055;1100;626;546;314;45;150;177;457;27;23;13;6;11;9;7;4;0
Cromstrijen;G0611;11346;Dordrecht;K14;10205;4183;5;6;4172;518;610;669;572;365;395;565;103;138;162;21;17;16;7;6;4;2;2;0
Cuijk;G1684;10023;'s-Hertogenbosch;K18;18939;6747;11;20;6716;949;1316;854;860;1181;474;45;314;228;364;39;24;20;23;8;7;3;5;2
Culemborg;G0216;10342;Nijmegen;K6;20575;8281;14;26;8241;1439;919;1094;996;630;900;461;981;352;246;61;49;17;61;13;7;6;9;0
Dalfsen;G0148;11007;Zwolle;K4;21194;8674;11;18;8645;780;2934;638;869;509;585;1467;310;206;240;23;13;14;8;18;10;8;10;3
Dantumadiel;G1891;10650;Leeuwarden;K2;14856;5448;16;7;5425;266;1524;639;239;498;550;1175;159;130;149;16;24;15;8;25;4;2;1;1
De Bilt;G0310;10168;Utrecht;K8;32501;16619;30;51;16538;3533;2042;1434;2590;1227;1404;1279;1609;723;386;84;71;19;49;28;15;23;10;12
De Friese Meren;G1921;10022;Leeuwarden;K2;39566;15583;31;44;15508;1716;3697;1572;2203;1471;1834;900;718;492;580;94;71;54;33;21;21;13;8;10
De Marne;G1663;10180;Groningen;K1;8144;3545;17;16;3512;250;654;336;322;462;393;398;330;186;105;24;5;9;14;10;5;4;2;3
De Ronde Venen;G0736;11379;Utrecht;K8;32631;14116;52;37;14027;2393;2609;1913;2565;658;862;913;721;463;555;101;118;48;30;27;11;30;6;4
De Wolden;G1690;10262;Assen;K3;18582;7902;25;14;7863;980;1632;785;1553;543;828;491;418;284;226;32;27;18;9;9;9;8;8;3
Delft;G0503;10928;Dordrecht;K14;74163;31646;75;186;31385;7791;2782;3600;3144;2714;3219;1314;3611;1360;725;583;178;77;86;57;47;56;19;22
Delfzijl;G0010;10976;Groningen;K1;20334;6205;16;45;6144;531;850;971;515;943;789;578;195;288;326;39;32;39;11;21;6;3;6;1
Den Helder;G0400;10285;Den Helder;K11;44865;13201;41;44;13116;1534;1592;2898;1579;1289;1085;721;514;722;771;140;92;69;32;44;14;11;3;6
Deurne;G0762;10379;'s-Hertogenbosch;K18;24942;8290;13;39;8238;830;1606;1210;1029;953;433;63;331;200;1457;46;24;17;13;5;9;7;4;1
Deventer;G0150;10899;Zwolle;K4;73721;27649;80;96;27473;4888;3785;2538;2990;2467;3804;1143;3143;1245;846;209;130;71;77;37;40;38;15;7
Diemen;G0384;11039;Haarlem;K10;19278;7134;28;32;7074;1220;532;1021;772;804;942;122;741;374;283;128;39;30;20;14;9;15;5;3
Dinkelland;G1774;10245;Zwolle;K4;19957;7525;16;6;7503;638;4104;687;749;341;291;61;212;133;196;34;20;10;8;3;5;5;3;3
Doesburg;G0221;10327;Arnhem;K7;8970;3350;10;8;3332;570;448;435;365;503;350;83;237;146;118;29;14;5;6;3;5;8;5;2
Doetinchem;G0222;10396;Arnhem;K7;43948;15720;30;51;15639;2099;2762;1844;1794;2060;1841;787;1027;561;554;125;66;37;18;22;14;15;7;6
Dongen;G0766;11412;Tilburg;K17;19768;6456;21;19;6416;1015;1278;871;898;663;593;139;253;241;343;36;26;17;13;15;4;4;1;6
Dongeradeel;G0058;10198;Leeuwarden;K2;18665;6826;14;17;6795;515;2282;590;473;561;658;808;318;256;186;32;45;17;8;29;3;4;4;6
Dordrecht;G0505;11157;Dordrecht;K14;88988;31457;99;117;31241;4264;3387;4977;2965;3263;3076;3672;2076;1659;1030;285;199;87;70;101;53;45;24;8
Drechterland;G0498;10642;Den Helder;K11;14706;5568;8;18;5542;776;1037;817;1028;482;422;70;246;200;307;47;53;18;7;5;6;9;8;4
Drimmelen;G1719;10258;Tilburg;K17;21120;7118;18;16;7084;1016;1246;1170;1093;759;544;82;294;278;467;47;32;19;12;3;6;6;6;4
Dronten;G0303;10210;Lelystad;K5;29769;11886;26;38;11822;1360;2720;1553;1776;885;809;1223;514;354;363;69;57;43;20;37;20;10;8;1
Druten;G0225;10068;Nijmegen;K6;13994;4695;8;31;4656;704;748;700;676;573;477;50;203;157;284;34;15;9;8;1;1;11;2;3
Duiven;G0226;11028;Arnhem;K7;19586;6584;28;18;6538;1050;1102;912;885;803;593;185;353;227;319;29;23;15;6;11;13;8;2;2
Echt-Susteren;G1711;10941;Maastricht;K19;25854;9004;23;28;8953;802;2275;2297;663;914;549;77;370;379;475;54;32;17;11;10;13;12;1;2
Edam-Volendam;G0385;10884;Den Helder;K11;22224;8226;6;27;8193;686;1539;2864;928;425;417;108;396;297;322;56;76;34;8;18;7;4;4;4
Ede;G0228;10743;Arnhem;K7;83273;36009;62;67;35880;4090;5744;3787;3597;1670;2177;10399;1831;995;912;187;157;69;43;110;29;28;51;4
Eemnes;G0317;10248;Utrecht;K8;6672;3033;12;12;3009;521;536;371;516;241;253;151;133;142;95;23;7;7;1;5;5;2;0;0
Eemsmond;G1651;10246;Groningen;K1;12489;5283;9;12;5262;390;975;550;408;777;588;782;306;230;153;34;11;14;15;22;4;1;1;1
Eersel;G0770;10741;'s-Hertogenbosch;K18;14641;5080;8;22;5050;778;1503;571;675;447;284;50;215;152;293;25;14;14;11;5;5;4;3;1
Eijsden-Margraten;G1903;11243;Maastricht;K19;20089;7825;18;28;7779;1149;1812;1158;840;628;899;51;497;278;323;36;25;21;29;4;5;11;7;6
Eindhoven;G0772;11298;'s-Hertogenbosch;K18;163709;55568;121;259;55188;10167;6168;7139;5994;6708;5067;1138;5021;2270;3674;829;322;132;203;94;105;92;42;23
Elburg;G0230;11113;Arnhem;K7;17140;7516;10;15;7491;444;1174;698;634;332;292;3279;174;142;208;25;16;23;13;26;4;4;3;0
Emmen;G0114;11180;Assen;K3;86254;25875;57;52;25766;2762;4490;4631;2171;3158;3613;1334;996;976;1079;139;131;116;36;54;26;21;18;15
Enkhuizen;G0388;10729;Den Helder;K11;14199;5296;16;24;5256;810;597;737;616;792;535;275;294;273;170;44;32;30;16;7;13;7;5;3
Enschede;G0153;10364;Zwolle;K4;119959;36678;62;133;36483;5993;5322;4722;3625;4144;4236;2271;2889;1311;767;599;188;106;69;79;53;72;19;18
Epe;G0232;10940;Arnhem;K7;25577;10225;27;25;10173;1219;1786;1246;1458;713;944;1393;412;387;418;36;34;39;14;44;9;11;7;3
Ermelo;G0233;10732;Arnhem;K7;20483;9453;21;15;9417;828;1965;893;957;436;448;2753;376;329;258;43;38;25;13;36;11;2;3;3
Etten-Leur;G0777;10750;Tilburg;K17;32447;10215;20;34;10161;1532;1844;1765;1472;1023;771;124;460;389;510;91;56;16;17;53;14;11;7;6
Ferwerderadiel;G1722;11284;Leeuwarden;K2;6680;2479;3;8;2468;190;781;220;270;242;245;228;84;97;76;9;9;5;5;4;0;0;2;1
Franekeradeel;G0070;10404;Leeuwarden;K2;15801;5902;11;17;5874;605;1416;610;639;611;782;368;321;203;193;40;21;17;12;16;6;6;6;2
Geertruidenberg;G0779;10101;Tilburg;K17;17036;5105;17;18;5070;613;897;1053;731;542;342;86;224;176;287;41;25;26;4;6;9;4;3;1
Geldermalsen;G0236;10881;Nijmegen;K6;19887;8504;15;24;8465;1021;1189;1319;1227;426;679;1488;384;259;296;63;39;30;21;8;3;8;3;2
Geldrop-Mierlo;G1771;10529;'s-Hertogenbosch;K18;30044;11062;26;38;10998;1679;1627;1610;1184;1611;681;187;682;410;1077;94;57;22;27;16;13;14;5;2
Gemert-Bakel;G1652;10277;'s-Hertogenbosch;K18;22597;7517;13;32;7472;733;2001;1152;728;1218;384;43;259;220;637;32;20;11;11;7;5;8;2;1
Gennep;G0907;10542;Maastricht;K19;13600;4599;8;21;4570;580;855;614;520;977;360;40;201;148;170;43;21;6;12;5;10;5;1;2
Giessenlanden;G0689;10255;Dordrecht;K14;11019;5219;9;7;5203;418;1172;533;794;308;420;1096;137;112;110;22;12;7;8;38;11;4;0;1
Gilze en Rijen;G0784;11375;Tilburg;K17;19889;6782;10;31;6741;931;1321;1044;927;757;600;51;306;240;445;34;29;13;10;17;4;7;3;2
Goeree-Overflakkee;G1924;11067;Dordrecht;K14;37555;16723;42;32;16649;1105;1950;2392;1631;1108;997;5797;440;506;442;60;56;52;17;71;9;5;3;8
Goes;G0664;10674;Middelburg;K16;29077;11635;34;31;11570;1435;1926;1215;1309;1263;1006;1789;576;465;323;84;42;38;24;28;9;24;9;5
Goirle;G0785;10971;Tilburg;K17;18075;6402;15;23;6364;1123;1133;766;931;770;548;41;390;228;321;30;23;17;11;9;10;6;4;3
Gorinchem;G0512;10942;Dordrecht;K14;26314;9384;32;28;9324;1329;1004;1359;1166;969;985;1080;510;414;267;86;43;22;15;45;17;7;2;4
Gouda;G0513;10302;Leiden;K15;53208;22376;54;82;22240;3795;2211;3025;1937;1864;2155;3369;1858;997;540;174;99;51;38;73;22;16;10;6
Graft-De Rijp;G0365;11417;Den Helder;K11;4995;2161;8;8;2145;331;342;270;379;176;216;17;137;150;82;11;12;4;9;1;2;4;2;0
Grave;G0786;10165;'s-Hertogenbosch;K18;9546;3606;5;5;3596;511;635;500;451;610;262;34;182;136;204;24;12;6;6;3;13;2;1;4
Groesbeek;G0241;10616;Nijmegen;K6;15353;6075;9;14;6052;789;1103;989;609;814;587;51;486;290;223;48;15;9;12;7;11;2;4;3
Groningen;G0014;10426;Groningen;K1;156745;60899;118;301;60480;12938;4015;3738;4921;6868;8800;3991;8639;3430;970;1110;357;125;234;99;90;83;48;24
Grootegast;G0015;11080;Groningen;K1;9185;3238;7;19;3212;229;908;322;271;263;204;608;162;95;88;16;14;3;8;13;4;2;0;2
Gulpen-Wittem;G1729;11032;Maastricht;K19;12241;4908;8;26;4874;606;1391;842;327;506;317;44;373;184;210;26;14;2;5;7;5;5;6;4
Haaksbergen;G0158;11435;Zwolle;K4;18960;7242;9;30;7203;837;2826;757;802;538;542;98;249;193;241;39;25;11;14;9;5;7;7;3
Haaren;G0788;11155;'s-Hertogenbosch;K18;10695;3693;9;11;3673;526;1105;331;570;301;206;48;210;131;178;17;13;10;11;2;5;5;1;3
Haarlem;G0392;10357;Haarlem;K10;116303;45724;106;159;45459;10243;3662;4328;4489;4285;5892;1059;5536;3429;1287;486;217;112;157;76;67;83;29;22
Haarlemmerliede en Spaarnwoude;G0393;10508;Haarlem;K10;4301;1674;5;1;1668;289;246;266;251;127;142;31;115;112;50;21;6;3;5;0;0;4;0;0
Haarlemmermeer;G0394;11387;Haarlem;K10;105464;36969;110;121;36738;5879;4731;6012;6423;2549;3027;1675;2028;1782;1600;304;307;122;58;59;63;67;25;27
Halderberge;G1655;10397;Tilburg;K17;23220;7018;18;22;6978;888;1373;1421;1037;732;464;68;203;226;419;48;31;26;7;16;7;7;2;3
Hardenberg;G0160;10174;Zwolle;K4;45359;17021;34;37;16950;1141;5162;1726;1359;1161;1236;3614;447;369;471;81;46;38;19;44;12;15;6;3
Harderwijk;G0243;10786;Arnhem;K7;34190;13616;38;31;13547;1474;2629;1465;1573;804;1025;2820;622;497;362;86;70;37;18;25;15;12;12;1
Hardinxveld-Giessendam;G0523;10167;Dordrecht;K14;13323;6142;6;16;6120;230;779;644;384;264;327;3021;78;115;138;15;20;16;9;63;6;9;1;1
Haren;G0017;11058;Groningen;K1;14668;8179;22;22;8135;1937;1003;409;1230;500;901;616;841;332;208;40;17;24;28;9;15;21;3;1
Harlingen;G0072;10909;Leeuwarden;K2;12284;4595;15;18;4562;496;643;613;478;592;689;272;261;236;191;30;18;15;11;4;3;3;7;0
Hattem;G0244;10673;Arnhem;K7;9092;4170;6;13;4151;471;826;310;490;224;441;946;166;100;102;24;21;10;4;13;1;1;0;1
Heemskerk;G0396;10679;Haarlem;K10;30258;10635;43;28;10564;1665;1532;1682;1141;1138;1143;241;712;479;511;101;84;38;12;23;22;23;8;9
Heemstede;G0397;11288;Haarlem;K10;20102;10309;26;32;10251;2541;1364;706;2414;494;798;185;757;487;304;60;46;14;28;12;6;27;6;2
Heerde;G0246;10291;Arnhem;K7;14623;6057;17;22;6018;506;1267;670;660;409;499;1407;194;172;144;19;12;17;9;25;3;0;4;1
Heerenveen;G0074;10680;Leeuwarden;K2;38884;15131;38;64;15029;1981;2213;1339;1902;1622;2800;790;888;662;515;101;68;47;22;31;24;12;5;7
Heerhugowaard;G0398;10752;Den Helder;K11;39394;13046;38;39;12969;2111;1708;1877;1779;1671;1244;431;651;605;538;124;75;41;23;22;24;26;14;5
Heerlen;G0917;10902;Maastricht;K19;70425;21346;69;74;21203;2205;2705;5071;1522;4364;1614;269;900;940;1087;174;103;59;44;51;29;20;20;26
Heeze-Leende;G1658;10462;'s-Hertogenbosch;K18;12191;4806;10;18;4778;756;1022;542;723;416;327;31;220;155;485;25;13;7;10;2;5;38;1;0
Heiloo;G0399;10793;Den Helder;K11;17772;8158;10;24;8124;1743;1189;736;1381;537;858;145;595;474;279;75;35;16;14;11;15;13;6;2
Hellendoorn;G0163;10806;Zwolle;K4;27761;10570;20;28;10522;916;4383;981;866;836;713;750;405;240;269;53;38;20;13;19;8;9;1;2
Hellevoetsluis;G0530;11078;Dordrecht;K14;30451;9958;42;39;9877;1233;857;2457;1453;971;898;334;421;520;472;82;64;35;16;25;15;14;9;1
Helmond;G0794;10932;'s-Hertogenbosch;K18;65107;20258;51;97;20110;2175;2249;4379;2272;3246;1156;234;886;572;2523;137;112;43;27;24;26;31;10;8
Hendrik-Ido-Ambacht;G0531;10416;Dordrecht;K14;21599;8495;20;21;8454;872;984;1170;902;583;505;2524;193;315;239;54;47;25;6;16;8;4;6;1
Hengelo;G0164;10907;Zwolle;K4;62173;21552;72;68;21412;2971;4555;2365;1993;3511;2260;735;1278;740;525;187;87;53;36;42;31;25;7;11
Het Bildt;G0063;10128;Leeuwarden;K2;7937;2819;6;6;2807;193;755;301;327;331;375;120;127;109;106;23;3;11;10;6;1;5;4;0
Heumen;G0252;10600;Nijmegen;K6;12649;5692;11;18;5663;1077;1049;507;711;635;617;52;506;242;196;20;12;9;11;6;7;6;0;0
Heusden;G0797;10307;'s-Hertogenbosch;K18;33318;11224;23;42;11159;1665;2489;1801;1629;1127;701;188;419;375;557;69;46;20;20;15;9;16;5;8
Hillegom;G0534;11236;Leiden;K15;16050;6457;12;19;6426;1048;1039;1032;1116;431;481;162;311;331;293;56;51;28;16;8;8;7;6;2
Hilvarenbeek;G0798;11297;Tilburg;K17;11829;4595;8;10;4577;589;1649;412;599;402;257;30;216;179;173;22;10;5;10;2;11;8;2;1
Hilversum;G0402;11285;Haarlem;K10;64845;26336;70;110;26156;5852;2459;2900;3593;2594;2521;1157;2226;1314;803;296;151;92;65;32;37;40;14;10
Hof van Twente;G1735;10076;Zwolle;K4;27419;11856;18;18;11820;1251;4981;940;1366;940;1034;224;434;221;293;36;36;19;13;10;14;2;6;0
Hollands Kroon;G1911;10344;Den Helder;K11;36508;13134;36;40;13058;1480;2399;2105;2168;1199;1089;396;501;505;857;108;97;52;30;19;15;21;12;5
Hoogeveen;G0118;10839;Assen;K3;42385;14499;29;27;14443;1175;3534;2004;1202;1682;1332;1960;470;350;433;67;78;53;11;62;13;6;4;7
Hoogezand-Sappemeer;G0018;10410;Groningen;K1;26885;8564;16;36;8512;949;737;1235;812;1562;1241;618;447;350;362;80;34;33;8;17;5;9;10;3
Hoorn;G0405;11392;Den Helder;K11;54276;18846;59;67;18720;3229;1897;2543;2255;2547;2190;355;1508;938;721;191;123;65;44;38;25;28;12;11
Horst aan de Maas;G1507;11108;Maastricht;K19;32124;10847;15;59;10773;1158;3269;1562;1095;1667;665;80;320;244;554;55;36;16;19;9;7;11;5;1
Houten;G0321;10230;Utrecht;K8;35682;16087;25;30;16032;2953;1974;1616;2071;1155;1409;2134;1426;589;374;127;58;34;21;21;27;22;17;4
Huizen;G0406;11170;Haarlem;K10;31949;13148;25;40;13083;2195;1926;1529;1998;748;928;1507;789;574;543;88;93;54;24;33;15;29;7;3
Hulst;G0677;11408;Middelburg;K16;20491;7326;22;24;7280;837;1421;1389;896;863;662;119;236;271;432;37;16;11;16;13;11;38;6;6
IJsselstein;G0353;10152;Utrecht;K8;25507;9088;24;26;9038;1773;1235;1265;1305;770;755;494;545;340;358;54;47;26;12;15;20;17;5;2
Kaag en Braassem;G1884;10349;Leiden;K15;19902;8184;14;43;8127;1331;1805;1162;1436;429;496;205;370;319;382;61;47;30;12;5;20;10;3;4
Kampen;G0166;10253;Zwolle;K4;37854;16473;20;31;16422;1120;3131;1593;1040;1421;963;5506;776;346;273;62;50;44;14;59;9;7;4;4
Kapelle;G0678;11223;Middelburg;K16;9429;4379;4;16;4359;376;754;396;603;326;298;1127;143;128;138;23;17;5;9;8;1;5;2;0
Katwijk;G0537;10707;Leiden;K15;46878;17152;29;47;17076;1241;3533;2620;1466;826;802;4712;419;472;557;137;107;54;23;57;22;20;5;3
Kerkrade;G0928;10313;Maastricht;K19;36119;10538;34;45;10459;799;1500;3317;604;1764;899;74;357;444;484;65;39;35;26;14;16;9;5;8
Koggenland;G1598;10354;Den Helder;K11;17078;6332;19;13;6300;752;1460;834;1132;548;485;75;296;284;277;47;33;28;9;5;12;13;7;3
Kollumerland en Nieuwkruisland;G0079;10984;Leeuwarden;K2;9977;3461;13;19;3429;190;1090;428;292;283;279;444;124;109;110;24;22;7;5;14;1;3;2;2
Korendijk;G0588;10914;Dordrecht;K14;8297;3664;3;10;3651;289;486;530;407;251;205;1068;115;144;85;8;19;9;1;19;4;6;4;1
Krimpen aan den IJssel;G0542;10859;Leiden;K15;22221;10025;19;16;9990;1045;1060;1602;1039;613;672;2756;357;341;290;65;35;32;16;44;7;9;5;2
Laarbeek;G1659;10173;'s-Hertogenbosch;K18;17032;5576;14;22;5540;634;1104;803;640;729;357;60;228;154;745;36;16;7;6;5;4;5;2;5
Landerd;G1685;10276;'s-Hertogenbosch;K18;11809;4351;8;12;4331;526;1137;525;589;630;280;44;128;107;315;22;10;3;2;4;5;0;2;2
Landgraaf;G0882;11335;Maastricht;K19;30260;9133;16;31;9086;737;1378;2599;586;1533;753;63;362;448;443;63;31;26;18;15;11;9;6;5
Landsmeer;G0415;11225;Den Helder;K11;8265;3411;8;7;3396;563;290;524;493;316;430;46;298;235;120;27;22;14;5;3;4;2;2;2
Langedijk;G0416;10955;Den Helder;K11;20699;7819;14;31;7774;1286;1121;1001;1236;670;694;365;464;357;338;94;50;18;13;30;12;13;12;0
Lansingerland;G1621;10139;Leiden;K15;41241;16562;22;42;16498;2694;2926;2403;2841;871;1038;1611;664;617;467;113;101;40;18;31;28;20;8;7
Laren;G0417;10649;Haarlem;K10;8555;4173;10;14;4149;885;564;412;1267;178;220;39;146;186;146;24;27;15;11;5;8;13;2;1
Leek;G0022;10604;Groningen;K1;15053;6107;23;22;6062;720;1054;594;575;658;692;800;408;216;224;38;24;19;14;13;6;3;3;1
Leerdam;G0545;10685;Dordrecht;K14;15442;5981;15;13;5953;490;933;970;617;391;515;1398;180;172;176;33;22;19;5;16;5;5;5;1
Leeuwarden;G0080;11228;Leeuwarden;K2;84016;31289;91;134;31064;4434;3460;2922;2765;3622;5631;1681;2887;1665;1077;386;168;79;72;86;49;48;21;11
Leeuwarderadeel;G0081;10851;Leeuwarden;K2;8069;3362;10;9;3343;326;715;269;364;403;678;171;129;137;94;25;11;4;7;3;2;1;4;0
Leiden;G0546;10702;Leiden;K15;91456;39904;92;193;39619;10206;2759;3945;3809;3374;4738;1209;5543;2102;743;598;206;64;122;56;60;49;23;13
Leiderdorp;G0547;10058;Leiden;K15;20426;9063;18;31;9014;1899;1201;1080;1299;614;892;394;686;402;342;71;67;13;19;8;14;6;6;1
Leidschendam-Voorburg;G1916;11103;Leiden;K15;56057;24606;62;88;24456;5225;3219;3238;4078;1795;1959;772;1509;1209;878;188;141;55;38;40;35;55;15;7
Lelystad;G0995;11110;Lelystad;K5;56229;19121;58;77;18986;2483;1817;3678;2168;2082;1868;1228;1196;1007;781;177;118;119;39;67;94;41;9;14
Leudal;G1640;10840;Maastricht;K19;28583;9801;14;54;9733;1182;2954;1593;1078;1052;520;89;363;296;444;31;67;10;14;15;11;6;7;1
Leusden;G0327;10978;Utrecht;K8;22444;10809;20;33;10756;2074;1702;916;1609;839;827;1169;709;372;298;62;63;29;26;20;12;18;2;9
Lingewaal;G0733;11376;Nijmegen;K6;8542;3654;10;12;3632;336;677;551;455;216;310;671;132;136;90;13;11;2;4;18;5;4;1;0
Lingewaard;G1705;10744;Arnhem;K7;35416;11673;28;49;11596;1876;2084;1540;1652;1386;1025;165;720;405;515;69;51;17;28;11;25;9;16;2
Lisse;G0553;10197;Leiden;K15;17121;7155;11;24;7120;1077;1359;981;1079;443;411;772;248;251;361;52;31;20;7;10;5;8;5;0
Littenseradiel;G0140;10422;Leeuwarden;K2;8291;3527;5;8;3514;342;934;213;492;292;518;150;265;119;120;20;13;7;9;9;3;5;3;0
Lochem;G0262;11263;Arnhem;K7;26385;12128;36;49;12043;2225;2591;776;2059;879;1261;227;944;467;444;54;26;17;25;11;13;20;2;2
Loon op Zand;G0809;11259;Tilburg;K17;18185;5858;3;28;5827;765;1218;1002;897;530;390;111;250;241;316;32;23;10;17;4;10;5;3;3
Lopik;G0331;10333;Utrecht;K8;10469;4597;9;16;4572;331;1140;666;553;192;194;1038;121;113;137;23;11;13;8;25;3;1;1;2
Loppersum;G0024;10934;Groningen;K1;8025;3407;8;15;3384;298;751;267;233;381;407;431;304;143;111;19;5;11;3;7;7;5;1;0
Losser;G0168;11166;Zwolle;K4;17675;5792;9;10;5773;605;2087;863;550;552;395;54;224;146;207;25;16;26;10;1;3;2;7;0
Maasdonk;G1671;10370;'s-Hertogenbosch;K18;8723;2989;4;10;2975;300;1062;396;310;358;124;25;91;77;201;13;5;1;4;2;3;1;2;0
Maasdriel;G0263;10341;Nijmegen;K6;18390;6498;9;21;6468;681;1277;1360;879;494;372;321;250;194;337;69;32;14;13;8;2;158;5;2
Maasgouw;G1641;10964;Maastricht;K19;19604;6468;23;28;6417;617;1843;1334;676;597;370;55;196;265;353;29;25;7;16;17;8;4;1;4
Maassluis;G0556;10880;Dordrecht;K14;24698;9090;26;27;9037;1028;1457;1768;1245;839;866;588;297;351;411;63;44;26;16;18;5;9;4;2
Maastricht;G0935;10182;Maastricht;K19;92080;32743;84;112;32547;5903;3677;5628;3081;4003;3225;290;3241;1404;1258;295;130;74;117;58;61;46;29;27
Marum;G0025;11431;Groningen;K1;7979;2870;9;4;2857;266;534;374;374;263;352;316;129;92;89;20;10;9;11;6;7;1;2;2
Medemblik;G0420;11215;Den Helder;K11;32857;11638;33;44;11561;1562;2276;1768;1651;996;834;591;589;527;527;70;65;27;16;20;23;10;7;2
