RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;10267;
Nederland;L528;AantalGeldigeStemmen;;5497813;
Nederland;L528;AantalOngeldigeStemmen;;11696;
Nederland;L528;Kiesgerechtigden;;13164688;
Nederland;L528;Opkomst;;5519776;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten;1045274;6
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - F.C.G.M. (Frans) Timmermans;839240;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - A.M. (Agnes) Jongerius;109987;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - K.P. (Kati) Piri;29475;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - V.E.R. (Vera) Tax;12760;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - P.J.G. (Paul) Tang;8497;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - N.M. (Naomi) Woltring;5339;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - H. (Hedy) d' Ancona;5171;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - L.I. (Lara) Wolters;4888;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - A.J. (Anja) Timmer;4521;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - S. (Sham) Ahmed;3545;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - F. (Fardau) Procee;3502;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - M.J. (Max) van den Berg;3301;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - M. (Mohammed) Chahim;2825;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - R. (Ralph) du Long;1736;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - H.S. (Henk) Deinum;1730;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - A. (Arina) Angerman;1606;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - R. (Richard) Moti;1509;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - M. (Mark) Lauriks;1351;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - M.J.A. (Thijs) Reuten;1222;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - K.J.R. (Kavish) Bisseswar;958;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - A.A. (Albert) de Vries;913;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - J.A. (Jerzy) Soetekouw;717;
Nederland;L528;;P.v.d.A./Europese Sociaaldemocraten - B. (Bart) Pierik;481;
Nederland;L528;;VVD;805100;4
Nederland;L528;;VVD - M. (Malik) Azmani;365155;
