RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;;VVD - C.M.A.W. (Caroline) Nagtegaal-van Doorn;163279;
Nederland;L528;;VVD - J. (Jan) Huitema;115738;
Nederland;L528;;VVD - E.N.A.J. (Liesje) Schreinemacher;37519;
Nederland;L528;;VVD - B. (Bart) Groothuis;21353;
Nederland;L528;;VVD - H.C. (Catharina) Rinzema;14749;
Nederland;L528;;VVD - F. (Falco) Hoekstra;10315;
Nederland;L528;;VVD - R.J. (Roelien) Kamminga;10187;
Nederland;L528;;VVD - M.A.D. (Monique) Fasol;9895;
Nederland;L528;;VVD - B.E.A. (Boaz) Adank;9768;
Nederland;L528;;VVD - S.B. (Sjoerd) Bakker;6730;
Nederland;L528;;VVD - A. (Anouk) van Brug;6372;
Nederland;L528;;VVD - J.J.E. (Jeroen) Janssen;5245;
Nederland;L528;;VVD - J.M. (Jacques Michel) Bloi;4781;
Nederland;L528;;VVD - D.G.P. (Dominique) Boelen;4079;
Nederland;L528;;VVD - M. (Martijn) Grevink;4047;
Nederland;L528;;VVD - R.N. (René) Bos;3124;
Nederland;L528;;VVD - C.D. (Christiaan) Zwart;2723;
Nederland;L528;;VVD - J.H. (Johan) van Rijn;2548;
Nederland;L528;;VVD - W.M. (Maurice) Hoogeveen;2447;
Nederland;L528;;VVD - M.V. (Michael) Pistecky;2406;
Nederland;L528;;VVD - I.S. (Igor) Bal;1771;
Nederland;L528;;VVD - M.E.P. (Marc) Clercx;869;
Nederland;L528;;CDA - Europese Volkspartij;669555;4
Nederland;L528;;CDA - Europese Volkspartij - E.M.R. (Esther) de Lange;402975;
Nederland;L528;;CDA - Europese Volkspartij - J.M.G. (Annie) Schreijer-Pierik;113914;
Nederland;L528;;CDA - Europese Volkspartij - J.J.M. (Jeroen) Lenaers;50121;
Nederland;L528;;CDA - Europese Volkspartij - T.B.W. (Tom) Berendsen;28579;
Nederland;L528;;CDA - Europese Volkspartij - H.J. (Henk Jan) Ormel;11084;
Nederland;L528;;CDA - Europese Volkspartij - C. (Chantal) Hakbijl;10867;
Nederland;L528;;CDA - Europese Volkspartij - J. (Sjaak) van der Tak;8058;
Nederland;L528;;CDA - Europese Volkspartij - R.F. (Friso) Douwstra;6683;
Nederland;L528;;CDA - Europese Volkspartij - E.M. (Eveline) Herben;5871;
Nederland;L528;;CDA - Europese Volkspartij - T.C.W.M. (Theo) Alkemade;5867;
Nederland;L528;;CDA - Europese Volkspartij - D.R. (Daan) Versteeg;5750;
Nederland;L528;;CDA - Europese Volkspartij - R.W. (Robert) de Wit;5640;
Nederland;L528;;CDA - Europese Volkspartij - K.M.H. (Karla) Peijs;5627;
Nederland;L528;;CDA - Europese Volkspartij - C.A.I.J. (Caspar) Rutten;3772;
Nederland;L528;;CDA - Europese Volkspartij - A.J. (Albert Jan) Maat;2094;
Nederland;L528;;CDA - Europese Volkspartij - B.J. (Bas Jan) van Bochove;1521;
Nederland;L528;;CDA - Europese Volkspartij - J.A.H. (Jimmy) Bastings;1132;
Nederland;L528;;Forum voor Democratie;602507;3
Nederland;L528;;Forum voor Democratie - D.J.  Eppink;339988;
Nederland;L528;;Forum voor Democratie - T.H.P.  Baudet;164711;
Nederland;L528;;Forum voor Democratie - R.B.S.  Roos;41323;
Nederland;L528;;Forum voor Democratie - D.  Rookmaker;15403;
Nederland;L528;;Forum voor Democratie - R.J.  Rooken;10143;
Nederland;L528;;Forum voor Democratie - M.P.  Hoogeveen;9521;
Nederland;L528;;Forum voor Democratie - S.E.P.  van Odijk;6335;
Nederland;L528;;Forum voor Democratie - F.J.H.  Jansen;6071;
Nederland;L528;;Forum voor Democratie - P.M.L.  Frentrop;2759;
Nederland;L528;;Forum voor Democratie - A.H.J.W.  van Schijndel;2709;
Nederland;L528;;Forum voor Democratie - A.J.A.  Beukering;2040;
Nederland;L528;;Forum voor Democratie - G.F.C.  van Meijeren;1504;
Nederland;L528;;GROENLINKS;599283;3
Nederland;L528;;GROENLINKS - B. (Bas) Eickhout;263034;
Nederland;L528;;GROENLINKS - M.H.A. (Tineke) Strik;149628;
Nederland;L528;;GROENLINKS - K. (Kim) van Sparrentak;32505;
Nederland;L528;;GROENLINKS - S. (Sabine) Klok;26949;
Nederland;L528;;GROENLINKS - E.A. (Eline) van Nistelrooij;26250;
Nederland;L528;;GROENLINKS - J. (Judith) Sargentini;14309;
Nederland;L528;;GROENLINKS - T. (Touria) Meliani;9782;
Nederland;L528;;GROENLINKS - J. (Jeroni) Vergeer;8942;
Nederland;L528;;GROENLINKS - R.J. (Jasper) Groen;8849;
Nederland;L528;;GROENLINKS - G. (Glimina) Chakor;8321;
Nederland;L528;;GROENLINKS - C. (Claudia) Hofemann;7650;
Nederland;L528;;GROENLINKS - M. (Mieke) van der Vegt;7497;
Nederland;L528;;GROENLINKS - S.J.H. (Sylvana) Rikkert;6052;
Nederland;L528;;GROENLINKS - A.S. (Sjoukje) van Oosterhout;5652;
Nederland;L528;;GROENLINKS - D.J. (Dirk-Jan) Koch;5282;
Nederland;L528;;GROENLINKS - H.I. (Hagar) Roijackers;5132;
Nederland;L528;;GROENLINKS - C.C. (Cathelijne) Bouwkamp;4419;
Nederland;L528;;GROENLINKS - M.P.A.G. (Marij) Pollux;3520;
Nederland;L528;;GROENLINKS - P.M. (Patricia) Brunklaus;3069;
Nederland;L528;;GROENLINKS - M. (Sander) Chan;2441;
Nederland;L528;;Democraten 66 (D66);389692;2
Nederland;L528;;Democraten 66 (D66) - S.H. (Sophie) in 't Veld;248383;
Nederland;L528;;Democraten 66 (D66) - S. (Samira) Rafaela;32510;
Nederland;L528;;Democraten 66 (D66) - R.M. (Raoul) Boucke;22500;
Nederland;L528;;Democraten 66 (D66) - K.E.A. (Emily) van de Vijver;17269;
Nederland;L528;;Democraten 66 (D66) - J.C. (Jan) Terlouw;13577;
Nederland;L528;;Democraten 66 (D66) - F.C.O. (Felix) Klos;8451;
Nederland;L528;;Democraten 66 (D66) - S. (Sjoerd) Warmerdam;6938;
Nederland;L528;;Democraten 66 (D66) - R. (Raquel) Garcia Hermida-van der Walle;6517;
Nederland;L528;;Democraten 66 (D66) - E. (Eva) van Wijngaarden;5857;
Nederland;L528;;Democraten 66 (D66) - S.J. (Susanne) Caarls;4894;
Nederland;L528;;Democraten 66 (D66) - V.H.A. (Vic) van Dijk;4044;
Nederland;L528;;Democraten 66 (D66) - J.M. (Anita) Pannebakker;2868;
Nederland;L528;;Democraten 66 (D66) - E.F.C.N. (Emma) Laurijssens-van Engelenhoven;2693;
Nederland;L528;;Democraten 66 (D66) - J.C.W. (John) Nederstigt;2175;
Nederland;L528;;Democraten 66 (D66) - H.A.P. (Rita) Braam-van Valkengoed;2012;
Nederland;L528;;Democraten 66 (D66) - C.J. (Caecilia) van Peski;1389;
Nederland;L528;;Democraten 66 (D66) - S.A.W. (Stef) Stevens;1294;
Nederland;L528;;Democraten 66 (D66) - F.E. (Franklin) Boon;1065;
Nederland;L528;;Democraten 66 (D66) - C.A. (Conny) van Stralen;1042;
Nederland;L528;;Democraten 66 (D66) - B.T. (Bastiaan) Winkel;1014;
Nederland;L528;;Democraten 66 (D66) - J.L.A. (Johanna) Boogerd-Quaak;979;
Nederland;L528;;Democraten 66 (D66) - A. (Andor) Admiraal;723;
Nederland;L528;;Democraten 66 (D66) - A.S. (Fons) van der Ham;667;
Nederland;L528;;Democraten 66 (D66) - T.J.W. (Thierry) de Heer;621;
Nederland;L528;;Democraten 66 (D66) - A.F. (Andreas) Zenthöfer;210;
Nederland;L528;;ChristenUnie-SGP;375660;2
Nederland;L528;;ChristenUnie-SGP - P. (Peter) van Dalen;240459;
Nederland;L528;;ChristenUnie-SGP - H.J.A. (Bert-Jan) Ruissen;44416;
Nederland;L528;;ChristenUnie-SGP - A. (Anja) Haga;37813;
Nederland;L528;;ChristenUnie-SGP - S.J. (Simone) Kennedy-Doornbos;6776;
Nederland;L528;;ChristenUnie-SGP - A.T. (Anne) Strijker;4723;
Nederland;L528;;ChristenUnie-SGP - J. (Johanna) Koffeman-Kramer;4148;
Nederland;L528;;ChristenUnie-SGP - K.A. (Klariska) ten Napel;3552;
Nederland;L528;;ChristenUnie-SGP - P.N. (Nathanaël) Middelkoop;3325;
Nederland;L528;;ChristenUnie-SGP - H. (Henk) van den Berge;3024;
Nederland;L528;;ChristenUnie-SGP - A.N. (Arjen) Droog;2951;
Nederland;L528;;ChristenUnie-SGP - A. (Arnold) Versteeg;2801;
Nederland;L528;;ChristenUnie-SGP - D.G.M. (Don) Ceder;2726;
Nederland;L528;;ChristenUnie-SGP - E. (Evert-Jan) Brouwer;2600;
Nederland;L528;;ChristenUnie-SGP - J.A. (Jan) Schippers;1911;
Nederland;L528;;ChristenUnie-SGP - M.J. (Maaike) Niemeijer-Schaap;1502;
Nederland;L528;;ChristenUnie-SGP - E.J. (Efraïm) Hart;1479;
Nederland;L528;;ChristenUnie-SGP - A. (Ardjan) Boersma;1336;
Nederland;L528;;ChristenUnie-SGP - H. (Henri) Krooneman;1336;
Nederland;L528;;ChristenUnie-SGP - P.T.A. (Patience) Mayaki-van der Horst;1207;
Nederland;L528;;ChristenUnie-SGP - J.H. (Jan Henk) Verburg;1131;
Nederland;L528;;ChristenUnie-SGP - M.J. (Maarten) van de Fliert;1110;
Nederland;L528;;ChristenUnie-SGP - J.W. (Hans) Keuken;931;
Nederland;L528;;ChristenUnie-SGP - G.A. (Gijsbrecht) Gunter;831;
Nederland;L528;;ChristenUnie-SGP - A.D.J.M. (Anil) Kumar;804;
Nederland;L528;;ChristenUnie-SGP - J.H. (Jannes) de Jong;634;
Nederland;L528;;ChristenUnie-SGP - R. (Rob) Jonkman;532;
Nederland;L528;;ChristenUnie-SGP - H.F. (Henk) Massink;410;
Nederland;L528;;ChristenUnie-SGP - P.J.L. (Leonard) den Boef;408;
Nederland;L528;;ChristenUnie-SGP - F.J.C. (Jarno) Volmer;393;
Nederland;L528;;ChristenUnie-SGP - Z.J.B. (Bryant) Heng;391;
Nederland;L528;;Partij voor de Dieren;220938;1
Nederland;L528;;Partij voor de Dieren - A.A.H. (Anja) Hazekamp;136224;
Nederland;L528;;Partij voor de Dieren - G.S.L. (Stephanie) van Voorthuizen;13462;
Nederland;L528;;Partij voor de Dieren - E.S. (Eva) Akerboom;12290;
Nederland;L528;;Partij voor de Dieren - E. (Esther) Ouwehand;11215;
Nederland;L528;;Partij voor de Dieren - F.P. (Frank) Wassenberg;8943;
Nederland;L528;;Partij voor de Dieren - J.F.W. (Johnas) van Lammeren;4683;
Nederland;L528;;Partij voor de Dieren - M.E.C. (Michelle) van Doorn;4391;
Nederland;L528;;Partij voor de Dieren - K. (Kirsten) de Wrede;4271;
Nederland;L528;;Partij voor de Dieren - A.H.K. (Carla) van Viegen;3881;
Nederland;L528;;Partij voor de Dieren - L.R. (Luuk) van der Veer;2987;
Nederland;L528;;Partij voor de Dieren - M.C. (Marco) van der Wel;2838;
Nederland;L528;;Partij voor de Dieren - E.R. (Ewald) Engelen;2740;
Nederland;L528;;Partij voor de Dieren - M. (Maaike) Moulijn;2579;
Nederland;L528;;Partij voor de Dieren - P.S.M.L. (Pascale) Plusquin;2436;
Nederland;L528;;Partij voor de Dieren - J.K.P. (Kelly) Mannoesingh;1987;
Nederland;L528;;Partij voor de Dieren - S.E. (Sebastiaan) Wolswinkel;1774;
Nederland;L528;;Partij voor de Dieren - L. (Leonie) Vestering;1428;
Nederland;L528;;Partij voor de Dieren - M.G.W. (Matt) Kanters;1274;
Nederland;L528;;Partij voor de Dieren - T. (Tim) Feij;943;
Nederland;L528;;Partij voor de Dieren - F. (Falco) van Hassel;592;
Nederland;L528;;50PLUS;215199;1
Nederland;L528;;50PLUS - A.J.M. (Toine) Manders;127228;
Nederland;L528;;50PLUS - E.C. (Emmy) van der Kleij;24723;
Nederland;L528;;50PLUS - H.C.M. (Henk) Krol;10637;
Nederland;L528;;50PLUS - K.L.R. (Roy) Ho Ten Soeng;7454;
Nederland;L528;;50PLUS - M.M.C. (Marlon) van Dalen;6311;
Nederland;L528;;50PLUS - L. (Léonie) Sazias;5536;
Nederland;L528;;50PLUS - W. (Wilma) Richter;4198;
Nederland;L528;;50PLUS - E.M.N. (Nicoline) Maarschalk Meijer;3683;
Nederland;L528;;50PLUS - A. (Adriana) Hernández Martínez;3351;
Nederland;L528;;50PLUS - A.M.B. (Bennie) van Est;3023;
Nederland;L528;;50PLUS - G.L.C. (George) Lernout;2707;
Nederland;L528;;50PLUS - K. (Klaas) Hamersma;2386;
Nederland;L528;;50PLUS - R. (Rosa) Molenaar;1959;
Nederland;L528;;50PLUS - J.H. (Sjef) van Put;1913;
Nederland;L528;;50PLUS - L.M.M. (Lorenzo) van der Weiden;1562;
Nederland;L528;;50PLUS - M.J. (Martin) van Rooijen;1398;
Nederland;L528;;50PLUS - M.M.H. (Monique) Sanders;1334;
Nederland;L528;;50PLUS - C.M. (Corrie) van Brenk;1310;
Nederland;L528;;50PLUS - J.C. (Johan) Hessing;842;
Nederland;L528;;50PLUS - R.F. (Roberto) Schols;763;
Nederland;L528;;50PLUS - F.E. (Frank) Engelman;690;
Nederland;L528;;50PLUS - H.C. (Helen) Stuger;476;
Nederland;L528;;50PLUS - R.P.J.J. (Rob) van den Hoek;468;
Nederland;L528;;50PLUS - T.M.J. (Theo) Hoppenbrouwers;468;
Nederland;L528;;50PLUS - W.R. (Roy) Zuiverloon;347;
Nederland;L528;;50PLUS - R.H. (Ruud) van Acquoij;221;
Nederland;L528;;50PLUS - A.C.P. (Ándre) van Wanrooij;211;
Nederland;L528;;PVV (Partij voor de Vrijheid);194178;
Nederland;L528;;PVV (Partij voor de Vrijheid) - G. (Geert) Wilders;83448;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M.J.R.L. (Marcel) de Graaff;81073;
Nederland;L528;;PVV (Partij voor de Vrijheid) - P. (Patricia) van der Kammen;8627;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A.J. (Auke) Zijlstra;7007;
Nederland;L528;;PVV (Partij voor de Vrijheid) - O.F. (Olaf) Stuger;5127;
Nederland;L528;;PVV (Partij voor de Vrijheid) - I.H.C. (Ino) van den Besselaar;2516;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M.C.H. (Maikel) Boon;1946;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A. (Andre) Elissen;1861;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M. (Marco) Deen;1733;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M.S. (Menno) Ludriks;840;
Nederland;L528;;SP (Socialistische Partij);185224;
Nederland;L528;;SP (Socialistische Partij) - A.J. (Arnout) Hoekstra;93809;
Nederland;L528;;SP (Socialistische Partij) - J.A. (Jannie) Visscher;35498;
Nederland;L528;;SP (Socialistische Partij) - F. (Fenna) Feenstra;10846;
Nederland;L528;;SP (Socialistische Partij) - R. (Remine) Alberts-Oosterbaan;4169;
Nederland;L528;;SP (Socialistische Partij) - G. (Geert) Ritsema;3792;
Nederland;L528;;SP (Socialistische Partij) - E.C.L. (Ellen) Verhoog;3153;
Nederland;L528;;SP (Socialistische Partij) - J.M.A.M. (Jan) de Wit;2623;
Nederland;L528;;SP (Socialistische Partij) - J. (Jay) Pahladsingh;2590;
Nederland;L528;;SP (Socialistische Partij) - J. (Jannie) Drenthe;2229;
Nederland;L528;;SP (Socialistische Partij) - S.A. (Sara) Murawski;2033;
Nederland;L528;;SP (Socialistische Partij) - K. (Krista) van Velzen;2030;
Nederland;L528;;SP (Socialistische Partij) - W.L.M. (William) van den Heuvel;1929;
Nederland;L528;;SP (Socialistische Partij) - M. (Meltem) Okcu;1907;
Nederland;L528;;SP (Socialistische Partij) - R.D. (Renske) Helmer-Englebert;1876;
Nederland;L528;;SP (Socialistische Partij) - J.A. (Josje) Beukema;1751;
Nederland;L528;;SP (Socialistische Partij) - D. (Daphne) ten Klooster;1556;
Nederland;L528;;SP (Socialistische Partij) - G.J. (Jan) Zoll;1464;
Nederland;L528;;SP (Socialistische Partij) - A.H.J. (Ton) Heerschop;1362;
Nederland;L528;;SP (Socialistische Partij) - L.H. (Lisa) de Leeuw;1328;
Nederland;L528;;SP (Socialistische Partij) - W.R. (Wouter) van der Staak;1321;
Nederland;L528;;SP (Socialistische Partij) - S. (Sibel) Özoğul-Özen;1181;
Nederland;L528;;SP (Socialistische Partij) - N.M. (Nicole) van Gemert;1164;
Nederland;L528;;SP (Socialistische Partij) - J.B. (Jos) van der Horst;1117;
Nederland;L528;;SP (Socialistische Partij) - A.M. (Ad) Meijer;1096;
Nederland;L528;;SP (Socialistische Partij) - L.R. (Rosita) van Gijlswijk;906;
Nederland;L528;;SP (Socialistische Partij) - D.M. (Diederik) van der Loo;878;
Nederland;L528;;SP (Socialistische Partij) - G. (Ger) van Unen;633;
Nederland;L528;;SP (Socialistische Partij) - T.G. (Tjitske) Hoekstra;627;
Nederland;L528;;SP (Socialistische Partij) - D.W.J. (Diederik) Olders;356;
Nederland;L528;;Volt Nederland;106004;
Nederland;L528;;Volt Nederland - R.J.A. (Reinier) van Lanschot;51621;
Nederland;L528;;Volt Nederland - N. (Nilüfer) Vogels;21951;
Nederland;L528;;Volt Nederland - E.G.R. (Bibi) Wielinga;9465;
Nederland;L528;;Volt Nederland - J. (Juliet) Broersen;3342;
Nederland;L528;;Volt Nederland - R. (Roos) Habets;2329;
Nederland;L528;;Volt Nederland - L.A.J.M. (Laurens) Dassen;1973;
Nederland;L528;;Volt Nederland - I.V. (Ilca) Italianer;1641;
Nederland;L528;;Volt Nederland - M. (Marieke) Koekkoek;1599;
Nederland;L528;;Volt Nederland - C.G. (Chris) Luth;1396;
Nederland;L528;;Volt Nederland - A. (Aida) Tunović;1395;
Nederland;L528;;Volt Nederland - L. (Liping) Oerlemans;1340;
Nederland;L528;;Volt Nederland - E.P. (Elmar) Theune;1201;
Nederland;L528;;Volt Nederland - M.A.N. (Mark) Coenen;1088;
Nederland;L528;;Volt Nederland - R. (Reyhan) Çiğdem;993;
Nederland;L528;;Volt Nederland - E. (Elske) Kroesen;841;
Nederland;L528;;Volt Nederland - L.J. (Lars) Jongerius;757;
Nederland;L528;;Volt Nederland - J.J. (Justus) de Visser;681;
Nederland;L528;;Volt Nederland - J.P. (Jasper) Munnichs;575;
Nederland;L528;;Volt Nederland - D. (Doke) Hoekstra;353;
Nederland;L528;;Volt Nederland - K.M. (Koen) Janssen;342;
Nederland;L528;;Volt Nederland - T.E. (Tom) Bolsius;338;
Nederland;L528;;Volt Nederland - J.P. (Jason) Halbgewachs;300;
Nederland;L528;;Volt Nederland - C.W.A. (Coen) van de Kraats;285;
Nederland;L528;;Volt Nederland - B. (Boris) van Bokhoven;198;
Nederland;L528;;DENK;60669;
Nederland;L528;;DENK - A. (Ayhan) Tonca;25302;
Nederland;L528;;DENK - T. (Tunahan) Kuzu;20350;
Nederland;L528;;DENK - F. (Farid) Azarkan;3899;
Nederland;L528;;DENK - N. (Nadia) El Ouahdani;2940;
Nederland;L528;;DENK - M. I. (Ibrahim) Ghazi;1613;
Nederland;L528;;DENK - G. E. E. (Gideon) Everduim;1432;
Nederland;L528;;DENK - A. (Aiman) El-Gharabawy;1400;
Nederland;L528;;DENK - N. (Naida) Ribić-Gradečak;868;
Nederland;L528;;DENK - H.M. (Huda) Sufyan;746;
Nederland;L528;;DENK - M. L. (Luiza) Soares;632;
Nederland;L528;;DENK - G. (Gladys) Albitrouw;549;
Nederland;L528;;DENK - Ş. (Şerif) Uysal;456;
Nederland;L528;;DENK - S.Z.S. (Sarah) Al-Rubey;270;
Nederland;L528;;DENK - H.A. (Harry) van Heerden;212;
Nederland;L528;;vandeRegio & Piratenpartij;10692;
Nederland;L528;;vandeRegio & Piratenpartij - S.G. (Sent) Wierda;4291;
Nederland;L528;;vandeRegio & Piratenpartij - A.M. (Astrid) Abendroth;1491;
Nederland;L528;;vandeRegio & Piratenpartij - A. (Ahmed) Aarad;800;
Nederland;L528;;vandeRegio & Piratenpartij - A. (Rianne) Orsel;711;
Nederland;L528;;vandeRegio & Piratenpartij - A.C. (André) Linnenbank;697;
Nederland;L528;;vandeRegio & Piratenpartij - M.A. (Matthijs) Pontier;640;
Nederland;L528;;vandeRegio & Piratenpartij - K. (Karim) Maassen;334;
Nederland;L528;;vandeRegio & Piratenpartij - A. (Anne) de Bruijn;255;
Nederland;L528;;vandeRegio & Piratenpartij - D.G. (Daniel) van Tulder;210;
Nederland;L528;;vandeRegio & Piratenpartij - T. (Teunis) van Nes;193;
Nederland;L528;;vandeRegio & Piratenpartij - G.J. (Gertjan) Kleinpaste;153;
Nederland;L528;;vandeRegio & Piratenpartij - J.G.P. (Jan) Best;141;
Nederland;L528;;vandeRegio & Piratenpartij - J.A. (John) Sweenen;140;
Nederland;L528;;vandeRegio & Piratenpartij - L.J. (Leo) van Oudheusden;135;
Nederland;L528;;vandeRegio & Piratenpartij - M.C. (Maarten) Wienbelt;126;
Nederland;L528;;vandeRegio & Piratenpartij - T. (Tim) Weening;102;
Nederland;L528;;vandeRegio & Piratenpartij - D.R. (Danny) Werner;78;
Nederland;L528;;vandeRegio & Piratenpartij - A.F.J. (Antoon) Huigens;74;
Nederland;L528;;vandeRegio & Piratenpartij - K.A. (Khalid) Chaudry;71;
Nederland;L528;;vandeRegio & Piratenpartij - H. (Rakesh) Mijling;50;
Nederland;L528;;De Groenen;9546;
Nederland;L528;;De Groenen - P. (Paul) Berendsen;4456;
Nederland;L528;;De Groenen - A.P.A. (Angela) Zikking;2609;
Nederland;L528;;De Groenen - V.E. (Vera) ter Haar - van Oyen;548;
Nederland;L528;;De Groenen - E.J. (Nora) Borsboom;538;
Nederland;L528;;De Groenen - R.M.E. (Reina) van Zwoll;538;
Nederland;L528;;De Groenen - W. (Wim) Bijma;212;
Nederland;L528;;De Groenen - A.J.R. (Adriaan) Smeekes;186;
Nederland;L528;;De Groenen - C.J.T. (Hans) Baarslag;178;
Nederland;L528;;De Groenen - T.F.M. (Tom) Bakkers;108;
Nederland;L528;;De Groenen - L. (Luuk) Hofman;107;
Nederland;L528;;De Groenen - D. (David) Blik;66;
Nederland;L528;;JEZUS LEEFT;8292;
Nederland;L528;;JEZUS LEEFT - F.I.A.  van der Spek;6433;
Nederland;L528;;JEZUS LEEFT - M.J.  Westhoven;1008;
Nederland;L528;;JEZUS LEEFT - J.A.C.  van Ooijen;851;
